"id","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender"
1,1,1,1,1,2,1
2,8,1,2,1,5,1
3,2,1,3,1,2,1
4,7,1,1,1,5,2
5,1,1,1,1,2,2
6,2,2,1,1,2,1
7,9,2,1,2,2,1
8,4,1,3,5,5,2
9,2,2,1,1,3,2
10,8,1,2,2,2,1
11,3,1,1,2,5,2
12,3,1,1,2,5,1
13,3,1,3,5,2,2
14,8,2,1,4,2,2
15,8,1,1,2,2,2
16,2,1,1,1,2,1
17,1,1,1,4,3,2
18,1,1,1,2,3,2
19,7,1,1,2,2,2
20,3,1,3,4,2,1
21,1,1,1,4,2,2
22,1,1,2,1,1,1
23,2,2,1,1,3,2
24,1,1,1,1,5,1
25,1,1,1,1,1,1
26,3,1,1,2,2,2
27,1,1,3,1,5,1
28,1,1,2,5,1,1
29,2,1,3,2,2,1
30,1,1,2,5,2,1
31,1,1,1,2,2,2
32,6,1,2,4,2,2
33,3,1,1,1,5,2
34,6,1,1,1,2,2
35,8,1,1,1,2,1
36,6,1,1,4,2,1
37,2,1,3,1,2,2
38,8,1,2,5,2,1
39,1,1,2,1,5,2
40,1,1,1,4,2,2
41,1,1,1,4,5,1
42,1,2,1,2,2,1
43,1,2,2,1,2,1
44,2,1,1,4,2,2
45,1,1,1,2,2,2
46,3,1,3,3,1,1
47,5,1,1,1,5,2
48,4,1,1,4,2,1
49,1,1,2,1,5,1
50,1,1,1,4,5,1
51,2,1,1,2,2,2
52,2,2,1,1,2,1
53,2,1,1,4,2,1
54,3,1,1,1,2,2
55,1,1,3,1,1,2
56,3,1,2,2,2,1
57,2,1,1,2,2,2
58,1,1,1,4,5,1
59,1,1,2,4,1,1
60,1,1,3,5,1,1
61,3,2,1,1,4,2
62,6,1,3,1,3,1
63,1,1,2,1,5,2
64,2,1,1,4,2,1
65,2,1,1,1,5,1
66,1,1,1,2,2,2
67,3,1,1,2,2,1
68,2,1,2,4,2,1
69,5,2,2,1,5,1
70,2,1,3,2,1,1
71,2,1,1,4,2,2
72,1,1,1,5,2,2
73,1,1,1,5,3,2
74,5,1,1,1,5,2
75,9,2,1,1,2,2
76,2,1,1,1,2,2
77,6,1,1,4,2,1
78,2,1,1,2,2,2
79,2,1,2,2,2,2
80,2,1,1,1,2,2
81,2,1,2,2,5,1
82,8,2,1,4,2,2
83,1,1,1,3,2,2
84,1,1,1,5,2,2
85,3,1,2,2,1,1
86,2,1,1,4,2,2
87,5,2,2,2,4,2
88,1,1,1,1,2,1
89,1,1,1,1,2,1
90,4,2,2,2,2,2
91,2,1,3,2,3,2
92,2,2,2,1,2,1
93,1,1,1,1,2,1
94,1,1,1,1,2,2
95,9,1,2,4,5,1
96,2,1,1,1,2,1
97,9,1,1,5,3,1
98,8,1,1,1,3,2
99,9,1,1,1,2,1
100,7,1,2,2,2,2
101,3,2,1,2,5,1
102,1,2,1,2,5,2
103,3,1,1,1,2,2
104,1,2,3,2,2,2
105,4,1,2,4,5,1
106,9,1,2,1,2,1
107,2,1,1,1,2,1
108,3,1,1,4,5,2
109,9,1,1,1,2,1
110,1,1,1,2,2,2
111,7,1,2,2,2,2
112,8,1,2,4,2,2
113,7,1,1,2,2,2
114,2,1,1,1,2,2
115,2,1,1,4,2,2
116,3,1,1,4,5,2
117,1,2,2,4,4,2
118,9,1,2,4,2,2
119,1,1,1,1,2,1
120,1,1,2,2,2,1
121,1,1,2,2,5,2
122,9,1,1,1,2,2
123,7,1,1,4,2,1
124,3,1,1,4,2,2
125,1,1,1,1,2,1
126,2,1,3,2,2,2
127,1,1,2,5,2,1
128,1,1,2,2,2,2
129,2,2,1,2,4,2
130,2,1,1,5,5,1
131,1,1,1,4,2,2
132,8,1,1,1,2,1
133,4,1,1,1,2,1
134,1,1,3,2,2,2
135,2,1,1,4,5,1
136,1,1,1,4,5,2
137,3,1,1,4,2,1
138,1,1,1,2,5,1
139,2,1,2,2,2,1
140,2,1,2,1,2,1
141,1,1,1,2,5,2
142,1,1,3,5,2,2
143,6,1,2,4,5,1
144,1,1,3,4,2,2
145,1,2,2,4,5,1
146,1,1,2,1,2,2
147,2,1,1,2,5,1
148,4,1,1,1,2,1
149,3,1,2,4,2,1
150,1,2,3,2,5,2
151,1,1,1,1,2,2
152,9,2,1,4,2,2
153,1,1,2,4,1,2
154,3,1,2,1,3,1
155,1,1,1,1,2,1
156,1,1,1,4,2,2
157,1,1,2,2,2,2
158,2,1,2,1,2,1
159,1,2,1,2,4,2
160,2,1,1,1,2,1
161,1,1,1,4,5,2
162,1,1,1,2,2,1
