"id","Number.of.Open.Complaints","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender","Location.Code","Marital.Status","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Vehicle.Class","Vehicle.Size"
1,0,1,1,1,1,2,1,2,2,1,3,1,1,6,2
2,0,8,1,2,1,5,1,2,3,2,6,3,1,1,2
3,0,2,1,3,1,2,1,2,2,2,6,1,1,6,2
4,0,7,1,1,1,5,2,2,2,1,2,1,3,5,2
5,0,1,1,1,1,2,2,1,3,2,4,1,1,1,2
6,0,2,2,1,1,2,1,1,2,2,6,2,4,6,2
7,0,9,2,1,2,2,1,2,2,1,3,1,1,1,2
8,0,4,1,3,5,5,2,3,3,1,3,1,1,1,2
9,0,2,2,1,1,3,2,2,1,1,3,1,1,1,2
10,0,8,1,2,2,2,1,3,2,3,8,2,2,1,2
11,0,3,1,1,2,5,2,2,3,2,6,1,1,1,3
12,0,3,1,1,2,5,1,2,2,2,6,2,1,5,2
13,2,3,1,3,5,2,2,3,2,1,1,2,1,1,2
14,1,8,2,1,4,2,2,2,2,1,3,2,2,5,2
15,2,8,1,1,2,2,2,3,3,1,3,4,3,1,2
16,1,2,1,1,1,2,1,1,2,1,2,2,2,1,2
17,0,1,1,1,4,3,2,2,2,2,6,2,3,6,2
18,0,1,1,1,2,3,2,2,2,2,5,3,3,5,2
19,0,7,1,1,2,2,2,3,2,2,5,2,2,1,2
20,0,3,1,3,4,2,1,2,2,1,2,1,3,1,3
21,0,1,1,1,4,2,2,2,3,2,5,1,2,6,2
22,0,1,1,2,1,1,1,2,1,2,6,4,3,1,2
23,0,2,2,1,1,3,2,2,1,2,6,1,1,1,2
24,3,1,1,1,1,5,1,2,3,1,3,1,2,1,2
25,0,1,1,1,1,1,1,2,2,1,2,2,2,1,2
26,0,3,1,1,2,2,2,2,2,2,6,2,3,1,1
27,0,1,1,3,1,5,1,2,3,2,6,1,1,1,3
28,0,1,1,2,5,1,1,3,2,1,1,1,2,5,2
29,2,2,1,3,2,2,1,2,3,2,6,1,3,1,1
30,1,1,1,2,5,2,1,2,2,2,6,2,2,1,3
31,1,1,1,1,2,2,2,2,2,2,5,4,3,1,3
32,0,6,1,2,4,2,2,3,2,1,2,2,1,3,2
33,0,3,1,1,1,5,2,3,2,2,6,1,3,1,2
34,0,6,1,1,1,2,2,2,2,1,2,1,1,6,3
35,0,8,1,1,1,2,1,1,2,1,1,3,4,1,2
36,0,6,1,1,4,2,1,3,2,2,4,1,2,1,2
37,0,2,1,3,1,2,2,2,2,2,6,1,1,1,3
38,0,8,1,2,5,2,1,2,2,2,6,2,4,1,3
39,0,1,1,2,1,5,2,2,3,2,5,3,1,6,3
40,2,1,1,1,4,2,2,1,1,2,6,1,3,1,2
41,1,1,1,1,4,5,1,2,2,1,3,3,3,6,2
42,0,1,2,1,2,2,1,1,3,1,3,2,1,6,2
43,0,1,2,2,1,2,1,2,2,2,5,2,1,1,3
44,0,2,1,1,4,2,2,2,2,2,5,4,1,4,2
45,0,1,1,1,2,2,2,2,2,3,8,2,3,1,1
46,3,3,1,3,3,1,1,1,2,2,5,1,2,5,2
47,3,5,1,1,1,5,2,2,3,2,6,3,3,1,2
48,0,4,1,1,4,2,1,2,3,2,5,4,1,6,2
49,0,1,1,2,1,5,1,2,2,1,2,2,3,1,2
50,0,1,1,1,4,5,1,2,2,2,5,4,2,1,2
51,0,2,1,1,2,2,2,2,2,2,5,1,1,5,3
52,0,2,2,1,1,2,1,2,1,1,1,1,4,5,2
53,3,2,1,1,4,2,1,1,2,3,7,4,2,1,2
54,0,3,1,1,1,2,2,2,3,2,6,4,1,1,2
55,0,1,1,3,1,1,2,2,2,2,5,1,2,1,3
56,0,3,1,2,2,2,1,2,1,1,3,3,3,1,3
57,0,2,1,1,2,2,2,3,2,3,8,2,2,1,2
58,0,1,1,1,4,5,1,2,2,2,5,1,3,5,3
59,2,1,1,2,4,1,1,2,1,2,6,1,3,5,2
60,0,1,1,3,5,1,1,2,1,2,4,1,1,1,2
61,1,3,2,1,1,4,2,2,1,2,4,1,1,1,2
62,0,6,1,3,1,3,1,2,2,2,6,1,3,6,3
63,0,1,1,2,1,5,2,2,3,2,6,1,1,6,3
64,0,2,1,1,4,2,1,1,2,2,6,1,1,5,2
65,0,2,1,1,1,5,1,2,3,2,6,3,2,1,1
66,0,1,1,1,2,2,2,2,2,2,6,3,4,1,2
67,0,3,1,1,2,2,1,2,1,1,3,1,1,5,2
68,0,2,1,2,4,2,1,3,2,2,6,4,2,6,3
69,0,5,2,2,1,5,1,2,1,2,6,1,3,6,1
70,0,2,1,3,2,1,1,2,2,2,6,3,4,1,2
71,0,2,1,1,4,2,2,1,1,2,6,4,1,5,2
72,0,1,1,1,5,2,2,1,2,2,5,2,4,6,1
73,2,1,1,1,5,3,2,2,2,2,4,1,1,1,2
74,1,5,1,1,1,5,2,2,3,2,6,1,1,4,2
75,3,9,2,1,1,2,2,2,1,2,6,2,2,6,2
76,0,2,1,1,1,2,2,2,2,2,6,2,2,1,3
77,0,6,1,1,4,2,1,1,3,2,4,2,3,1,2
78,0,2,1,1,2,2,2,2,2,2,4,2,1,1,2
79,2,2,1,2,2,2,2,1,2,2,6,1,1,1,2
80,1,2,1,1,1,2,2,1,3,2,6,2,2,2,3
81,0,2,1,2,2,5,1,1,3,2,6,3,2,6,1
82,0,8,2,1,4,2,2,2,3,2,6,2,3,1,2
83,0,1,1,1,3,2,2,2,2,2,4,3,2,5,2
84,0,1,1,1,5,2,2,2,2,2,6,2,3,1,1
85,0,3,1,2,2,1,1,2,3,2,6,2,1,1,3
86,1,2,1,1,4,2,2,2,2,2,5,1,3,1,2
87,5,5,2,2,2,4,2,2,2,2,4,1,1,1,2
88,3,1,1,1,1,2,1,3,2,1,2,3,4,1,2
89,0,1,1,1,1,2,1,2,1,2,5,3,2,1,2
90,1,4,2,2,2,2,2,2,2,2,6,1,2,1,2
91,1,2,1,3,2,3,2,2,2,2,6,2,2,6,3
92,0,2,2,2,1,2,1,2,2,1,3,2,3,6,2
93,0,1,1,1,1,2,1,1,2,1,3,1,1,1,2
94,0,1,1,1,1,2,2,2,2,1,1,1,2,6,3
95,1,9,1,2,4,5,1,2,3,2,5,1,1,1,2
96,1,2,1,1,1,2,1,2,2,2,6,1,2,1,1
97,0,9,1,1,5,3,1,1,2,2,6,1,2,5,2
98,0,8,1,1,1,3,2,2,2,2,5,1,1,1,2
99,3,9,1,1,1,2,1,3,2,2,4,3,4,1,2
100,0,7,1,2,2,2,2,2,2,2,5,1,1,6,3
101,0,3,2,1,2,5,1,2,2,2,6,1,1,5,2
102,0,1,2,1,2,5,2,2,3,2,4,1,2,1,2
103,1,3,1,1,1,2,2,1,3,1,3,3,3,6,2
104,0,1,2,3,2,2,2,2,2,2,6,2,2,1,2
105,0,4,1,2,4,5,1,2,3,2,6,1,4,5,2
106,0,9,1,2,1,2,1,1,2,2,6,1,3,1,3
107,0,2,1,1,1,2,1,1,2,2,4,3,2,1,2
108,1,3,1,1,4,5,2,2,2,2,4,1,1,5,2
109,0,9,1,1,1,2,1,1,2,2,6,1,1,6,2
110,1,1,1,1,2,2,2,3,2,1,1,4,1,1,2
111,0,7,1,2,2,2,2,2,2,2,6,4,1,1,3
112,1,8,1,2,4,2,2,2,1,1,2,2,4,1,3
113,0,7,1,1,2,2,2,2,2,2,6,2,2,5,2
114,2,2,1,1,1,2,2,2,3,2,6,1,1,1,2
115,0,2,1,1,4,2,2,2,2,2,5,4,2,1,2
116,1,3,1,1,4,5,2,2,2,1,2,1,1,5,2
117,0,1,2,2,4,4,2,2,1,2,6,2,1,5,2
118,0,9,1,2,4,2,2,2,2,2,6,2,2,6,2
119,0,1,1,1,1,2,1,2,3,2,5,3,1,6,2
120,2,1,1,2,2,2,1,3,2,1,2,2,3,1,2
121,0,1,1,2,2,5,2,2,2,2,5,3,4,6,2
122,0,9,1,1,1,2,2,1,2,2,6,1,3,4,2
123,0,7,1,1,4,2,1,2,2,2,6,3,2,6,3
124,0,3,1,1,4,2,2,2,3,2,6,3,4,3,2
125,0,1,1,1,1,2,1,1,2,2,6,1,1,1,2
126,1,2,1,3,2,2,2,2,1,2,5,1,3,1,2
127,0,1,1,2,5,2,1,1,3,2,6,2,2,1,2
128,0,1,1,2,2,2,2,3,2,3,8,1,2,1,2
129,0,2,2,1,2,4,2,2,1,2,5,2,4,1,2
130,0,2,1,1,5,5,1,1,2,2,4,2,1,1,2
131,0,1,1,1,4,2,2,2,2,2,6,1,1,4,2
132,0,8,1,1,1,2,1,1,2,3,8,1,2,1,2
133,1,4,1,1,1,2,1,3,2,2,6,1,3,1,2
134,0,1,1,3,2,2,2,2,2,2,6,1,1,1,3
135,0,2,1,1,4,5,1,2,3,1,2,1,4,1,3
136,0,1,1,1,4,5,2,2,3,2,6,1,1,5,2
137,0,3,1,1,4,2,1,1,2,3,8,1,2,4,2
138,0,1,1,1,2,5,1,2,3,2,5,2,1,1,3
139,0,2,1,2,2,2,1,3,2,2,6,4,2,1,2
140,0,2,1,2,1,2,1,3,3,3,9,3,2,1,3
141,0,1,1,1,2,5,2,2,3,2,4,4,4,6,1
142,0,1,1,3,5,2,2,3,2,2,5,1,3,5,2
143,0,6,1,2,4,5,1,2,3,2,5,3,2,4,2
144,0,1,1,3,4,2,2,2,2,1,3,3,1,5,2
145,0,1,2,2,4,5,1,2,2,2,4,1,1,1,1
146,0,1,1,2,1,2,2,3,2,1,2,4,4,1,2
147,0,2,1,1,2,5,1,2,2,1,3,1,3,1,2
148,3,4,1,1,1,2,1,2,1,1,2,1,3,6,2
149,0,3,1,2,4,2,1,1,2,2,6,2,4,1,2
150,0,1,2,3,2,5,2,2,2,1,2,1,2,1,1
151,0,1,1,1,1,2,2,2,3,2,5,4,2,1,3
152,0,9,2,1,4,2,2,1,2,2,6,2,1,4,2
153,0,1,1,2,4,1,2,2,2,2,6,4,1,5,2
154,0,3,1,2,1,3,1,1,2,2,4,1,2,5,2
155,0,1,1,1,1,2,1,3,3,2,6,2,2,1,2
156,0,1,1,1,4,2,2,2,2,2,5,2,4,1,3
157,0,1,1,2,2,2,2,1,3,2,5,3,1,1,2
158,0,2,1,2,1,2,1,2,2,2,5,2,1,1,3
159,0,1,2,1,2,4,2,2,2,2,6,2,1,4,2
160,1,2,1,1,1,2,1,1,2,2,5,1,4,6,1
161,0,1,1,1,4,5,2,2,2,1,3,2,1,6,2
162,0,1,1,1,2,2,1,3,2,2,4,1,1,5,2
163,0,4,2,1,2,5,1,2,1,2,6,1,1,5,2
164,1,1,2,1,1,4,1,2,3,2,4,1,2,1,2
165,2,2,1,2,1,5,2,2,3,2,6,1,1,1,2
166,0,2,1,1,5,3,2,2,2,2,6,1,1,1,3
167,1,2,1,1,1,5,1,2,3,2,6,1,1,1,3
168,1,7,2,1,4,5,1,2,3,2,4,1,1,1,3
169,0,2,1,2,4,2,1,3,1,2,5,3,1,1,2
170,1,2,1,1,4,5,1,2,2,2,5,1,1,1,2
171,0,1,1,1,2,3,2,2,2,2,4,4,2,1,2
172,0,2,1,3,3,1,1,3,1,2,6,2,1,1,2
173,1,2,1,1,2,2,1,1,1,2,6,3,1,1,2
174,3,1,1,1,2,5,1,2,2,2,5,3,1,1,3
175,0,8,2,1,4,2,2,2,3,2,5,2,3,1,2
176,0,1,1,1,1,2,1,1,2,2,5,2,3,4,2
177,0,1,1,1,2,2,1,1,2,2,5,2,1,5,2
178,0,8,1,1,1,2,1,3,2,2,6,2,3,6,2
179,0,7,1,1,2,5,1,2,3,2,6,3,4,6,2
180,0,1,1,1,1,2,1,2,1,2,5,2,3,4,3
181,1,2,1,3,1,5,1,2,2,2,5,1,1,1,2
182,2,4,1,2,1,2,1,2,2,2,6,3,2,2,2
183,0,3,1,1,4,2,2,2,2,2,5,2,2,1,1
184,0,2,1,2,1,2,2,2,3,2,5,4,1,1,3
185,0,1,1,1,1,5,2,2,3,2,6,1,1,5,2
186,4,2,1,1,4,2,1,2,3,2,6,3,3,5,3
187,0,1,1,1,2,2,1,2,3,1,3,2,2,5,2
188,0,1,2,2,1,2,1,2,2,2,4,2,1,5,2
189,0,1,1,2,1,2,1,3,3,2,4,3,2,1,2
190,2,7,1,2,2,2,2,3,2,2,6,3,2,1,2
191,1,1,1,1,5,2,2,3,2,3,8,4,4,5,2
192,0,1,1,1,4,5,1,2,3,3,9,4,2,6,3
193,1,1,1,1,1,2,2,2,2,2,6,2,2,6,2
194,3,2,1,1,1,2,1,2,2,2,5,4,1,6,3
195,0,2,1,1,4,5,1,2,1,2,5,1,2,1,3
196,0,1,1,2,1,2,1,2,2,2,6,1,1,1,3
197,0,1,1,3,4,2,2,2,3,1,3,4,4,3,2
198,2,1,1,1,1,2,2,1,3,3,9,1,2,1,2
199,1,2,1,2,4,5,1,2,3,2,4,3,2,6,2
200,1,4,2,2,2,2,2,2,2,2,4,1,2,1,2
201,0,3,1,3,5,1,1,2,3,2,4,1,3,5,2
202,3,1,2,2,1,4,1,2,3,2,6,1,1,5,2
203,0,1,1,1,4,2,1,2,2,1,1,2,3,1,2
204,0,7,1,1,2,5,2,2,3,2,5,1,1,5,2
205,3,7,1,1,4,5,2,2,3,2,5,1,3,1,2
206,0,2,1,1,2,5,2,2,3,2,5,1,1,5,2
207,0,1,1,1,2,2,1,3,2,2,4,2,2,1,2
208,0,3,1,3,2,2,2,2,2,1,2,1,2,5,3
209,0,3,1,1,4,2,1,2,1,1,3,2,1,5,2
210,0,3,1,2,1,2,1,1,2,2,6,3,4,1,2
211,0,1,1,2,4,2,2,2,3,2,6,2,1,6,3
212,0,5,2,1,2,4,2,2,3,3,9,1,1,1,2
213,0,2,1,2,2,2,2,3,2,1,3,2,4,6,3
214,0,3,1,1,4,2,1,3,3,3,9,1,1,1,2
215,0,1,1,1,2,2,2,2,1,2,4,4,1,1,3
216,0,3,1,2,2,2,1,2,2,1,1,4,3,1,1
217,0,1,1,3,2,2,2,3,2,1,3,4,1,4,3
218,0,6,2,2,4,1,1,2,2,3,9,1,1,6,3
219,0,3,2,1,4,5,1,2,1,2,6,1,4,4,2
220,0,1,1,1,2,2,2,2,2,2,4,2,2,1,2
221,0,3,1,1,1,2,1,2,2,2,5,3,2,1,2
222,0,8,1,1,1,2,2,2,1,2,5,1,3,1,2
223,0,9,1,1,4,2,2,2,1,2,4,1,3,1,3
224,0,7,2,2,4,2,2,2,3,2,6,2,2,6,3
225,0,2,1,1,2,1,1,2,2,2,6,2,3,5,3
226,0,5,1,2,2,2,1,2,2,2,6,3,2,1,2
227,0,9,1,1,2,5,2,2,3,2,4,1,2,6,2
228,0,1,2,1,4,2,1,1,3,1,3,2,1,1,2
229,2,9,1,1,4,2,2,3,2,1,3,1,1,5,3
230,0,9,1,1,1,1,2,2,2,1,1,1,1,1,3
231,0,5,2,1,1,5,1,2,2,1,1,1,3,1,2
232,0,2,2,1,2,2,2,3,3,2,6,2,1,6,2
233,0,2,1,2,4,2,2,3,2,2,5,1,1,1,2
234,0,1,1,3,1,5,1,2,2,2,6,1,4,5,3
235,0,8,1,1,4,5,2,2,2,2,6,3,3,6,2
236,0,8,1,1,1,2,2,2,2,2,6,1,2,6,3
237,0,2,1,1,1,2,1,1,2,2,5,1,4,1,1
238,0,3,1,2,2,2,2,3,1,1,1,2,2,5,1
239,0,1,1,1,2,5,2,2,3,2,6,2,1,1,3
240,1,1,1,1,1,2,1,2,3,2,6,2,1,1,3
241,0,3,1,1,4,2,1,2,2,1,3,2,1,6,3
242,0,2,1,1,2,2,1,1,2,2,4,3,1,1,1
243,0,4,1,1,2,5,1,2,1,1,3,1,2,1,3
244,5,5,1,2,2,2,2,2,2,2,5,2,4,6,1
245,5,1,1,2,2,5,1,2,3,2,4,1,1,6,2
246,0,1,1,2,1,1,2,2,1,1,2,3,1,6,2
247,0,3,1,1,1,2,1,2,1,2,4,4,1,1,2
248,2,2,1,2,4,5,1,2,2,2,5,4,3,1,3
249,0,1,1,2,1,5,2,2,3,1,3,1,2,3,2
250,0,2,1,1,5,2,2,2,2,2,5,1,3,1,2
251,0,1,1,3,4,4,1,2,1,2,6,3,4,6,2
252,0,2,1,1,1,2,1,2,1,2,6,1,3,6,2
253,0,8,1,1,3,2,2,2,3,2,6,1,3,5,2
254,1,3,2,1,2,4,1,2,1,2,6,1,1,5,3
255,0,3,1,2,1,2,2,3,2,2,6,4,3,1,1
256,0,1,2,2,4,4,2,2,1,2,6,2,1,5,2
257,0,4,1,2,1,2,1,3,2,2,6,1,1,5,2
258,1,4,1,1,5,2,1,3,2,2,6,2,3,6,3
259,2,2,1,2,1,2,2,2,2,2,6,3,2,1,2
260,0,1,1,1,1,2,1,1,1,1,3,1,1,1,2
261,0,2,1,1,1,5,2,2,2,2,4,1,1,1,3
262,0,5,1,1,2,2,1,1,2,2,4,1,4,1,2
263,0,2,1,1,2,3,1,2,1,2,5,1,4,1,2
264,0,4,1,1,4,2,2,2,2,2,5,2,1,1,2
