# id,userId,itemId,rating
0,3231,664,1
1,112,718,1
2,4802,2578,1
3,5540,1816,1
4,3878,14,1
5,700,1460,1
6,723,1862,1
7,128,1199,1
8,4664,1974,1
9,4998,1818,1
10,169,1703,1
11,4092,2489,1
12,1837,97,1
13,4664,2111,1
14,4134,477,1
15,2949,29,1
16,42,1948,1
17,2473,2298,1
18,5054,644,1
19,4346,1081,1
20,3103,1673,1
21,1036,2222,1
22,2747,2715,1
23,1872,1422,1
24,4817,1793,1
25,2843,42,1
26,993,1203,1
27,3188,1809,1
28,2073,119,1
29,5106,2867,1
30,3971,2808,1
31,1814,1021,1
32,4477,1311,1
33,3101,1451,1
34,5165,2688,1
35,4984,2228,1
36,619,2216,1
37,2764,600,1
38,3967,2174,1
39,4664,271,1
40,3990,2219,1
41,1123,1318,1
42,3755,767,1
43,2072,1949,1
44,4890,1609,1
45,1924,862,1
46,3184,1672,1
47,2717,2505,1
48,4805,2009,1
49,5472,1995,1
50,3443,1960,1
51,989,1184,1
52,1633,1460,1
53,3298,2223,1
54,4379,1280,1
55,665,939,1
56,4313,1617,1
57,3675,1906,1
58,5448,1568,1
59,2832,2035,1
60,5203,2129,1
61,191,2451,1
62,3801,2645,1
63,44,1796,1
64,4324,2385,1
65,4827,1507,1
66,1928,2470,1
67,1837,1210,1
68,545,1455,1
69,2846,1707,1
70,4718,936,1
71,112,447,1
72,1389,567,1
73,5500,540,1
74,509,615,1
75,37,2829,1
76,1683,2292,1
77,4382,2789,1
78,1148,225,1
79,5500,20,1
80,4126,1365,1
81,3195,845,1
82,496,125,1
83,680,1375,1
84,3294,1318,1
85,5518,2250,1
86,2572,1539,1
87,5514,1588,1
88,5360,1641,1
89,4262,1440,1
90,648,753,1
91,5441,267,1
92,3931,501,1
93,1637,17,1
94,3517,1669,1
95,1907,2575,1
96,4137,2432,1
97,4848,652,1
98,3370,1007,1
99,2516,1834,1
100,2497,1181,1
101,2024,740,1
102,1580,250,1
103,1652,356,1
104,155,54,1
105,1403,832,1
106,5453,1261,1
107,1248,2142,1
108,3221,1445,1
109,1924,344,1
110,1892,2793,1
111,3928,1791,1
112,3593,61,1
113,1518,1342,1
114,3788,889,1
115,1609,1579,1
116,2705,1821,1
117,1164,746,1
118,4514,14,1
119,1854,2695,1
120,1992,767,1
121,3620,139,1
122,3549,675,1
123,2778,1928,1
124,107,906,1
125,5379,78,1
126,2712,909,1
127,3597,2480,1
128,4476,267,1
129,3217,2638,1
130,3834,2095,1
131,2267,308,1
132,2737,1204,1
133,2430,1142,1
134,2589,226,1
135,5520,2966,1
136,1440,2731,1
137,3575,28,1
138,3055,880,1
139,320,626,1
140,1793,1944,1
141,2365,2306,1
142,3278,586,1
143,3256,704,1
144,1390,2128,1
145,2770,1207,1
146,2748,1356,1
147,1164,526,1
148,5539,2792,1
149,2051,28,1
150,1377,132,1
151,3729,2855,1
152,1259,2074,1
153,1990,701,1
154,2506,2546,1
155,3276,2954,1
156,1505,907,1
157,3939,854,1
158,354,135,1
159,2721,621,1
160,4705,2453,1
161,793,1546,1
162,2770,2378,1
163,5528,72,1
164,1487,528,1
165,3452,310,1
166,1072,1846,1
167,1826,1,1
168,3250,62,1
169,993,1630,1
170,3251,2325,1
171,1258,239,1
172,4324,2271,1
173,1911,1789,1
174,4558,1025,1
175,1046,402,1
176,1520,180,1
177,236,937,1
178,2705,1489,1
179,2157,1255,1
180,3134,1002,1
181,5363,935,1
182,1938,628,1
183,4141,2268,1
184,983,1945,1
185,873,1939,1
186,2899,2664,1
187,3426,837,1
188,2545,2409,1
189,4002,8,1
190,4728,2913,1
191,3645,2755,1
192,3229,627,1
193,1289,1009,1
194,356,1700,1
195,1981,2744,1
196,5229,2776,1
197,4689,2433,1
198,149,525,1
199,644,2158,1
200,3544,320,1
201,725,773,1
202,2072,1200,1
203,5106,2866,1
204,4122,1301,1
205,3909,1592,1
206,2678,2210,1
207,1131,314,1
208,3381,721,1
209,4894,1100,1
210,1819,2482,1
211,4485,2842,1
212,3278,1895,1
213,1238,98,1
214,699,1386,1
215,4532,2336,1
216,2995,1619,1
217,2029,574,1
218,2109,2791,1
219,4304,2791,1
220,5188,2,1
221,4368,247,1
222,3398,15,1
223,1545,655,1
224,5178,979,1
225,3232,1215,1
226,2882,38,1
227,3404,1026,1
228,4282,853,1
229,2096,279,1
230,2085,2620,1
231,939,2889,1
232,5419,4,1
233,1328,755,1
234,597,2149,1
235,5455,2452,1
236,1903,2138,1
237,1981,2985,1
238,4532,1278,1
239,4328,14,1
240,2178,752,1
241,3119,62,1
242,2229,485,1
243,144,109,1
244,1260,17,1
245,3760,43,1
246,5492,1919,1
247,3359,16,1
248,725,442,1
249,760,1930,1
250,4990,921,1
251,82,2199,1
252,112,2637,1
253,2562,791,1
254,2511,874,1
255,1738,1277,1
256,2748,468,1
257,4613,308,1
258,2806,2115,1
259,4103,2521,1
260,4179,1213,1
261,3048,2379,1
262,3544,179,1
263,680,546,1
264,3170,880,1
265,5298,489,1
266,3822,252,1
267,1395,68,1
268,5188,1617,1
269,2072,1588,1
270,2766,1901,1
271,2589,2641,1
272,3472,2768,1
273,1351,220,1
274,116,14,1
275,2141,1062,1
276,1408,149,1
277,319,418,1
278,597,944,1
279,1819,1333,1
280,2461,284,1
281,4954,1354,1
282,1531,321,1
283,919,1568,1
284,3494,1203,1
285,224,1580,1
286,1097,169,1
287,1115,267,1
288,1705,53,1
289,5476,445,1
290,662,877,1
291,932,17,1
292,597,1525,1
293,570,118,1
294,3087,755,1
295,2601,2469,1
296,1850,1632,1
297,1578,1114,1
298,3967,16,1
299,904,2798,1
300,1183,1568,1
301,5482,52,1
302,509,2923,1
303,382,340,1
304,3398,338,1
305,832,50,1
306,3982,1420,1
307,2229,1640,1
308,1246,860,1
309,4992,204,1
310,3784,28,1
311,1222,2096,1
312,1910,837,1
313,1941,2294,1
314,31,618,1
315,5167,2435,1
316,4634,239,1
317,495,2240,1
318,2137,449,1
319,3178,770,1
320,1032,2325,1
321,3612,1891,1
322,4418,2489,1
323,5123,1823,1
324,1088,2578,1
325,1510,28,1
326,875,1077,1
327,1938,2188,1
328,4810,170,1
329,1473,1194,1
330,4929,380,1
331,3308,1920,1
332,3218,2299,1
333,497,2582,1
334,2370,1021,1
335,2984,1651,1
336,5130,1353,1
337,5188,1634,1
338,2088,1937,1
339,2588,1221,1
340,1625,1048,1
341,959,1124,1
342,5540,1050,1
343,5261,1545,1
344,1127,2627,1
345,2112,1009,1
346,3151,1171,1
347,4066,1983,1
348,1716,418,1
349,2090,853,1
350,4627,2911,1
351,3785,1462,1
352,657,246,1
353,2677,2418,1
354,3560,2591,1
355,699,1416,1
356,4935,1822,1
357,3367,17,1
358,3646,1600,1
359,4355,1054,1
360,1642,568,1
361,1538,2808,1
362,2292,2970,1
363,4054,917,1
364,1254,758,1
365,3276,2756,1
366,5467,36,1
367,3119,2002,1
368,4532,1104,1
369,2572,2618,1
370,751,256,1
371,3263,2445,1
372,1746,2962,1
373,1090,1264,1
374,3287,2103,1
375,1131,489,1
376,4654,1323,1
377,2159,917,1
378,1246,834,1
379,1356,2749,1
380,4656,1880,1
381,4514,2229,1
382,2857,17,1
383,183,421,1
384,993,1686,1
385,1396,1999,1
386,4367,1770,1
387,1268,303,1
388,1043,2163,1
389,23,767,1
390,3878,28,1
391,3879,767,1
392,3540,2482,1
393,2794,477,1
394,3092,2473,1
395,1043,2966,1
396,2015,205,1
397,2655,837,1
398,5273,732,1
399,95,2547,1
400,3583,2732,1
401,2542,1246,1
402,154,2002,1
403,4436,1558,1
404,1877,1658,1
405,560,628,1
406,3484,1002,1
407,1507,789,1
408,4548,2895,1
409,4859,2251,1
410,5198,1753,1
411,3171,969,1
412,4813,405,1
413,4702,43,1
414,2154,1181,1
415,3317,2220,1
416,4756,171,1
417,1645,1811,1
418,2288,2715,1
419,5219,2067,1
420,390,2636,1
421,1832,102,1
422,1140,1834,1
423,5272,42,1
424,3502,2659,1
425,3662,1345,1
426,4931,767,1
427,5306,912,1
428,4945,634,1
429,4806,1012,1
430,5429,280,1
431,3514,1821,1
432,2910,677,1
433,844,17,1
434,3071,2785,1
435,4273,1166,1
436,5105,2327,1
437,3158,2473,1
438,5520,14,1
439,4896,375,1
440,3585,1122,1
441,993,1589,1
442,3734,1546,1
443,845,1735,1
444,1167,666,1
445,3057,746,1
446,5327,2061,1
447,2189,2411,1
448,356,30,1
449,724,1181,1
450,2140,1931,1
451,3307,1459,1
452,5093,1974,1
453,4645,28,1
454,5536,2788,1
455,2403,893,1
456,1038,1253,1
457,2603,1961,1
458,5245,47,1
459,1504,2715,1
460,1205,299,1
461,3307,7,1
462,2596,2215,1
463,5297,2703,1
464,4292,477,1
465,2713,1124,1
466,3041,411,1
467,94,2437,1
468,4931,108,1
469,251,1090,1
470,3948,2823,1
471,3276,32,1
472,3773,761,1
473,3250,1021,1
474,4917,2614,1
475,4560,818,1
476,2465,2313,1
477,1003,521,1
478,2900,1917,1
479,1541,520,1
480,4958,1083,1
481,832,2922,1
482,938,1792,1
483,557,17,1
484,407,1476,1
485,2931,691,1
486,2403,220,1
487,3000,1527,1
488,4947,1434,1
489,2232,885,1
490,1880,2732,1
491,3063,2581,1
492,2088,843,1
493,4282,1940,1
494,4019,1671,1
495,5291,1003,1
496,826,1015,1
497,1597,2473,1
498,1950,2416,1
499,3218,2295,1
500,2154,1005,1
501,4437,27,1
502,3753,1588,1
503,1892,944,1
504,1956,1091,1
505,3332,2637,1
506,4786,641,1
507,1837,934,1
508,919,1199,1
509,646,2111,1
510,2567,1116,1
511,4665,1812,1
512,4938,2301,1
513,2325,2516,1
514,3287,504,1
515,5188,1644,1
516,3514,1527,1
517,1457,525,1
518,2133,1541,1
519,2853,1993,1
