id,uid,iid,rate
1,51,5825,0
3,184,4137,1
7,10,3510,0
13,37,3973,1
17,791,5400,0
33,876,5688,0
37,973,5269,0
48,641,5600,0
54,325,5888,0
76,39,5410,0
81,971,3668,0
82,248,4489,1
93,208,5199,0
100,971,3240,0
113,546,5721,1
118,709,5429,0
125,863,3105,0
126,713,3804,1
131,609,3329,0
139,20,5879,1
144,930,5037,0
148,724,4401,0
153,858,3511,1
155,927,3621,0
163,956,3201,1
165,231,5690,1
171,665,4090,0
177,719,4733,1
191,205,5615,1
205,20,5697,0
208,840,3850,0
209,855,4162,0
214,522,5844,1
216,648,4762,0
218,433,4378,0
227,320,3392,0
228,841,4001,0
237,765,4137,0
248,0,5379,0
253,388,3803,0
259,482,3928,0
260,208,3043,0
262,709,3772,0
267,868,3563,0
270,598,5488,0
275,669,5486,1
281,509,4380,0
288,699,3549,0
296,43,4634,1
298,992,3031,1
303,930,5794,0
307,608,5024,0
308,795,5735,0
315,963,3275,0
321,840,3853,0
322,844,4372,1
330,891,5426,0
341,797,5116,0
342,943,4472,0
348,321,3718,1
353,529,3414,0
365,212,5302,0
368,295,3802,1
371,21,5890,1
392,745,5773,1
395,55,4784,0
397,231,4546,0
398,433,3582,0
406,996,4547,1
408,215,3654,0
409,656,5290,1
410,597,3228,1
415,154,3605,0
420,736,4611,1
421,791,5675,0
425,882,4001,1
429,700,3684,1
433,811,4255,0
436,597,4733,0
442,96,5395,0
446,965,5180,0
462,526,4368,0
472,20,3265,0
473,968,3802,1
477,961,5968,0
480,39,3377,0
487,109,5588,1
488,84,3470,0
489,339,3639,0
493,66,4445,0
496,428,5668,1
499,598,3865,1
504,519,5318,0
513,629,5905,0
516,869,4733,0
524,275,3100,0
528,426,3708,0
531,122,5859,0
534,382,4263,1
537,675,4126,0
554,802,3164,0
556,62,5218,0
557,597,5068,0
559,667,3742,0
560,795,4098,0
565,919,4994,0
568,888,4092,0
573,498,3791,0
577,648,5386,0
580,977,3474,0
591,289,5139,0
594,101,3495,1
595,26,5745,1
600,20,4124,0
608,428,4174,1
612,611,5906,1
614,49,3329,0
620,539,4558,0
624,973,3962,1
625,904,3923,0
647,261,3294,1
648,809,3775,0
657,429,4721,0
662,598,3381,1
670,755,4978,0
675,162,4499,0
678,522,4536,0
680,405,3703,1
695,20,4895,0
696,39,4909,0
701,675,5136,1
702,549,3801,0
707,559,5177,1
708,11,4610,1
711,897,5899,0
718,931,3404,0
722,904,5605,1
737,965,3278,1
739,863,5708,0
746,414,5888,0
747,711,4414,0
748,436,5528,1
757,428,3285,0
793,491,5408,0
795,956,4200,0
796,795,4641,0
798,299,5137,0
799,169,4849,0
802,180,5858,1
805,49,3763,0
811,180,4265,0
812,130,5729,0
834,82,4801,1
838,108,4164,1
847,562,3308,0
854,723,4949,0
865,512,5571,0
870,700,5104,1
883,499,4568,0
