id,uid,iid,rate
11,955,1820,0
13,388,1942,1
15,826,2994,0
16,22,2571,0
38,190,356,1
39,727,817,0
43,857,499,0
44,730,211,0
46,101,1862,1
54,404,2306,1
57,388,2095,0
62,597,2721,1
65,661,2037,0
72,197,964,0
79,830,2059,0
91,49,2852,0
93,585,453,1
95,876,287,0
102,332,2729,0
108,904,224,0
112,371,2788,0
127,371,882,1
128,52,1591,0
135,431,2375,0
139,169,491,1
140,94,1745,0
143,916,819,0
148,845,396,0
154,848,2935,0
159,310,554,0
162,894,2826,1
174,668,1071,1
175,941,15,1
180,213,2602,0
186,873,316,0
188,518,447,0
190,574,2680,0
191,187,2483,0
195,227,2037,0
198,363,1231,0
207,390,1751,1
208,247,1937,1
214,347,238,1
218,670,77,0
222,498,2226,0
227,332,2713,1
245,360,1142,0
249,3,721,1
256,236,387,0
257,584,951,0
258,724,110,0
260,406,677,0
261,503,2746,0
262,445,2780,1
273,728,2977,0
274,958,957,0
276,361,1761,1
283,813,2349,0
285,798,393,0
301,82,2837,1
304,390,2374,0
309,844,410,1
310,332,602,0
322,356,2769,1
324,162,1718,0
326,967,2808,0
329,917,2735,0
330,884,2296,0
331,993,923,0
335,318,640,0
341,282,2358,1
342,709,2321,1
368,993,2598,0
373,495,2154,0
377,621,2025,0
380,50,249,0
388,780,457,1
390,264,248,0
397,564,1482,0
399,389,334,1
423,837,25,1
424,66,1865,0
432,333,2002,0
437,403,1270,0
439,826,2217,1
440,332,197,0
444,118,1325,0
445,93,2813,0
449,993,1424,0
451,993,2497,0
453,85,1209,1
465,623,19,0
472,208,671,0
484,682,141,1
488,154,1350,0
501,183,2028,0
504,536,2363,0
505,360,2779,0
510,590,2539,0
511,959,403,0
514,82,667,1
516,830,1490,0
530,491,1058,0
541,839,2040,0
546,951,1001,1
547,333,2298,0
555,139,1522,0
558,961,610,0
559,503,2971,1
570,685,698,1
576,727,1557,1
580,863,2445,1
587,727,1976,0
588,577,52,1
597,34,1576,0
603,82,572,0
606,82,2111,1
607,622,1540,0
613,154,2474,1
620,809,2145,0
633,61,247,1
635,876,9,0
636,544,2653,1
640,254,58,0
641,406,1611,0
647,65,1744,0
651,190,1873,0
673,564,1334,1
674,37,972,0
682,767,2292,0
690,525,2531,1
691,53,2657,1
697,916,2235,1
702,965,1047,0
708,390,2793,0
721,169,302,0
728,941,381,0
734,112,2810,0
741,949,1596,1
753,826,1104,1
763,855,2972,0
769,664,2019,0
776,626,2361,1
788,684,2882,1
789,49,2223,1
793,1000,1945,0
805,664,1919,0
806,148,143,1
810,49,2520,0
814,455,1600,0
828,993,1510,0
829,94,949,0
840,798,2242,0
845,168,2217,0
852,653,2445,0
856,34,2849,0
861,144,214,0
871,169,235,0
872,919,698,0
880,533,1526,0
894,285,1750,0
899,20,1695,0
901,625,2963,0
902,633,576,1
907,710,482,1
908,482,2762,1
909,169,355,0
911,377,475,0
916,828,244,1
925,350,1327,0
930,249,2517,0
935,683,2133,0
941,974,2608,0
945,825,2833,0
949,368,1571,1
961,321,1780,1
962,383,409,0
971,557,1610,0
976,876,1141,0
988,759,2136,0
989,622,1063,1
990,94,478,0
997,47,2136,0
1009,733,18,0
1014,533,864,0
1018,739,772,0
1020,380,1819,0
1032,725,2254,1
1037,457,2028,0
1042,221,1302,0
1043,226,195,0
1047,283,2847,0
1050,461,494,0
1060,443,586,0
1075,908,2350,1
1080,21,944,1
1081,117,2830,0
1086,356,676,0
1088,930,450,1
1090,857,392,0
1093,407,2424,0
1100,94,2073,0
1112,661,2084,0
1129,163,2082,1
1134,735,1662,0
1138,917,2345,1
1143,564,1085,1
1145,894,1914,0
1147,246,1098,0
1151,374,575,0
1154,257,818,0
1172,92,357,0
1175,300,380,1
1187,873,2266,0
1196,90,2060,0
1199,81,2752,1
1209,919,1582,1
1215,958,1982,0
1219,728,1577,1
1233,669,386,0
1238,653,809,0
1239,405,1636,0
1246,155,2701,0
1247,194,2666,0
1263,446,2603,0
1264,326,1624,1
1272,82,2110,1
1276,43,2397,1
1278,427,972,1
1279,407,2771,0
1283,21,488,0
1300,89,1038,0
