id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
25115,1,-1.486041,-0.695628,-0.682385,-0.674713,-0.675078,-0.672187,-0.668576,-0.281506,-0.256946,-0.296744,-0.307999,-0.314071,-0.293326
2346,0,-0.616452,-0.418693,-0.411269,-0.385059,-0.429740,-0.659456,-0.632490,-0.255907,0.624502,-0.238869,-0.294083,-0.235265,-0.287251
2613,0,-1.486041,-0.695642,-0.690983,-0.483273,-0.531385,-0.481978,-0.549086,-0.341942,0.328892,0.221014,0.394674,0.089842,-0.244499
15473,0,0.253137,-0.643723,1.413661,0.138401,0.530734,0.641564,0.589780,8.732378,0.203808,1.123115,-0.114393,-0.116991,-0.011447
12900,0,-1.486041,-0.580438,-0.557140,-0.190706,-0.672777,-0.663355,-0.653026,0.233558,1.209473,-0.296801,-0.308063,-0.314136,-0.293382
27304,0,0.253137,0.182613,0.272506,0.358132,0.492930,0.704413,0.209985,-0.040064,-0.039980,-0.012818,0.330267,0.013131,-0.012122
25068,1,0.253137,1.434809,1.484756,1.527405,1.674647,1.789301,1.820648,0.322189,0.220431,0.327962,0.394100,0.405851,0.325389
29247,0,-1.486041,-0.695642,-0.690983,-0.677929,-0.672497,-0.663059,-0.652724,-0.341942,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
23110,0,1.992316,0.898594,0.986320,1.081208,1.247285,1.386052,1.487113,-0.015914,0.003422,-0.012818,-0.014431,0.013131,-0.006497
11405,0,0.253137,-0.194465,-0.208045,-0.122817,-0.088338,-0.024531,0.013790,-0.245341,0.033803,-0.296801,-0.180397,-0.202865,-0.214629
4824,0,-1.486041,-0.511503,-0.680642,-0.673372,-0.592972,-0.401792,-0.474631,-0.297505,-0.243275,-0.006230,0.705859,0.380062,-0.213504
1830,0,-1.486041,-0.690182,-0.729762,-0.730562,-0.729234,-0.723095,-0.714014,-0.341942,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
28460,1,-0.616452,-0.679155,-0.677439,-0.660423,-0.665285,-0.659539,-0.661725,-0.311754,-0.213588,-0.296801,-0.276146,-0.314136,-0.293382
6649,0,-0.616452,-0.651586,-0.573818,-0.677929,-0.672497,-0.634126,-0.608663,0.161530,-0.256990,-0.296801,-0.195780,-0.142386,-0.293382
24710,0,0.253137,0.062575,0.158079,0.171495,0.247888,0.069241,-0.123835,0.180910,-0.256990,-0.174688,-0.256996,-0.248683,-0.193197
1051,0,-0.616452,-0.691853,-0.687063,-0.673906,-0.668160,-0.660937,-0.649718,-0.341942,-0.256990,-0.296801,-0.308063,-0.301045,-0.293382
7706,0,0.253137,-0.189263,-0.179382,-0.140352,-0.123453,-0.069287,-0.036065,-0.341942,-0.178866,-0.216491,-0.212313,-0.224007,-0.214517
9638,0,0.253137,-0.621315,-0.585718,-0.606002,-0.490938,-0.554663,-0.652724,-0.203078,-0.256990,-0.291008,-0.212313,-0.314136,-0.293382
5886,0,1.992316,-0.530149,-0.526594,-0.483634,-0.470327,-0.437008,-0.465211,-0.341942,-0.170186,-0.296801,-0.240719,-0.314136,-0.281288
26392,0,-0.616452,0.725211,-0.295972,-0.393019,-0.477912,-0.361592,-0.402880,1.355456,-0.195185,0.414179,0.861867,0.659745,1.661035
21410,0,-0.616452,-0.682618,-0.690983,-0.665686,-0.655088,-0.657680,-0.643808,-0.341942,-0.220141,-0.233189,-0.287189,-0.279380,-0.282807
637,0,0.253137,-0.619183,-0.597844,-0.592591,-0.564961,-0.548890,-0.572863,-0.275106,-0.213588,-0.240005,-0.212313,-0.173411,-0.293382
15869,0,-0.616452,0.088486,-0.098845,-0.400056,-0.649181,-0.572263,-0.652724,-0.221191,-0.213588,-0.211606,0.044295,-0.314136,-0.293382
24819,0,-1.486041,-0.695642,-0.555243,-0.677929,-0.304903,-0.653601,-0.638502,0.241346,-0.247528,1.046326,-0.271359,-0.258697,-0.279375
23489,0,0.253137,-0.470666,-0.406984,-0.458687,-0.462197,-0.430494,-0.409311,0.206027,0.090225,-0.211606,-0.212313,-0.280166,0.100381
1809,0,0.253137,0.676511,0.246653,0.245210,0.332542,0.411697,0.460181,-0.087459,-0.117192,-0.179459,-0.189078,-0.190102,-0.187460
22753,0,-0.616452,2.093290,1.806537,-0.628108,-0.655740,-0.636774,2.230416,-0.009635,-0.190758,-0.235574,-0.206058,11.011000,0.044129
7908,0,0.253137,-0.369124,-0.314350,-0.301899,-0.238839,-0.213770,-0.187442,-0.150853,-0.256990,-0.168611,-0.308063,-0.248683,-0.180878
9399,0,0.253137,1.629202,1.795775,1.898893,2.158156,1.894949,1.944420,0.261814,0.177029,0.157799,0.330267,0.078584,0.269137
7293,0,0.253137,-0.725859,-0.810735,-0.835842,0.705826,2.617479,2.348059,-0.341217,-0.256295,5.595909,7.165878,0.088140,-0.040192
20331,0,-1.486041,-0.693102,-0.644238,-0.633227,-0.672497,-0.663059,-0.652724,-0.141072,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
7237,0,-0.616452,-0.606499,-0.672254,-0.374186,-0.362091,-0.653551,-0.062461,-0.261401,0.654580,-0.272492,-0.307297,1.986681,-0.243205
914,0,0.253137,-0.462233,-0.353143,-0.343674,-0.330520,-0.301193,-0.652724,0.135025,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
8987,0,-0.616452,-0.691636,-0.675107,-0.493483,-0.045420,-0.511108,-0.635647,-0.273717,0.298164,1.293505,-0.244230,-0.183229,3.879329
5391,1,1.992316,1.438286,1.649665,1.750194,1.879616,2.117200,2.236864,0.473128,0.003422,-0.296801,0.170684,0.078584,-0.068374
4791,1,-0.616452,0.166534,0.246751,-0.667200,-0.583676,-0.649752,-0.613851,-0.080516,-0.256859,0.030461,-0.256166,-0.162415,-0.202479
5274,1,1.992316,0.067124,0.124246,0.206463,0.191244,0.312842,0.364334,-0.175305,-0.042541,-0.296801,-0.009644,-0.159601,-0.293382
805,0,-1.486041,-0.274142,-0.603253,-0.677929,-0.672497,-0.663059,-0.652724,-0.157796,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
3884,0,0.253137,-0.237773,-0.370298,-0.430713,-0.391081,-0.347167,-0.333446,0.056537,-0.174526,-0.211606,-0.212313,-0.215956,-0.209004
29164,1,-1.486041,-0.695642,-0.690983,-0.677929,-0.672497,-0.663059,-0.652724,-0.341942,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
29205,0,0.253137,-0.018759,0.009146,0.044743,0.092039,-0.347512,-0.350120,-0.221191,-0.165846,-0.211606,-0.244230,-0.248683,-0.237130
23114,0,0.253137,0.871555,-0.315544,-0.554191,-0.634025,-0.619404,-0.607790,-0.220828,-0.195923,-0.240005,-0.244230,-0.248683,-0.231111
24429,0,0.253137,-0.399776,-0.380105,-0.335267,-0.282970,-0.241305,-0.212311,-0.281566,-0.170186,-0.183208,-0.244230,-0.248683,-0.237130
21650,0,0.253137,0.815957,0.869140,0.588434,0.373005,0.159477,0.207046,-0.104605,-0.131775,-0.171167,-0.193865,-0.183229,-0.180878
6956,0,-1.486041,-0.607613,-0.566596,-0.357257,-0.518965,-0.496765,-0.251234,0.192563,0.708398,0.264179,0.337288,1.297064,0.041429
18966,0,0.253137,-0.690318,-0.685419,0.008188,0.074723,0.118619,0.116908,-0.317791,1.808114,-0.199395,-0.199547,-0.193047,-0.180878
23967,1,0.253137,-0.460888,-0.435281,-0.410308,-0.376096,-0.349667,-0.375661,-0.245703,-0.198657,-0.226203,-0.268614,-0.276239,-0.249618
10984,0,-1.486041,-0.010421,0.031205,-0.677929,-0.672497,-0.663059,-0.652724,-0.197040,-0.256990,-0.296801,-0.308063,-0.314136,-0.293382
21997,0,-1.486041,-0.681518,-0.674292,-0.659529,-0.666715,-0.656940,-0.646478,-0.262246,-0.201609,-0.275673,-0.284317,-0.289787,-0.272456
9366,0,1.992316,-0.368893,-0.445468,-0.414086,-0.359837,-0.445364,-0.443130,-0.257416,-0.205645,-0.183208,-0.231463,-0.314136,-0.259068
