1,2019010533:1,2019011092:3,2019011462:6,2019010288:17,2019010400:14,2019010745:2,2019010383:11,2019011283:3,2019010994:7,2019010414:11,2019010148:1,2019011044:11,2019010529:5,2019011175:15,2019010151:16,2019011107:1,2019010308:10,2019010331:8,2019010469:4,2019010385:17,2019010637:9,2019010204:18,2019010673:1,2019011010:14,2019010215:1,2019011287:11,2019010448:12,2019010449:8,2019010416:13,2019010120:19,2019010342:4,2019010659:16,2019010279:13,2019011217:13,2019010765:6,2019010948:2,2019011286:10,2019010308:17,2019010906:15,2019011265:3,2019011179:13,2019010807:17,2019011252:13,2019010329:13,2019011378:7,2019011119:5,2019011213:2,2019010615:9,2019010977:11,2019011133:7,2019011044:10,2019010916:16,2019011287:7,2019010312:2,2019010224:5,2019011427:17,2019011077:8,2019010567:19,2019011364:5,2019010260:13,2019010964:4,2019011094:11,2019011459:16,2019010896:3,2019011312:8,2019011075:6,2019011110:3,2019010507:12,2019011000:10,2019011336:3,2019011206:9,2019010762:12,2019011414:19,2019010701:1,2019010588:16,2019010385:15,2019010506:17,2019011239:13,2019010797:13,2019010894:6,2019010211:16,2019011114:11,2019011134:5,2019010956:14,2019010499:8,2019011497:3,2019010828:8,2019010793:17,2019010755:15,2019010609:2,2019011375:8,2019010452:10,2019010105:17,2019010919:19,2019010518:5,2019011363:15,2019010792:11,2019010788:12,2019011411:12,2019010665:14,2019011167:16,2019011475:10,2019010173:4,2019010171:7,2019010214:10,2019010356:14,2019010175:4,2019010981:19,2019010682:14,2019010866:1,2019010545:17,2019011319:2,2019011022:14,2019010536:2,2019010657:4,2019010191:18,2019011445:10,2019010507:8,2019011073:6,2019011350:10,2019010695:10,2019010781:5,2019011475:18,2019010494:4,2019010922:13,2019010412:16,2019011150:16,2019010375:15,2019011150:1,2019010229:8,2019011446:18,2019011401:12,2019011371:9,2019010471:7,2019010591:18,2019010901:4,2019010351:15,2019010841:17,2019010419:12,2019011412:15
2,2019010528:16,2019010518:11,2019010739:2,2019011492:5,2019010381:8,2019011305:3,2019010960:11,2019010827:11,2019010108:17,2019010975:3,2019010491:12,2019010850:3,2019010693:10,2019010584:7,2019010334:5,2019011128:15,2019011000:10,2019010653:13,2019011308:7,2019010817:19,2019010228:19,2019010592:15,2019011035:9,2019010688:14,2019010578:3,2019010332:3,2019011323:4,2019011299:13,2019010810:12,2019010378:3,2019010339:14,2019010645:5,2019010914:17,2019010874:3,2019011042:10,2019010710:1,2019011182:15,2019010208:17,2019011127:10,2019010473:4,2019010719:7,2019011104:11,2019011363:14,2019011382:11,2019010376:19,2019011467:13,2019010909:3,2019010803:2,2019010832:6,2019010302:4,2019010700:10,2019010629:4,2019010483:10,2019010434:5,2019011225:3,2019011408:13,2019010987:10,2019010834:12,2019010623:15,2019010467:1,2019010826:11,2019011374:11,2019010841:19,2019011260:2,2019011464:8,2019010150:14,2019010797:7,2019010434:9,2019010603:17,2019010720:8,2019010155:1,2019011449:9,2019011357:13,2019010253:6,2019010956:1,2019011425:19,2019010149:5,2019010223:8,2019011383:8,2019010343:16,2019010795:10,2019010684:18,2019010903:1,2019010882:16,2019010619:11,2019011259:12,2019010674:7,2019011087:13,2019010938:7,2019010747:8,2019011168:18,2019011289:11,2019011342:5,2019011070:18,2019011119:3,2019010380:8,2019010418:12,2019011224:6,2019010859:2,2019011379:16,2019010230:5,2019010829:11,2019010562:4,2019011433:19,2019010915:3,2019010871:8,2019011235:14,2019010237:4,2019010394:7,2019011441:9,2019011394:3,2019011424:9,2019010920:9,2019011084:13,2019010461:10,2019010743:14,2019010423:8,2019010763:17,2019011170:16,2019011340:8,2019011122:14,2019010978:7,2019010687:16,2019011116:7,2019011195:19,2019010466:16,2019011244:3,2019010292:5,2019010132:6,2019010532:13,2019010813:5,2019011251:16,2019011354:15,2019010254:3,2019011313:14,2019010387:18,2019010155:11,2019011441:10,2019011338:8,2019011114:16
3,2019010723:9,2019010826:17,2019011465:7,2019011408:10,2019010326:18,2019010190:5,2019011021:6,2019011447:1,2019010931:12,2019010265:1,2019011440:14,2019010690:4,2019010250:12,2019010604:7,2019010274:19,2019010559:16,2019011198:11,2019010294:10,2019011033:10,2019010540:15,2019011485:1,2019010652:18,2019010217:2,2019011357:2,2019011331:4,2019011119:3,2019011293:3,2019010171:2,2019010466:13,2019010657:1,2019010173:1,2019010255:12,2019010425:2,2019010366:17,2019011221:13,2019010584:14,2019011302:19,2019011105:10,2019010496:10,2019010375:13,2019010341:3,2019010541:12,2019011201:19,2019011091:10,2019011436:3,2019010597:10,2019011216:1,2019010654:6,2019010458:8,2019010520:10,2019010485:2,2019010247:6,2019010191:9,2019011334:3,2019010850:14,2019010336:4,2019010718:14,2019010304:16,2019011312:4,2019011305:17,2019010978:19,2019010486:18,2019010378:2,2019011052:14,2019011382:7,2019011106:3,2019010558:7,2019011120:19,2019010249:15,2019010316:2,2019010143:10,2019010909:11,2019011076:6,2019010342:13,2019010821:13,2019010667:9,2019010841:14,2019011060:3,2019010945:3,2019011228:4,2019011248:15,2019011147:2,2019010541:7,2019010567:7,2019010456:2,2019010721:11,2019011088:14,2019010378:17,2019011112:17,2019010315:1,2019010231:5,2019011054:8,2019010544:17,2019010648:15,2019010434:8,2019010375:17,2019010138:11,2019010142:16,2019011202:13,2019010275:14,2019010297:9,2019011408:9,2019011465:13,2019011344:11,2019010137:19,2019011480:16,2019010808:19,2019010142:5,2019010415:7,2019011225:17,2019011496:19,2019011434:15,2019010307:3,2019010880:7,2019010918:12,2019010250:13,2019010474:3,2019010443:3,2019010887:7,2019011134:10,2019010496:12,2019010202:1,2019010433:5,2019011408:12,2019010577:1,2019010310:3,2019010440:6,2019010722:17,2019010856:9,2019010129:11,2019011499:14,2019010457:7,2019010647:10,2019010631:5,2019011064:5,2019010574:14,2019010929:5,2019011270:12,2019011044:16,2019010362:19
4,2019011263:19,2019010804:10,2019010474:2,2019010644:18,2019011236:3,2019010114:10,2019010541:5,2019010245:14,2019011259:3,2019011088:14,2019011107:4,2019010562:5,2019010839:5,2019011186:3,2019010386:19,2019010880:13,2019011464:11,2019011031:7,2019011341:3,2019011480:14,2019010378:7,2019010978:13,2019011097:18,2019010140:3,2019011261:2,2019010687:6,2019010420:12,2019010915:11,2019010712:1,2019011004:3,2019010751:13,2019010262:19,2019011162:17,2019010950:10,2019011034:6,2019010659:3,2019010935:17,2019010977:17,2019011234:12,2019010737:2,2019010514:4,2019010245:8,2019010104:2,2019010873:2,2019010655:3,2019011073:7,2019010909:9,2019010311:19,2019010642:12,2019011383:18,2019010267:11,2019011024:10,2019010511:10,2019011279:7,2019010252:1,2019011385:17,2019011169:12,2019010860:3,2019010362:18,2019011034:15,2019010688:18,2019011315:11,2019010679:16,2019010170:4,2019010942:9,2019010685:6,2019011472:17,2019011024:6,2019010501:7,2019010126:6,2019010217:2,2019010288:12,2019011053:16,2019010356:4,2019011463:11,2019011182:7,2019010834:17,2019011374:13,2019010107:7,2019010419:16,2019011035:15,2019010213:15,2019010383:4,2019011330:3,2019010908:13,2019010866:9,2019010588:19,2019010382:16,2019010451:13,2019010304:18,2019010290:9,2019010505:14,2019010701:12,2019010486:11,2019010977:15,2019010885:19,2019011131:9,2019010577:14,2019010879:14,2019010770:15,2019010445:17,2019010583:11,2019010431:14,2019010828:6,2019011070:8,2019010232:9,2019010143:3,2019010313:3,2019010886:5,2019011282:13,2019010757:19,2019011436:2,2019010848:14,2019010338:3,2019010771:10,2019010828:11,2019010353:4,2019010155:12,2019010911:9,2019010492:14,2019010139:5,2019010349:5,2019010610:10,2019010733:11,2019010949:16,2019011291:14,2019010153:3,2019010582:3,2019011406:15,2019010514:14,2019011428:8,2019011027:19,2019010691:11,2019011245:13,2019011066:8,2019011397:11,2019011416:16,2019010194:7,2019010450:10,2019011005:16
5,2019010822:18,2019010304:10,2019011179:12,2019010991:16,2019011361:17,2019010620:9,2019010374:18,2019010892:9,2019010501:1,2019010139:5,2019010245:15,2019010309:1,2019010382:2,2019011188:18,2019011199:8,2019010158:9,2019010808:4,2019010474:1,2019010246:6,2019011204:15,2019010772:5,2019011391:13,2019011311:13,2019011375:12,2019010978:11,2019010158:14,2019011490:7,2019010406:13,2019010238:2,2019010239:1,2019010490:7,2019011479:14,2019010853:3,2019011187:13,2019011283:13,2019011351:10,2019010625:5,2019010395:13,2019011069:4,2019010511:17,2019011373:15,2019011198:18,2019011078:4,2019010435:9,2019011299:4,2019011249:10,2019010674:14,2019011049:9,2019011079:3,2019010784:16,2019010716:13,2019010476:8,2019010607:10,2019010212:10,2019010499:6,2019010509:12,2019010758:11,2019010726:5,2019011168:1,2019010725:10,2019010322:16,2019010888:14,2019011389:5,2019010783:15,2019010794:3,2019010406:17,2019010754:17,2019010162:10,2019011159:5,2019011483:9,2019010883:7,2019011023:17,2019010349:19,2019010799:18,2019010232:6,2019011239:18,2019011404:8,2019010803:9,2019010492:9,2019010464:18,2019010578:13,2019011201:2,2019011373:3,2019010358:6,2019010880:5,2019010984:10,2019010864:5,2019010254:19,2019011477:1,2019010842:19,2019010469:1,2019011207:17,2019010469:12,2019010502:5,2019010111:6,2019011337:15,2019010842:17,2019010283:4,2019010554:2,2019010103:1,2019011169:10,2019010818:19,2019011472:19,2019011329:18,2019010738:15,2019010222:14,2019010515:14,2019011028:3,2019010751:7,2019010292:10,2019010252:12,2019011036:16,2019010524:14,2019010192:14,2019010104:16,2019010941:4,2019010615:6,2019011149:17,2019010698:8,2019010477:1,2019010242:7,2019010442:19,2019010468:6,2019010713:19,2019011142:3,2019011489:11,2019011007:7,2019010991:11,2019010285:19,2019010250:16,2019010482:16,2019010534:14,2019010474:17,2019011396:11,2019010105:9,2019010245:3,2019011110:17,2019010490:1,2019010419:4,2019010925:17
6,2019010459:1,2019010204:7,2019010317:5,2019010323:19,2019011053:13,2019010732:16,2019010242:12,2019011026:15,2019011371:15,2019010102:1,2019011120:19,2019010261:3,2019010249:9,2019010325:14,2019010868:9,2019010702:17,2019010928:13,2019010790:17,2019010266:18,2019010175:8,2019010422:3,2019010740:9,2019011438:3,2019010597:15,2019011110:13,2019010428:18,2019010269:7,2019011074:4,2019010493:10,2019010682:14,2019010364:16,2019010985:19,2019010897:8,2019011088:2,2019011407:3,2019010152:8,2019010411:9,2019010622:8,2019010832:7,2019010699:15,2019010286:18,2019011277:8,2019011387:16,2019010141:18,2019011239:2,2019010559:5,2019010456:16,2019010892:7,2019010389:14,2019010255:5,2019010312:7,2019010525:1,2019010941:17,2019011389:3,2019010127:7,2019010110:3,2019010998:7,2019010564:4,2019010212:16,2019011086:12,2019010826:18,2019010367:19,2019010312:14,2019011370:6,2019010738:14,2019010675:3,2019010662:7,2019011252:9,2019010560:18,2019010250:3,2019010213:16,2019011398:2,2019010400:16,2019011181:4,2019010592:11,2019010935:13,2019010957:12,2019011162:10,2019010175:10,2019010463:9,2019010312:14,2019011250:8,2019010972:7,2019010822:10,2019010221:13,2019010350:6,2019011385:15,2019011318:5,2019011044:6,2019010501:1,2019011405:8,2019011160:6,2019011126:11,2019010968:2,2019010915:17,2019011061:8,2019010881:15,2019010483:15,2019011267:10,2019010794:19,2019010277:7,2019011337:9,2019010118:9,2019010841:3,2019011039:12,2019011415:3,2019011144:1,2019010728:1,2019011293:15,2019011178:10,2019010898:10,2019010764:6,2019011289:10,2019010790:16,2019011104:7,2019010164:19,2019010644:7,2019011311:18,2019010229:6,2019010499:1,2019010563:6,2019011072:19,2019011202:5,2019010556:2,2019010216:8,2019010349:3,2019011457:6,2019011080:12,2019010567:6,2019010133:2,2019010152:17,2019010184:14,2019011427:11,2019011417:8,2019010807:1,2019010474:4,2019010943:18,2019011311:2,2019011366:1,2019011223:9
7,2019010166:13,2019010196:17,2019010461:13,2019010951:2,2019011201:11,2019011410:4,2019011315:1,2019010637:1,2019010208:15,2019010769:8,2019010652:10,2019011492:6,2019011390:14,2019011343:6,2019011456:13,2019010437:3,2019010368:10,2019011347:15,2019010777:10,2019011044:11,2019010263:15,2019011451:1,2019011059:8,2019011041:18,2019010540:5,2019010816:16,2019010970:7,2019010526:5,2019010397:17,2019011299:3,2019010274:13,2019010526:14,2019011038:2,2019010711:12,2019010215:8,2019010305:18,2019011386:7,2019010438:7,2019010284:10,2019011459:17,2019011205:10,2019010405:4,2019011461:19,2019010765:16,2019011349:4,2019010563:4,2019011111:12,2019010690:2,2019010123:6,2019010586:4,2019010561:15,2019010749:17,2019011431:19,2019011108:18,2019010892:19,2019011197:4,2019010542:13,2019010143:5,2019010713:3,2019010419:16,2019010447:16,2019011330:12,2019010262:4,2019011379:1,2019010402:16,2019011212:9,2019010706:12,2019011259:17,2019010853:3,2019010319:13,2019010397:15,2019010735:2,2019010652:5,2019010115:12,2019010624:18,2019010313:9,2019010741:1,2019011152:10,2019010927:11,2019010949:3,2019010458:18,2019010659:14,2019010970:9,2019010249:2,2019010572:5,2019011494:19,2019010720:16,2019011492:9,2019010565:12,2019010567:15,2019011205:19,2019011203:1,2019010717:15,2019010110:17,2019010469:13,2019011466:10,2019010789:13,2019010509:11,2019011432:12,2019010333:14,2019010896:14,2019010663:9,2019011341:11,2019011342:18,2019011248:1,2019010853:17,2019010533:4,2019010338:10,2019011018:5,2019010153:14,2019010978:9,2019011206:15,2019010697:13,2019011003:17,2019010501:1,2019011246:6,2019010815:2,2019010807:14,2019011356:15,2019010580:8,2019011029:1,2019010215:11,2019010223:16,2019011367:8,2019011122:17,2019010289:2,2019011113:15,2019010700:18,2019010812:6,2019010357:12,2019010710:6,2019010346:16,2019011037:13,2019011385:14,2019010301:5,2019011367:1,2019010136:15,2019010627:17,2019010737:16,2019010952:11
8,2019010337:19,2019010177:16,2019010780:5,2019011377:4,2019010624:9,2019010829:2,2019011066:18,2019011169:19,2019010333:4,2019010523:1,2019010752:13,2019010108:9,2019011371:6,2019011180:14,2019010730:2,2019011025:12,2019011402:16,2019010625:15,2019011451:9,2019010251:15,2019010312:10,2019010669:11,2019010148:9,2019011478:18,2019010646:11,2019010946:9,2019010587:5,2019011485:8,2019011229:5,2019011183:1,2019010302:16,2019010372:15,2019010693:2,2019011215:7,2019010223:6,2019010693:2,2019010136:8,2019011152:7,2019010710:16,2019010290:15,2019010274:8,2019010512:18,2019010261:15,2019010845:8,2019010773:8,2019011184:11,2019011373:11,2019010944:17,2019011419:9,2019011469:8,2019010865:4,2019010698:1,2019010361:7,2019010147:15,2019010926:1,2019010249:14,2019010841:12,2019010105:12,2019011494:10,2019010468:9,2019011427:11,2019010365:7,2019010915:10,2019011493:3,2019010992:14,2019011128:13,2019010500:11,2019011482:14,2019010799:4,2019011074:6,2019010202:8,2019010569:11,2019010449:13,2019011194:13,2019011160:17,2019010230:7,2019010538:4,2019010428:3,2019010383:3,2019011114:4,2019010649:19,2019011056:18,2019010331:4,2019010753:3,2019010487:2,2019011415:5,2019011105:8,2019010870:11,2019010108:3,2019010980:12,2019010878:7,2019010909:10,2019010664:18,2019010136:16,2019011258:1,2019010860:3,2019011320:3,2019010921:5,2019011356:10,2019011376:13,2019010794:5,2019011077:5,2019010430:2,2019011241:5,2019011088:2,2019011042:5,2019011050:7,2019010809:10,2019010559:11,2019010175:12,2019011361:15,2019010503:10,2019010901:1,2019011110:7,2019010927:1,2019011486:14,2019010538:6,2019010908:9,2019010185:17,2019010158:14,2019011233:16,2019011173:13,2019011038:18,2019010324:7,2019010114:3,2019010405:3,2019011336:3,2019011356:19,2019010523:6,2019010697:6,2019010403:3,2019011059:18,2019010959:6,2019010912:16,2019011444:5,2019010194:18,2019010550:17,2019010796:10,2019010548:2,2019011073:10
9,2019010873:3,2019010377:12,2019010352:1,2019011111:12,2019010957:17,2019010226:13,2019011084:7,2019010361:17,2019010619:4,2019011155:9,2019010893:13,2019010223:11,2019011369:9,2019011028:10,2019010704:12,2019011284:3,2019010673:16,2019010296:14,2019010793:19,2019011166:18,2019010344:16,2019010433:16,2019010471:2,2019011181:11,2019010947:9,2019010672:1,2019011467:6,2019010180:13,2019010592:17,2019010958:18,2019010948:9,2019010370:15,2019010806:13,2019010287:2,2019011106:7,2019010300:9,2019010878:1,2019010238:16,2019010253:14,2019011311:12,2019010869:13,2019010303:7,2019011046:5,2019010742:1,2019010298:2,2019010242:3,2019010357:1,2019010319:13,2019010968:16,2019011418:4,2019010433:8,2019010456:15,2019011401:13,2019010468:11,2019010412:9,2019010901:1,2019011265:18,2019011289:15,2019011215:14,2019010210:7,2019011073:12,2019010147:8,2019010218:15,2019010649:3,2019011020:8,2019011042:16,2019010322:19,2019010382:17,2019011200:15,2019011115:13,2019011199:10,2019011124:7,2019010716:6,2019010236:8,2019010726:11,2019011277:9,2019010912:10,2019011103:13,2019011004:5,2019011494:11,2019011032:3,2019010926:14,2019011241:1,2019010590:5,2019010723:9,2019010561:16,2019010286:9,2019011320:10,2019010362:11,2019010720:12,2019010559:5,2019010112:5,2019010512:5,2019010774:13,2019010176:2,2019010647:8,2019011368:1,2019010793:3,2019010516:16,2019010330:6,2019010870:5,2019010166:19,2019011443:10,2019010857:10,2019011423:4,2019010392:8,2019010635:17,2019010476:4,2019011335:19,2019011476:7,2019011240:12,2019011198:2,2019011235:7,2019010922:2,2019011481:11,2019010718:15,2019011071:17,2019011251:19,2019010899:2,2019010243:7,2019011335:15,2019010748:1,2019010970:5,2019010552:10,2019011127:11,2019010431:10,2019010200:10,2019010518:1,2019011465:9,2019010287:19,2019010184:19,2019011174:3,2019011233:15,2019010761:11,2019011264:15,2019010699:5,2019010174:14,2019011319:12,2019010720:1,2019011298:3
10,2019010997:4,2019010715:6,2019010464:11,2019010225:11,2019011493:3,2019011497:15,2019010132:3,2019011036:19,2019011141:4,2019010232:8,2019010141:12,2019011350:10,2019010945:3,2019011384:1,2019011157:13,2019010449:10,2019011253:1,2019011024:8,2019011475:13,2019010567:14,2019010492:10,2019010751:7,2019010413:7,2019010491:16,2019010871:13,2019010615:14,2019010524:17,2019011387:11,2019011350:19,2019011366:5,2019011438:19,2019010305:11,2019010293:11,2019010864:12,2019010711:2,2019011000:2,2019010227:5,2019010397:7,2019010196:15,2019010616:7,2019010343:12,2019010116:17,2019011369:2,2019010997:7,2019010979:10,2019011439:18,2019010775:4,2019011189:7,2019011146:14,2019010170:17,2019010212:16,2019010938:12,2019011369:4,2019010169:19,2019010226:13,2019010982:16,2019010273:17,2019011294:4,2019011395:9,2019011281:10,2019011158:14,2019011252:19,2019011343:13,2019010387:12,2019011232:19,2019011407:13,2019010967:5,2019011268:15,2019010529:1,2019010902:14,2019011288:18,2019011196:14,2019010975:16,2019010822:7,2019010836:8,2019010595:6,2019011455:19,2019010339:8,2019010996:13,2019010268:7,2019010944:4,2019010281:14,2019010392:12,2019011246:8,2019010637:15,2019010858:3,2019010353:11,2019011207:1,2019010962:2,2019010184:19,2019010556:3,2019010959:4,2019011444:5,2019011067:15,2019010756:19,2019010504:8,2019010524:3,2019011063:5,2019010125:13,2019011130:3,2019010693:13,2019011235:9,2019010700:19,2019010587:17,2019011450:3,2019010993:4,2019010245:14,2019010198:2,2019011221:4,2019011347:15,2019010914:5,2019010141:8,2019011102:8,2019010617:12,2019011297:7,2019010366:3,2019011492:17,2019010794:8,2019010789:2,2019011142:10,2019011237:17,2019010374:4,2019011221:19,2019010312:5,2019010956:16,2019011186:9,2019011137:8,2019010295:5,2019010147:17,2019010109:17,2019010241:17,2019011487:4,2019011015:12,2019010801:13,2019010215:13,2019010418:16,2019010431:2,2019011319:16,2019010247:2,2019010366:17
