id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
2001,0,-0.0351641,0.0223365,0.0052799,-0.0023436,-0.029369,0.0147549,0.0121861,-0.00896116,0.0271471,0.0363833,0.00417631,0.00522661,0.0234701,0.0217451,0.00258868,0.00147978,-0.0171148,0.00224601,0.036814,-0.041435900000000005,0.0423234,-0.0193841,-0.0195214,-0.00884603,-0.00762454,0.016920400000000002,7.801350000000001e-05,-0.0078664,0.0194911,0.0163991,0.00919134,-0.00331403,-0.00385989,-0.0134885,0.0390711,0.013750899999999998,0.00561009,0.003844,-0.0231923,0.00831437,0.0295913,-0.00456652,0.0117221,-0.014016399999999998,-0.0204485,0.018440900000000003,0.00891927,-0.032139999999999995,0.00035272900000000003,0.0129749,-0.0305001,0.00509057,-0.00927809,-0.00950658,-0.012107799999999998,0.0235126,-0.00326212,0.00213915,0.005492,0.0102212,-0.0155809,0.00842655,-0.0252145,-0.0190371,-0.00886906,0.0119218,-0.0072697,-0.0102418,0.0240272,0.025202900000000004,-0.042122,-0.00985666,-0.016138200000000002,-0.0184823,0.0193447,0.0192632,-0.00765071,-0.0033643,0.0241631,0.0322413,0.0271574,0.0751882,-0.0121019,0.0355446,0.0273557,-0.000424715,-0.0212556,-0.017044200000000002,-0.0258931,0.00695508,-0.0295485,-0.0170676,0.0141832,0.00129148,-0.0183641,-8.6519e-05,-0.0017621,0.013537,0.00370751,-0.0240309
2002,0,-0.0151012,0.00585119,0.00407658,-0.00294961,0.0170895,-0.041130300000000015,-0.0162596,0.000365369,0.00705659,-0.0301956,0.0284607,-0.0279017,0.0428964,0.00774615,-0.00699766,0.00927029,0.0323489,0.00312179,-0.0267718,-0.014081,-0.0254347,0.0230583,0.010625,0.0359999,0.040782,0.00515251,-0.00146185,-0.0365911,-0.0282801,-0.012487,-0.0381356,0.0111517,0.0217023,0.0357689,0.010009700000000002,-0.00624616,0.0455834,-0.00712087,-0.00288291,0.000427977,0.022938,-0.00701533,-0.012774700000000002,-0.00771207,0.0344048,-0.0421632,0.0349469,-0.0175308,-0.0365679,-0.00122175,0.00478308,-0.00853726,0.0400875,0.000970978,0.0286092,-0.0319298,-0.0195018,-0.00492548,0.0105139,-0.00322996,-0.00848817,-0.0403494,-0.00347232,0.037895,0.0437861,-0.037086699999999986,-0.0312726,-0.00791302,0.00534182,-0.0375326,0.0198315,0.0405946,-0.0362102,-0.0227495,-0.0410258,-0.00340502,0.0380429,-0.019838400000000003,0.00786678,0.00959817,0.0189012,0.000950267,0.0166901,0.0158507,0.00672563,0.0338259,0.00402541,0.00696872,-0.00786403,0.010353200000000002,-0.0223901,-0.00534173,-0.0167602,-0.0149856,0.0160633,-0.00685403,0.0101941,-0.0222356,0.035843699999999985,-0.0119541
2003,1,-0.000637978,0.00188504,0.00889635,0.0345732,0.0509473,0.012276,-0.0563678,0.0193947,0.00152412,-0.00262374,0.00461496,0.00996258,-0.038457,0.023620500000000003,0.0152027,0.0350956,0.00823681,0.00983404,-0.014499,0.0228631,0.0230193,0.0304629,0.00986597,-0.00547473,0.00327223,0.00662021,0.00328107,0.0137369,-0.0310437,0.0161666,-0.00372881,-0.0153409,0.0436982,0.0350494,-0.00195466,0.00368503,0.0035494,-0.00611614,0.0320749,-0.0264382,0.00223256,0.0476426,-0.00540799,-0.0292942,-0.00516371,-0.057374199999999986,0.0260659,-0.00400682,-0.0109226,0.0342109,0.0177201,-0.028482,0.00258652,0.0148786,-0.00274747,-0.0123606,-0.00793456,-0.0243746,0.0086044,-0.00784708,0.012639,-0.00818862,0.014391299999999997,0.011718700000000002,0.00491197,-0.00469288,-0.00385292,0.00602062,-0.00690908,-0.016858900000000003,-0.0203579,0.00587829,0.00281556,0.0309075,-0.0118886,0.0271094,-0.00373538,0.00592827,0.0417156,-0.0179825,0.012189299999999998,-0.00923098,0.0303187,-0.018231,-0.015652600000000003,0.0104602,0.00866656,-0.0124994,-0.0230968,0.07451360000000001,-0.0195972,0.00813577,0.00434332,0.0198923,0.00033337,-0.00307289,-0.0137094,0.000918545,0.0405921,0.00157606
2004,1,-0.00823928,0.0355328,0.0104759,0.00285689,0.026850400000000003,-0.0419265,0.00404891,0.00121237,0.0256631,-0.0263736,0.0107296,-0.0228558,0.0107616,-0.00599105,-0.044660000000000005,0.011153,0.0333181,0.00116045,-0.017893,0.013451,-0.0299668,0.00520996,0.0159579,0.0325957,0.0342522,0.00671261,0.0115781,-0.0329611,-0.00093162,-0.0426764,-0.033840300000000004,0.0112845,-0.00908823,0.0128082,-0.0131941,-0.0118226,0.0349411,0.00418989,0.00316658,0.00823637,-0.0118345,-0.00591693,-0.000626342,-0.026915300000000003,0.0348378,-0.023035,0.0236457,-0.0238505,-0.023995500000000003,0.000835091,0.0168028,-0.0393465,0.039529,-0.0193735,0.0370594,-0.035805300000000005,0.0218653,-0.0240331,-0.0112635,-0.00478262,-0.0190349,-0.036911300000000015,0.00486092,0.0422202,0.0343097,-0.0315,-0.0233151,-0.0218234,0.00821684,-0.0355152,0.00636863,0.0359825,-0.0271696,-0.0223034,-0.0392161,-0.0116028,0.0433364,-0.036339,-0.0110585,-0.00122659,0.0214709,-0.00140231,-0.00543825,0.0184039,-0.0165182,0.035737,0.000606022,0.0139005,-0.0183239,0.028279900000000007,-0.00876944,-0.00802169,-0.0292404,-0.025209400000000003,0.0198748,-0.0102384,-0.0113894,-0.0144564,0.0402619,-0.0357103
2005,1,-0.00905178,0.00427619,-0.0063963,-0.00929684,0.00430292,-0.0373332,-0.0218652,0.0046146,-0.00587673,-0.0129031,0.00449913,-0.0246289,0.0304691,-0.0122881,-0.00176641,0.0149993,0.0315148,-0.024664,-0.0222412,0.00111329,-0.0153328,0.0309139,0.0237027,0.0400911,0.039474,-0.00446463,0.031315800000000005,-0.0342174,-0.0403734,-0.0367559,-0.038904699999999987,-0.00499006,-0.00963817,0.0258647,0.00220502,0.00466806,0.0268751,0.00377327,-0.0118906,-0.00437117,-0.02843,-0.0190092,-0.00887763,-0.0118835,0.034930199999999995,-0.0374129,0.0292115,-0.00803216,-0.029364599999999994,0.00389493,-0.00514951,0.00414866,0.0378968,-0.00141191,0.0402734,-0.0265541,-0.000328577,-0.00985538,0.00991912,0.00735306,0.000421387,-0.040335400000000014,0.0173472,0.0383662,0.0418995,-0.0426459,-0.0343726,-0.00615279,0.00450671,-0.037012800000000005,0.00891703,0.039785900000000006,-0.0381432,-0.0371801,-0.0397232,0.000183579,0.035994599999999995,-0.0312336,-0.00430948,0.0254795,0.00805478,-0.00360079,0.0343229,0.0151775,0.0079537,0.0354966,-0.00754132,0.0136583,-0.00159147,0.0131779,0.00242427,-0.0143007,-0.00744961,-0.013490899999999998,0.009308,0.00275592,-0.00337652,-0.035287,0.044229,-0.0139889
2006,1,-0.013963,-0.02953,0.0155292,-0.0200306,-0.0007448839999999999,-0.0349382,-0.0336005,0.0176709,-0.0147403,-0.00865828,0.016960299999999998,-0.017509900000000002,0.0177857,-0.016834799999999997,-0.00887802,-0.00530577,0.0380233,-0.0233567,-0.0416197,-0.00128787,0.00695637,0.00869281,0.0153916,0.0431858,0.0358776,-0.0214218,0.0146518,-0.015513399999999997,-0.0340047,0.00835483,-0.0330669,0.0111097,0.0237895,0.0322623,0.0250314,0.0015224,0.0356939,0.00279353,-0.026347900000000004,-0.0262004,0.00673372,-0.0240874,-0.0044945,-0.0194971,0.028865,-0.020487400000000003,0.031950400000000004,-0.0105124,-0.0462381,-0.00301487,-0.00616668,-0.00986551,0.034927,-0.0007572319999999999,0.0288143,-0.0155241,-0.00533561,-0.00658622,0.0139895,0.00797654,0.00977763,-0.0363985,0.003906499999999999,0.0348245,0.0411476,-0.032546299999999986,-0.035260900000000005,-0.0176378,0.00351199,-0.0312012,0.0197351,0.0354647,-0.030892000000000006,-0.0146833,-0.0276087,-0.00234798,0.039143,-0.0230958,-0.0399904,0.00120012,-0.00169722,-0.0169648,-0.0168657,0.0059884,-0.00633547,0.0286075,-0.015805700000000002,-0.00789519,-0.00876217,0.0296509,-0.00829863,-0.013673500000000002,-0.0220021,-0.0221207,0.0137981,-0.013758,0.00212958,-0.0388674,0.0159374,-0.0219272
2007,0,-0.018382,-0.0269392,-0.0246076,0.0156201,0.0531056,-6.44463e-05,0.0205115,-0.00827633,-0.00177299,0.00293841,0.0240562,0.023540400000000003,0.0183497,0.0164558,0.0350261,-0.0411489,-0.0318176,0.0244442,0.0195357,-0.0144444,0.0117512,-0.016165000000000002,-0.0263214,-0.0137166,-0.0109407,0.0207383,0.00227952,-0.00302499,-0.00259317,-0.0465713,0.0146868,-0.017445099999999998,0.0047505,0.00551161,-0.000906557,0.000945364,0.00274535,0.0152871,0.00485104,-0.0237165,0.0278403,0.0254551,0.0100645,-0.0446713,0.000670602,0.00268662,-0.0187877,0.00210674,0.0125029,-0.0226477,0.027266200000000004,0.00527456,-0.0106786,-0.00332769,-0.0261458,-0.000486076,0.05216619999999999,0.0218599,-0.0297301,-0.0140809,0.036517400000000005,0.00818715,-0.0212841,-0.0067207,-0.00785899,-0.00175064,0.0113797,-0.0101056,0.00783581,0.0298563,-0.0122565,-0.00878892,0.0169268,-0.010368,0.00975682,-0.0020259,0.00096543,0.020065,0.00146038,-0.00311384,-0.0376774,0.0115535,-0.043079,-0.0253403,-0.0452726,-0.00733158,0.0144314,-0.0127931,-0.00213621,0.0130167,0.0157004,-0.0448238,-0.00923441,-0.015525,-0.00622431,0.0306581,0.0156751,0.0221875,-0.011763,-0.00248398
2008,0,0.0133003,-0.0387527,0.0497773,0.0485896,-0.00413838,0.00614863,-0.00262683,0.00436254,-0.0361936,0.0173551,-0.0008610089999999999,0.0257034,0.0117836,-0.0214394,-0.016085299999999997,-0.0118829,0.0155956,0.01363,0.0219285,0.0381114,0.00818205,0.0411499,-0.00184936,0.00759046,0.0046023,-0.0201939,0.0356543,-0.0219694,-0.00069565,-0.0261112,-0.00953129,0.0058787,-0.0314816,0.0380373,0.00280015,0.0105426,-0.00831169,0.0229639,-0.041917,0.00729058,-0.00394088,0.0422152,0.0035726,-0.0426014,-0.00732346,-0.00111913,0.0194049,-0.00409277,0.0007583360000000001,-0.00319588,0.0178995,-0.00215046,0.00615605,-0.0185517,-0.00993902,-0.0124765,-0.0483587,-0.041862,-0.0211039,0.0363879,0.0238367,-0.00711246,0.033944800000000004,-0.00837004,0.00317407,0.00171134,-0.00174372,-0.0307866,-0.00263863,-0.0221491,0.0229323,0.00446796,-0.00635549,0.0149041,-0.00626186,-0.0103869,0.00693151,0.0140708,-0.0230658,0.00994343,-0.0153631,-0.0410582,0.0401511,0.000521939,0.00436889,-0.00897683,-0.0294396,0.00656221,-0.0432625,-0.0188494,0.0129941,-1.62495e-06,0.0311638,-0.0190475,0.00361034,0.00871818,-0.0114505,-0.0189079,0.0267154,0.00367821
2009,1,-0.0123987,-0.00841232,-0.00214068,-0.00322119,0.0139392,-0.0356547,-0.00317864,-0.0112496,-0.00105662,-0.01129,-0.00487362,-0.026912400000000003,0.0470837,0.00136248,0.00737333,0.0120983,0.0108007,0.021685,-0.00886629,-0.0154741,-0.00788022,0.00864966,0.0141422,0.0317268,0.0353908,0.00301523,0.0171383,-0.0295361,-0.00466407,-0.0190134,-0.034995,-0.0149463,0.0113086,0.0286765,-0.011981,-0.0128132,0.031139799999999995,-0.0120721,-0.00470603,-0.0191707,0.00227281,-0.019904,-0.012318,-0.00194044,0.0267616,-0.0331471,0.024946400000000004,-0.0359143,-0.0400658,-0.000156632,0.00477581,-0.0222112,0.0386143,-0.00957606,0.017375099999999997,-0.0362004,-0.0172104,0.00600256,0.00418952,0.00640623,-0.00717304,-0.0380611,-0.00204571,0.040113800000000005,0.0355795,-0.0426508,-0.034562699999999995,-0.0095071,0.00581465,-0.0296014,0.0139126,0.0381967,-0.0138339,-0.025665,-0.039475300000000005,-0.000329972,0.0368546,-0.0401834,-0.00502242,0.022024400000000003,0.0295378,0.0074738,0.0104986,0.0202637,-0.0106829,0.0389016,-0.0214321,0.00306689,0.0045008,0.0149598,0.0130379,-0.026507,-0.00715263,-0.0121454,0.0133065,0.015384,-0.0135987,0.00405499,0.032869,-0.018877200000000004
2010,1,0.00909934,0.035557099999999994,0.0428774,0.032327800000000004,0.00659421,0.00239703,-0.0220666,-0.00844956,0.0302268,0.027138599999999995,0.0242908,0.0276367,-0.0191506,-0.0373392,-0.0134007,0.0442492,-0.0147106,-0.0458182,0.0156798,0.056383400000000014,0.0195312,-0.00104158,0.00954714,0.00962319,-0.00799008,0.029993400000000007,0.0215454,0.028542,-0.00204049,-0.0224728,0.00280477,-0.00133842,0.0190558,-0.016366899999999997,0.0181071,0.000743819,-0.00622867,-0.005721100000000001,0.0164581,-0.0296257,-0.026218,-0.0140353,-0.08464819999999999,-0.0234231,-0.018009200000000003,0.0085633,0.020257,-0.0297158,0.0020818,-0.0109344,-0.0143144,0.054312,0.00294957,-0.00456567,-0.0231607,-2.53433e-05,0.016274200000000003,0.0141465,-0.019456900000000003,-0.0530971,-0.025494,-0.000259567,0.00337364,0.00180361,0.0128685,-0.008254000000000001,-0.00903368,-0.0207106,-0.05857200000000001,0.00785772,-0.00308444,-0.00166538,-0.0310358,0.035736000000000004,0.00354515,-0.0229494,0.00405004,-0.00706999,0.000926033,0.00904316,0.0260949,-0.0137052,0.0109473,-0.0273842,-0.0125874,0.00785514,-0.050276,-0.014969799999999997,0.0269958,-0.025569,0.00280555,0.017589700000000003,-0.00474289,0.00154882,0.0203036,0.00409386,0.000223617,0.0140438,0.000888492,-0.0302767
