"id","total","CentralLuzon","IlocosRegion","MetroManila","Visayas","age2","exposure"
1,0,1,0,0,0,0.719260823433585,1
2,3,0,0,1,0,2.36685654904978,1
3,4,0,0,0,0,0.00786575768916145,1
4,3,0,0,0,1,0.0657892931502316,1
5,3,0,0,1,0,2.15920242197777,1
6,6,0,0,0,1,0.18824530284138,1
7,5,0,0,1,0,0.00786575768916145,1
8,5,0,0,0,1,0.654137357563585,1
9,6,0,0,0,1,0.0351403396089544,1
10,4,1,0,0,0,0.18824530284138,1
11,2,1,0,0,0,1.77249053750734,1
12,3,0,0,1,0,1.33164890261921,1
13,7,1,0,0,0,0.547231418226055,1
14,4,0,0,0,0,0.896545605912239,1
15,5,1,0,0,0,0.719260823433585,1
16,4,0,0,0,0,0.0514212060764543,1
17,2,0,0,0,1,0.0874971151068981,1
18,2,0,1,0,0,0.18824530284138,1
19,2,0,0,0,1,0.841125841484812,1
20,5,0,1,0,0,0.155683569906381,1
21,10,0,0,1,0,0.841125841484812,1
22,4,0,0,1,0,1.33164890261921,1
23,6,0,0,0,1,0.155683569906381,1
24,4,0,0,0,0,0.000386218332312358,1
25,1,0,0,0,1,0.504127157004724,1
26,5,0,1,0,0,0.155683569906381,1
27,3,0,0,0,1,0.252917581545419,1
28,0,0,0,1,0,2.58404279934633,1
29,1,0,0,0,0,2.58404279934633,1
30,2,0,0,0,1,1.17708234715902,1
31,0,0,0,0,1,0.327121983473989,1
32,9,0,0,0,1,0.0514212060764543,1
33,3,0,0,1,0,3.92995317965492,1
34,1,0,0,0,1,0.0874971151068981,1
35,7,0,0,0,1,1.42390714593504,1
36,3,0,0,1,0,0.0248774202705421,1
37,5,0,0,0,1,0.41085850862709,1
38,5,1,0,0,0,0.0248774202705421,1
39,2,0,0,0,0,2.6805142411274,1
40,3,1,0,0,0,0.00786575768916145,1
41,4,0,1,0,0,1.42390714593504,1
42,4,0,1,0,0,0.000386218332312358,1
43,5,1,0,0,0,0.449857602113057,1
44,3,0,0,1,0,0.0514212060764543,1
45,10,0,0,0,1,1.03204791492336,1
46,1,0,0,1,0,0.896545605912239,1
47,1,0,0,0,1,0.10597036991604,1
48,7,0,0,0,1,2.8107611728674,1
49,1,0,0,0,1,0.972522982760572,1
50,8,0,0,0,0,0.0351403396089544,1
51,0,0,0,0,1,0.41085850862709,1
52,3,0,1,0,0,2.15920242197777,1
53,3,0,0,1,0,0.0657892931502316,1
54,6,0,0,1,0,0.252917581545419,1
55,2,0,0,0,0,0.10597036991604,1
56,1,0,0,1,0,0.0351403396089544,1
57,1,0,0,1,0,0.0657892931502316,1
58,11,0,0,0,1,0.0140235092922089,1
59,2,0,0,0,0,0.719260823433585,1
60,4,0,0,0,0,0.362015909224591,1
61,5,0,0,0,0,0.155683569906381,1
62,1,0,0,1,0,0.0351403396089544,1
63,0,0,1,0,0,1.42390714593504,1
64,3,1,0,0,0,0.00786575768916145,1
65,8,0,0,0,1,0.283706339560656,1
66,5,1,0,0,0,0.770575420125646,1
67,6,0,0,0,1,0.719260823433585,1
68,2,0,0,0,0,0.10597036991604,1
69,3,0,0,1,0,0.896545605912239,1
70,3,1,0,0,0,0.000386218332312358,1
71,4,0,0,0,1,0.0248774202705421,1
72,5,0,0,0,1,0.10597036991604,1
73,2,0,0,0,1,2.45922282309549,1
74,4,0,0,0,1,2.04523635670527,1
75,0,0,0,1,0,0.0514212060764543,1
76,3,1,0,0,0,2.04523635670527,1
77,0,0,0,0,1,0.000386218332312358,1
78,3,0,0,1,0,0.547231418226055,1
79,7,1,0,0,0,0.504127157004724,1
80,0,0,0,0,0,1.26391363498569,1
81,1,0,0,0,1,2.15920242197777,1
82,7,1,0,0,0,0.10597036991604,1
83,1,0,1,0,0,4.66468923780181,1
84,3,1,0,0,0,0.0140235092922089,1
85,7,0,1,0,0,0.0351403396089544,1
86,3,0,0,1,0,1.17708234715902,1
87,15,0,0,0,1,0.0514212060764543,1
88,2,0,0,0,1,0.719260823433585,1
89,2,0,0,0,1,0.252917581545419,1
90,4,0,0,0,1,0.283706339560656,1
91,4,0,0,0,0,1.33164890261921,1
