sid,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0,1,1.0,,0.99539,-0.05889,0.85243,0.02306,0.83398,-0.37708,1.0,0.0376,0.85243,-0.17755,0.59755,-0.44945,0.60536
1,0,1.0,,1.0,-0.18829,0.93035,-0.36156,-0.10868,-0.93597,1.0,-0.04549,0.50874,-0.67743,0.34432,-0.69707,-0.51685
2,1,1.0,,1.0,-0.03365,1.0,0.00485,1.0,-0.12062,0.88965,0.01198,0.73082,0.05346,0.85443,0.00827,0.54591
3,0,1.0,,1.0,-0.45161,1.0,1.0,0.71216,-1.0,,,,,,,-1.0
4,1,1.0,,1.0,-0.02401,0.9414,0.06531,0.92106,-0.23255,0.77152,-0.16399,0.52798,-0.20275,0.56409,-0.00712,0.34395
5,0,1.0,,0.02337,-0.00592,-0.09924,-0.11949,-0.00763,-0.11824,0.14706,0.06637,0.03786,-0.06302,,,-0.04572
6,1,1.0,,0.97588,-0.10602,0.94601,-0.208,0.92806,-0.2835,0.85996,-0.27342,0.79766,-0.47929,0.78225,-0.50764,0.74628
7,0,-1.0,,,,,,1.0,-1.0,,,-1.0,-1.0,,,
8,1,1.0,,0.96355,-0.07198,1.0,-0.14333,1.0,-0.21313,1.0,-0.36174,0.9257,-0.43569,0.9451,-0.40668,0.90392
9,0,1.0,,-0.01864,-0.08459,,,,,0.1147,-0.2681,-0.45663,-0.38172,,,-0.33656
10,1,1.0,,1.0,0.06655,1.0,-0.18388,1.0,-0.2732,1.0,-0.43107,1.0,-0.41349,0.96232,-0.51874,0.90711
11,0,1.0,,1.0,-0.5421,1.0,-1.0,1.0,-1.0,1.0,0.36217,1.0,-0.41119,1.0,1.0,1.0
12,1,1.0,,1.0,-0.16316,1.0,-0.10169,0.99999,-0.15197,1.0,-0.19277,0.94055,-0.35151,0.95735,-0.29785,0.93719
13,0,1.0,,1.0,-0.86701,1.0,0.2228,0.85492,-0.39896,1.0,-0.1209,1.0,0.35147,1.0,0.07772,1.0
14,1,1.0,,1.0,0.0738,1.0,0.0342,1.0,-0.05563,1.0,0.08764,1.0,0.19651,1.0,0.20328,1.0
15,0,1.0,,0.50932,-0.93996,1.0,0.26708,-0.0352,-1.0,1.0,-1.0,0.43685,-1.0,,,-1.0
16,1,1.0,,0.99645,0.06468,1.0,-0.01236,0.97811,0.02498,0.96112,0.02312,0.99274,0.07808,0.89323,0.10346,0.94212
17,0,-1.0,,,,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
18,1,1.0,,0.67065,0.02528,0.66626,0.05031,0.57197,0.18761,0.08776,0.34081,0.63621,0.12131,0.62099,0.14285,0.78637
19,0,-1.0,,1.0,-1.0,,,,,1.0,1.0,1.0,-1.0,-0.71875,1.0,
20,1,1.0,,1.0,-0.00612,1.0,-0.09834,1.0,-0.07649,1.0,-0.10605,1.0,-0.11073,1.0,-0.39489,1.0
21,0,-1.0,,1.0,1.0,,,,,-1.0,-1.0,,,,,-1.0
22,1,1.0,,0.96071,0.07088,1.0,0.04296,1.0,0.09313,0.90169,-0.05144,0.89263,0.0258,0.8325,-0.06142,0.87534
23,0,-1.0,,-1.0,1.0,,,,,-1.0,1.0,1.0,1.0,,,
24,1,1.0,,1.0,-0.06182,1.0,0.02942,1.0,-0.05131,1.0,-0.01707,1.0,-0.11726,0.84493,-0.05202,0.93392
25,0,1.0,,1.0,0.5782,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
26,1,1.0,,1.0,-0.08714,1.0,-0.17263,0.86635,-0.81779,0.94817,0.61053,0.95473,-0.41382,0.88486,-0.31736,0.87937
27,0,-1.0,,-1.0,-1.0,,,-1.0,1.0,1.0,-0.375,,,,,
28,1,1.0,,1.0,0.0838,1.0,0.17387,1.0,-0.13308,0.98172,0.6452,1.0,0.47904,1.0,0.59113,1.0
29,0,-1.0,,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,
30,1,1.0,,1.0,-0.14236,1.0,-0.16256,1.0,-0.23656,1.0,-0.07514,1.0,-0.2501,1.0,-0.26161,1.0
31,0,1.0,,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.0184,1.0
32,1,1.0,,0.88208,-0.14639,0.93408,-0.11057,0.921,-0.1645,0.88307,-0.17036,0.88462,-0.31809,0.85269,-0.31463,0.82116
33,0,1.0,,0.71253,-0.02595,0.41287,-0.23067,0.98019,-0.09473,0.99709,-0.10236,1.0,-0.10951,0.58965,1.0,0.83726
