id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0,1,B,A,B,A,A,B,A,D,B,B,C,C,A,B,A,A,A,C,E,C
1,0,B,D,E,A,D,A,B,B,D,E,E,C,C,B,D,D,E,B,C,D
2,0,D,B,E,D,A,A,E,C,D,D,C,A,E,C,D,D,D,E,E,C
3,0,B,D,E,E,B,E,B,A,E,D,D,B,C,D,B,D,C,C,C,D
4,1,A,B,A,C,C,E,E,E,D,A,B,D,B,A,A,D,B,A,C,A
5,1,D,E,D,E,C,B,C,D,C,E,B,C,A,E,D,A,A,E,A,B
6,0,E,B,B,B,D,A,B,A,C,B,A,A,B,E,D,C,B,C,A,B
7,0,C,E,B,A,B,D,C,D,D,C,D,A,B,E,B,A,D,E,A,B
8,1,D,C,E,E,C,C,E,A,B,E,B,D,D,A,C,A,D,D,D,B
9,1,E,D,E,E,B,D,D,E,D,D,A,C,E,D,D,B,B,A,C,D
10,0,D,D,E,A,B,E,A,D,E,E,D,C,D,E,E,A,A,E,C,B
11,1,A,B,A,B,A,E,A,E,D,A,D,A,D,B,B,E,D,D,E,E
12,0,B,E,D,B,A,D,E,B,A,D,C,A,A,C,A,B,D,B,E,E
13,0,E,D,E,C,C,B,D,C,D,A,A,E,A,D,E,E,C,D,B,C
14,0,C,D,D,B,B,B,B,B,D,A,D,B,E,A,A,A,D,B,B,D
15,1,E,A,B,E,E,E,C,D,C,D,C,A,A,C,D,A,C,A,B,E
16,1,C,A,B,B,A,D,E,C,C,B,C,E,D,B,D,E,C,C,E,E
17,0,E,C,B,E,D,B,B,D,B,A,D,D,C,B,D,C,A,D,C,D
18,1,D,D,B,D,E,D,A,D,B,A,A,D,A,D,E,C,E,B,B,E
19,0,E,D,E,D,A,E,E,B,C,D,A,E,A,A,E,A,C,B,C,C
20,0,B,B,B,A,D,E,D,E,A,A,C,D,B,A,D,C,D,A,B,C
21,0,A,E,E,B,D,D,E,C,B,A,A,B,B,A,B,C,D,A,A,D
22,1,A,C,B,A,A,A,B,D,E,E,C,B,B,D,A,E,C,A,E,D
23,1,D,A,B,A,B,C,B,A,C,D,D,B,A,E,C,B,C,A,D,B
24,0,E,B,B,B,E,D,A,D,E,D,D,B,E,C,C,B,C,E,E,E
25,0,B,B,E,D,E,E,D,E,C,E,A,B,B,C,E,E,E,E,B,B
26,0,A,D,B,C,A,A,C,E,E,A,A,C,A,D,B,D,E,B,A,C
27,1,B,D,B,C,A,C,E,D,D,A,E,A,A,C,B,A,D,D,C,A
28,1,A,C,A,C,C,D,A,A,B,B,B,A,B,D,A,A,C,C,B,D
29,1,A,B,E,E,E,A,A,C,C,A,A,B,D,C,E,C,E,D,C,E
30,0,D,A,A,E,A,E,E,C,A,B,E,D,E,E,A,B,A,D,C,D
31,1,A,E,B,A,B,D,E,B,C,D,C,C,A,A,D,C,E,D,A,A
32,0,E,C,E,A,B,A,A,B,A,B,D,A,D,E,B,A,B,A,A,B
33,0,D,D,C,C,C,C,D,B,A,C,E,A,E,A,D,D,B,A,D,A
34,0,E,D,B,E,D,B,A,C,D,E,C,B,C,C,C,E,B,D,D,D
35,0,A,B,E,A,A,A,C,C,E,A,B,A,C,B,A,D,E,A,D,A
36,0,C,E,C,D,E,A,E,A,E,C,C,A,E,D,A,B,A,A,B,A
37,1,A,D,C,E,C,E,B,D,B,D,D,A,B,D,B,E,A,D,B,A
38,1,D,E,B,E,A,D,A,D,A,A,C,B,B,C,C,E,D,B,A,B
39,0,C,A,A,D,E,A,D,D,C,E,C,B,D,D,D,C,E,C,B,B
40,0,E,C,C,A,D,C,C,A,A,C,D,B,E,D,B,D,E,B,B,D
41,1,C,A,A,C,A,C,E,E,A,B,D,E,D,A,D,E,E,B,A,D
42,0,D,C,D,D,B,C,B,E,C,C,C,E,D,E,B,B,E,A,C,D
43,0,A,A,C,B,A,D,B,A,D,C,D,C,E,A,C,D,C,E,C,C
44,1,C,B,C,E,E,B,A,D,A,B,E,B,B,A,B,B,D,D,E,D
45,0,E,C,E,E,A,A,A,E,E,B,C,C,B,D,A,D,C,D,C,C
46,1,B,D,B,A,E,C,B,C,D,D,B,A,E,A,B,E,D,D,B,A
47,0,D,A,D,D,E,B,A,D,C,B,D,D,D,C,B,A,E,A,C,B
48,0,D,D,A,A,C,C,D,E,D,E,D,E,E,B,D,C,C,A,D,D
49,1,A,B,C,B,E,A,C,B,C,B,E,D,C,E,C,B,C,A,C,E
50,1,D,A,C,D,B,C,E,B,A,A,E,B,E,A,B,A,A,C,C,A
51,1,B,B,E,D,B,E,E,C,B,A,E,B,C,A,C,E,A,B,C,B
52,1,D,B,B,E,B,D,C,A,E,E,B,C,B,B,B,D,B,E,C,A
53,1,B,C,E,E,E,C,B,D,D,D,E,D,D,A,D,E,C,C,D,A
54,1,D,E,D,B,D,B,A,A,B,B,E,D,E,D,D,C,A,E,B,C
55,0,B,A,A,C,E,C,D,C,A,A,E,E,E,B,A,B,E,D,D,A
56,0,B,E,E,D,D,A,B,B,D,B,C,E,C,D,A,D,E,A,A,A
57,0,E,E,D,D,A,A,C,D,E,B,C,A,E,E,C,C,C,D,B,B
58,0,C,E,C,D,B,D,D,B,A,A,E,E,D,A,B,D,B,A,D,E
59,0,E,D,E,E,B,E,B,D,C,D,C,C,D,E,C,E,C,E,D,D
60,0,E,B,D,A,D,C,A,C,B,E,E,C,A,D,D,B,C,E,B,A
61,0,B,A,A,D,A,E,B,D,E,A,D,B,C,C,C,D,E,C,C,C
62,0,A,B,D,C,B,E,D,D,D,C,A,E,B,A,D,A,A,A,E,B
63,0,E,D,A,C,D,B,C,B,C,D,B,C,D,A,C,C,D,C,A,D
64,1,D,A,D,A,C,B,B,E,E,C,E,C,D,C,E,D,A,E,B,C
65,0,C,B,D,D,D,B,E,B,B,A,E,A,B,E,C,A,D,A,C,E
66,0,A,D,E,D,A,B,E,C,D,A,A,A,A,A,B,C,A,B,E,A
67,0,D,E,E,C,D,C,D,E,B,A,C,E,A,B,C,A,A,C,B,E
68,0,A,D,E,C,E,E,B,C,B,E,D,E,A,C,E,C,D,A,E,E
69,0,C,A,E,E,A,D,B,E,C,E,A,C,B,A,B,E,A,D,E,B
70,1,A,B,D,E,D,D,D,B,E,B,E,D,D,A,A,E,E,B,E,D
71,0,C,E,A,A,C,E,A,E,A,D,B,B,E,B,A,D,A,A,A,D
72,1,B,D,E,A,D,B,C,B,B,A,E,A,B,A,D,D,C,A,A,D
73,0,D,E,C,A,C,E,E,D,D,D,E,E,A,C,C,D,E,C,B,E
74,1,D,A,A,B,B,D,D,A,C,A,B,B,B,A,B,A,B,B,B,A
75,1,E,D,C,A,E,E,B,B,B,C,D,A,E,C,D,B,B,E,E,C
76,0,B,D,C,A,B,E,B,E,D,B,D,D,A,C,A,E,D,B,C,B
77,1,D,D,D,A,C,E,E,E,C,B,B,B,D,A,B,B,E,D,B,B
78,0,A,D,C,E,C,A,A,C,D,E,A,A,A,E,B,D,B,D,A,E
79,1,D,E,E,A,B,C,C,B,D,A,D,A,D,E,B,D,C,E,A,E
80,0,A,C,E,C,D,C,E,C,D,C,E,A,D,E,A,D,E,B,B,C
81,0,C,E,B,D,D,A,B,D,E,A,C,E,A,D,C,E,D,B,A,E
82,0,C,E,A,E,B,B,C,E,A,A,A,E,B,E,B,C,C,D,A,D
83,0,D,C,B,B,A,D,C,B,D,E,D,A,A,B,B,D,A,B,B,C
84,0,B,A,D,E,B,E,D,B,E,A,B,A,E,E,B,C,B,E,B,E
85,1,D,C,B,C,D,E,C,D,C,B,C,E,D,E,C,B,C,A,C,D
86,0,B,E,B,E,D,C,A,B,E,E,E,D,A,A,A,A,D,C,D,A
87,1,E,B,D,A,A,D,D,B,B,D,E,B,B,C,D,D,B,E,C,B
88,1,B,D,C,D,E,C,E,A,A,B,D,C,D,C,A,D,E,C,C,D
89,0,A,A,C,C,B,D,A,A,A,D,A,B,C,C,E,B,C,B,C,C
90,1,B,B,C,E,C,E,A,A,C,A,B,A,B,C,C,A,D,A,E,D
91,0,A,D,E,A,D,E,D,A,E,C,E,D,C,B,D,C,A,E,E,E
92,1,C,E,A,B,E,E,C,E,B,A,C,B,C,C,A,C,B,D,B,E
93,0,D,E,A,B,A,C,E,C,C,A,C,D,C,B,E,A,E,A,E,D
94,1,E,B,D,A,C,E,B,E,B,B,A,C,C,D,B,B,E,A,B,D
95,0,A,C,B,B,B,B,D,A,D,B,C,E,D,E,C,A,C,D,C,C
96,1,E,C,A,B,A,C,D,D,D,D,B,A,C,B,B,E,C,D,E,C
97,1,D,C,C,D,A,C,E,A,C,A,C,D,C,B,E,C,C,B,C,E
98,1,E,C,E,B,C,D,C,D,C,B,A,A,B,A,E,A,B,D,A,E
99,1,C,B,B,C,D,D,A,D,B,B,D,E,D,E,A,E,D,C,C,E
100,1,D,E,C,A,A,B,B,E,E,B,E,B,E,C,B,C,A,E,C,A
101,1,D,D,E,E,B,D,D,A,E,C,A,B,A,B,C,D,D,E,C,E
102,0,E,D,E,D,C,E,B,B,E,E,D,C,B,A,D,D,E,C,A,C
103,1,D,D,D,B,D,A,D,A,E,E,A,D,E,C,D,B,D,C,C,B
104,0,E,A,E,C,A,E,B,E,D,E,D,A,E,A,E,C,C,A,D,B
105,1,E,D,B,B,C,E,A,C,D,C,B,B,E,C,A,E,D,E,A,D
106,1,E,A,D,B,D,D,A,D,D,B,A,C,A,D,C,A,D,D,E,D
