idx,motor_speed,pm,stator_yoke,stator_tooth,stator_winding
1,0.2935362,-0.6331047,-0.39753547,-0.29014707,-0.30772012
2,-1.22243,-0.15065576,-0.7776131,-1.226843,-1.3218563
3,-0.95190084,1.1360375,0.96701133,0.45456198,0.11089915
4,1.5039048,1.0466292,1.2912089,1.3025689,1.0491111
5,0.18643914,-0.47017303,-0.053766523,-0.123046994,-0.032704756
6,-0.45132223,0.6182605,2.2194326,1.9916204,2.0203998
7,-1.0081816,-0.58353126,0.11259055,0.080426835,0.018328104
8,1.6182984,0.8130191,1.1483983,1.269249,1.261606
9,1.9835948,1.266706,1.2923857,1.3008974,1.2420858
10,-1.2224287,-0.4079813,1.1554018,0.61742294,0.19622199
11,1.060864,-1.9131672,-0.931141,-1.0679089,-0.97692335
12,1.5433477,1.7923565,1.5861849,1.6854994,1.6326808
13,-0.08860146,0.030298231,-1.0162548,-0.88881254,-0.9612818
14,0.16817842,-0.86630934,-0.98363084,-0.79496586,-0.60086125
15,0.69642895,0.4444936,0.7845303,0.8077671,0.7440794
16,1.2383482,0.8680826,1.4982725,1.5350854,1.4541249
17,-1.2224292,-0.6498968,-0.73472506,-1.0679032,-1.1352037
18,-0.5460631,2.5141337,0.19799195,0.922454,1.1684716
19,-0.38260987,0.22996332,-0.057708886,0.015141915,-0.053082936
20,0.21241513,-0.88636595,1.333444,0.7756293,0.34066057
21,1.3448443,-1.3158876,-0.6895489,-0.4536089,-0.2880683
22,0.56317204,1.6221181,1.4741509,1.6113755,1.6379085
23,-0.04440782,0.2644652,1.5727644,1.0937625,0.718714
24,1.0352039,-0.729979,-0.39753547,-0.5314773,-0.60307634
25,-0.64615965,-1.2764896,-1.5746365,-1.7312883,-1.743679
26,-0.85306334,-1.8098016,-0.73472506,-0.8919251,-0.9156372
27,-0.1765795,0.6646708,1.1714823,1.4543841,1.5806936
28,0.53800887,-0.7648461,-0.057886653,0.022858335,0.26436746
29,-0.034472153,0.051876757,-0.15613568,-0.22745828,-0.36885843
30,-1.2224268,0.3888074,0.1164709,-0.19064672,-0.38822663
31,1.7255448,-0.17909513,-0.25798985,-0.040695533,0.017978428
32,1.394071,0.21051303,0.70273674,0.46123898,0.33346263
33,-0.15802874,-0.419821,-0.046816103,-0.29383245,-0.5031175
34,0.22440423,1.3463522,0.91252774,1.0065752,0.9413437
35,2.024121,0.62260395,-0.42960945,0.15493041,0.51213163
36,0.13238183,0.6517477,-0.057750423,0.027276801,-0.022845596
37,-0.14024802,0.8162987,-1.0268155,-0.97466916,-1.0488167
38,-1.1953619,-2.095237,-1.7447779,-1.8690261,-1.783072
39,-0.44905367,-0.47349787,-0.26272202,-0.34073776,-0.43029252
40,-1.2224307,-1.1226348,-1.2959561,-1.5509492,-1.5721393
41,0.5719909,0.27099094,0.25598225,0.12647295,-0.09561874
42,1.6434501,0.06160719,-0.4061476,-0.13439825,-0.0036753085
43,1.4830301,0.25348654,-0.6052484,-0.20327103,0.017978428
44,0.3940267,0.5532566,0.55035746,0.32317474,0.17108805
45,0.66917855,-0.30816126,-0.5245882,-0.4330642,-0.4163732
46,0.35829946,1.1323154,1.2877377,1.2261782,1.0964866
47,-1.2224245,1.2015032,2.1477609,1.8839396,1.5162321
48,1.4314723,-1.4981871,-0.73472506,-0.5835818,-0.37904912
49,-0.052713457,0.11936734,1.2910073,1.0366365,0.9278725
50,-1.2224361,-1.8831811,-1.3681759,-1.6380159,-1.6597942
51,-0.9518886,-0.1731109,1.6256125,1.0414432,0.5170762
52,-0.14024445,-0.66030663,-0.39804828,-0.30060056,-0.2783323
53,-0.051089104,0.9674933,0.9512226,1.3439274,1.5097048
54,-1.2223316,0.015276888,-0.15526496,-0.43785724,-0.60133594
55,1.4830325,0.34340176,-0.608546,-0.18483461,0.017970007
56,0.2459941,1.1197674,1.8284644,1.6995169,1.7764833
57,1.1502521,-0.30888245,-0.77792436,-0.76913756,-0.84327227
58,1.9429532,2.740646,0.27697724,1.2631254,1.732807
59,-1.189964,-2.2542539,-1.7462937,-1.9857602,-1.8859512
60,-0.64260453,-1.7241789,-0.5640248,-0.7619508,-0.5689628
61,1.0073352,-0.5985675,-0.78508794,-0.7619508,-0.73020774
62,-1.2224284,-0.6048525,1.3341264,0.770885,0.32635787
63,0.008785407,-0.9405046,0.2656923,-0.09429606,-0.33383745
64,-0.3262157,0.5009567,-0.23739372,-0.0015693428,0.17164683
65,0.7495535,0.39429098,0.5217276,0.461578,0.63130414
66,0.10866099,0.027833913,0.27293387,1.1226001,1.9817852
67,-0.73544633,-1.7712511,-1.6633223,-1.8276078,-1.8292718
68,-1.2224283,0.3333422,-0.552896,-0.83605266,-1.004487
69,-1.2224307,0.25166988,-0.6053704,-0.9972847,-1.2256489
70,0.8229046,0.33095235,0.10545371,0.7910582,1.2616092
71,1.4830292,1.1124394,0.61345774,0.8072069,0.88316923
72,0.56316835,1.3714821,-0.22432522,0.3112762,0.5896109
73,-0.16188869,-1.5726362,-1.4399513,-1.5342582,-1.5427145
74,1.2094711,0.8598637,1.7954534,1.3079549,0.81008476
75,-1.2224276,1.042945,-0.634208,-0.45331955,-0.40078488
76,1.4887414,1.7428966,1.5434272,1.5652134,1.2637337
77,-0.14024848,0.022260247,-1.292387,-1.3375858,-1.4431683
78,0.34859788,0.25919545,0.3777959,0.42530572,0.47836998
79,-0.61609286,-1.7360383,-0.5706136,-0.7619526,-0.6029074
80,2.0241165,-0.49270722,-0.8710616,-0.5718579,-0.38487917
81,1.0647758,0.4988004,2.0498352,1.8227763,1.6423906
82,1.3477559,1.7251121,0.079370245,0.8840425,1.261606
83,-0.6813282,1.2455808,1.5924633,1.1085544,0.608584
84,0.55927336,-1.9456769,-1.2783307,-1.2727501,-1.2243869
85,0.73696965,-0.8076231,-0.89574444,-0.9672698,-0.97692376
86,0.44305733,1.5799282,2.2194297,1.9916233,1.8765532
87,1.5479634,0.16861096,-0.73846626,-0.29715684,0.018556671
88,0.2748934,-1.4111534,-1.0200243,-0.8083357,-0.56761146
89,-0.64616275,-1.8855283,-1.6619363,-1.8250198,-1.8178036
90,0.94193506,-0.02098329,0.94898546,0.6431839,0.3268827
91,-1.222428,-0.75999695,-0.44591692,-0.79967815,-0.977352
92,2.0241177,-2.0594492,-1.5726331,-1.5042924,-1.3543057
93,-1.195382,-2.1654406,-1.7462937,-1.875403,-1.7828764
94,-1.2224295,1.1350847,-1.2986699,-1.3697382,-1.3298639
95,-0.82865816,0.8232559,1.1687727,0.97422093,0.652763
96,0.12231498,-1.6296315,-0.73472506,-0.83604765,-0.97686195
97,-0.95190185,-0.2225407,1.6212012,1.031979,0.5148033
98,-1.0554135,-1.5085921,0.12381741,0.39028773,0.97265244
99,0.22861028,0.2658557,-0.39753547,-0.2957332,-0.3179426
100,-1.2224271,-1.895591,-1.3769901,-1.6387173,-1.6598344
101,0.16404119,-0.009123185,0.23662381,0.34339082,0.4344947
102,-0.68404794,-1.3941361,-0.7652155,-0.38351595,0.33231804
103,-0.16189225,-1.5863669,-1.4428248,-1.5348307,-1.5497537
104,-0.5343742,-0.14570935,0.25708863,0.15578638,0.14355867
105,-0.15149528,0.7321722,1.4194555,0.99810237,0.5156368
106,0.29985473,0.4037216,0.20466775,0.15590607,0.22687638
107,0.8251411,-0.0104781035,0.53258634,0.46185774,0.50198877
108,-1.2224324,-1.3592255,-1.409146,-1.6798079,-1.668671
109,1.1094244,-0.008499297,0.13545138,0.010570902,-0.21580224
110,2.024118,-0.25430083,-0.81684875,-0.499931,-0.35137668
111,-1.2224302,-0.5758481,-0.73475873,-1.0679032,-1.1347325
112,-1.2224317,0.13708459,-0.06355648,-0.453608,-0.6941226
113,-0.19000165,1.1620145,0.9073144,0.8600049,0.80271685
114,-0.34906924,0.7007011,0.7851204,0.96041214,1.2074696
115,1.0731143,-0.014434755,0.13515668,0.009397694,-0.22214258
116,0.6910725,-0.0342269,-0.48523918,-0.29578716,-0.23015723
117,2.0241165,-0.5953003,-0.8918172,-0.592074,-0.4142384
118,0.6713922,0.6590926,1.6678524,1.3030269,0.8908063
119,-1.2224307,-1.1835617,-1.3232332,-1.5636574,-1.5933026
120,-1.2224295,0.05164133,-0.5884196,-0.9119695,-1.0549763
121,0.9419408,0.9373915,1.7300907,1.3786796,0.98842007
122,0.01958411,0.60921717,0.20762147,0.3404396,0.3299336
123,-1.2224334,1.166664,1.2048335,0.90968764,0.5475479
124,-1.2224241,0.4775349,-0.18650976,-0.51861143,-0.72605735
125,1.6302023,1.8463293,1.5460182,1.6856602,1.6933196
126,1.356818,0.20418431,0.3200615,0.3132382,0.19783619
127,1.2962626,0.29727206,0.13890946,0.15590607,0.16959612
128,-0.36060137,0.4174889,0.12418633,0.09349843,0.28266326
129,0.9419393,0.0048223916,-0.8070595,-0.53007376,-0.4096862
130,0.58052653,-0.62007105,-0.25116837,-0.110920146,-0.018606797
131,1.5371087,-2.4279442,-1.7490411,-1.83182,-1.7240036
132,-0.7588388,0.560392,0.727087,0.6334349,0.5699042
133,-1.2224284,0.09765308,1.6518865,1.0516337,0.5483875
134,-1.2224293,-0.22274537,-0.40075475,-0.97411346,-1.225649
135,-0.8072898,0.6226164,0.9324959,0.9950779,0.89710164
136,-0.1626461,-0.27179128,-0.6255285,-0.5216129,-0.49563855
137,0.4950541,0.18624556,0.74120915,0.641418,0.60640925
138,1.8888464,-0.032256264,-0.61097926,-0.1308061,0.26502758
139,0.03071426,0.7557588,1.5905312,1.368852,1.2510449
140,1.8919868,-1.0007843,-0.49195436,-0.24959902,-0.032470383
141,-0.54606557,0.87393755,-0.79914886,-0.60363764,-0.45043358
142,1.4830327,-0.15542608,-0.5132338,-0.11646538,0.14987896
143,0.32040083,0.8487971,0.9002479,1.0579175,1.1148611
144,0.93366,0.7494191,1.7097151,1.5785131,1.5158427
145,-0.64143157,-2.176879,-1.3782237,-1.5753496,-1.4976336
146,-1.2224315,-0.30007017,-0.41711912,-0.18694097,-0.04033198
147,1.9429584,2.2703815,0.24155305,1.1836748,1.6926951
148,1.0857806,-0.8972985,-0.39983365,-0.38307688,-0.23072705
149,-0.95189106,0.47010973,0.027901195,0.30900016,0.48710227
150,-0.5460651,0.37073317,-0.90202194,-0.7620542,-0.5935705
151,1.3457636,1.7519664,1.5496835,1.6123285,1.3179
152,0.13030542,-1.6154649,-0.9847258,-1.0831954,-1.1146554
153,-1.2224354,0.3786993,1.4111739,0.9233364,0.48468968
154,1.575479,0.056805395,0.35872802,0.45070475,0.51372844
155,1.4698318,0.639355,0.15747593,0.46185845,0.6486793
156,0.9512937,-0.8270056,-0.932172,-1.0724938,-1.0346806
157,-0.30527928,-1.302168,-1.4402206,-1.5321153,-1.542436
158,-0.95189184,-1.3853903,-1.7462937,-1.9089239,-1.8855085
159,1.6182997,2.142553,1.6052727,1.9170914,2.0077384
160,1.8164072,0.8360311,0.33331388,0.46185845,0.64349985
161,0.117021315,0.025234582,-1.0269017,-0.8980421,-0.97419417
162,0.71575326,-0.050649527,-0.22186327,-0.35075328,-0.5888985
163,1.3272841,0.33490324,0.92385715,0.90554714,0.78300524
164,1.066388,1.2642945,-0.021716362,0.7697797,1.186831
165,0.9646577,0.019553052,0.14845255,0.012851764,-0.23073025
166,1.0231053,0.0975666,-0.49758047,0.07822296,0.56579405
167,1.1071492,0.6082586,0.61559963,0.8319715,0.9665215
168,-0.41078654,-0.53725713,0.4023592,0.9377582,1.6475018
169,1.8888477,1.994077,0.18988359,1.0976458,1.6801844
170,-0.3052803,-0.6935127,-1.4101391,-1.4522185,-1.5086287
171,-1.2224331,-0.23793729,-0.7348239,-0.76194954,-0.7260633
172,-0.7195415,-0.11008339,-1.0240624,-1.0679032,-0.9935278
173,-0.7111063,-0.04405391,0.19954894,0.80018306,1.5263475
174,1.8454574,1.6312805,2.1295798,1.8825538,1.6265707
175,1.8539258,-0.51917857,-0.8087661,-0.5137589,-0.1315232
176,1.6182995,1.7982051,1.2910466,1.2246499,1.0003148
177,-1.2224315,1.4252118,2.2999976,2.2239444,1.8881376
178,-0.8916634,0.353702,0.02228826,0.060308307,0.01718585
179,-1.2224231,-0.15815562,-0.95105857,-1.067862,-1.0021287
180,1.1073165,1.0963138,1.3396807,1.1908373,0.9554364
181,-1.2224298,0.2456429,1.6011846,1.0048602,0.51515645
182,1.1455333,1.8260416,2.2130172,1.9395303,1.494021
183,-0.41078725,-0.6249975,0.23189144,0.7094741,1.2643198
184,-1.1899704,-2.3931136,-0.05803981,0.76496714,1.8539166
185,-0.52872473,0.118150316,-0.057711642,-0.0010549029,-0.059306808
186,0.29038948,0.75798005,1.5887654,1.8133974,2.076026
187,-1.22243,0.25032026,1.6052525,1.0082265,0.5162351
188,0.022310602,0.15191133,0.3629324,0.15590571,0.017842509
189,-1.1412861,-0.29210475,0.44198933,-0.004744759,-0.3299762
190,-0.95153034,0.87614965,1.722953,1.2923427,0.77829766
191,2.007895,0.35394514,-0.668893,-0.18391845,0.017978428
192,-1.2196815,0.25068638,0.35574812,0.39086184,0.3329744
193,-0.004973876,0.14096004,0.88468117,0.66956925,0.43201473
194,-0.004974536,0.18710656,0.8868589,0.688048,0.45130265
195,-0.95189935,-0.13374642,-1.4389883,-1.5313975,-1.5001111
196,1.483029,1.1308653,-0.45743987,0.007293849,0.1977508
197,-0.49197674,0.3088979,1.2910446,0.77242225,0.3260082
198,1.3477572,-1.4868113,-1.4091152,-1.3365049,-1.2432573
199,0.077602826,0.13603188,-0.24323286,-0.13196771,-0.030306112
200,-1.2224284,-0.87254196,-1.3724132,-1.6033627,-1.6196272
201,-1.2224306,-0.47336504,-1.258848,-1.5075202,-1.5339471
202,-0.41981682,-0.5478279,0.6529089,0.5788217,0.41918072
203,-1.2132329,1.7843528,1.3710865,1.7795184,1.8787277
204,1.0897943,0.2898296,0.16998929,0.39931864,0.6133743
205,1.3477567,1.7113972,0.07664704,0.8837806,1.261606
206,0.049405776,0.011577527,-0.14551634,-0.024454772,0.29713908
207,0.07116606,-1.7227877,-0.7730461,-0.7705987,-0.5480553
208,0.40257806,1.0986187,1.5561,1.1298879,0.57682014
209,0.4571239,-0.7516428,-1.2384629,-1.2503852,-1.3214096
210,-1.1899635,-2.2111583,-0.24382463,-0.04623755,0.14358132
211,0.57955635,1.7284931,2.323519,2.2281575,1.9939039
212,1.4329885,0.2362512,-0.39752916,-0.004245502,0.018030126
213,0.9419406,1.2030699,1.8850887,1.4247613,0.9120186
214,0.13029565,-0.5054562,-0.73561686,-0.45198432,-0.22978286
215,-0.64211017,0.40258336,0.5355337,0.6193853,0.7510204
216,-0.42420378,1.2477362,2.248519,1.9916204,2.0191958
217,-1.2224334,0.7332792,0.78499645,0.312737,-0.044781048
218,-0.68133485,-0.035526566,1.4821943,0.923107,0.475283
219,0.23314832,0.76482624,0.14787339,0.13352863,-0.10168869
220,-1.222428,0.03943865,0.4486872,0.30941743,0.14028467
221,0.55531305,1.3279911,1.3521062,1.227859,0.9893686
222,1.9429519,2.8039744,0.28861,1.2790633,1.732306
223,-0.24302559,1.682179,2.225827,1.9404558,1.5477389
224,-1.2224289,0.87187105,0.45585594,0.34873563,0.17647085
225,-0.41079235,-0.28186452,-0.023426307,-0.27982488,-0.5001691
226,0.7217593,0.15789028,0.60360205,0.3872579,0.16466989
227,-0.14024432,0.15380582,0.23148118,0.053360153,-0.22480406
228,-0.30527487,-0.22641808,-1.4525878,-1.5287974,-1.567526
229,1.4830272,1.757021,1.3046868,1.4002569,1.261606
230,0.18441175,-0.6276024,-1.3181639,-1.3599204,-1.4749683
231,-0.9518764,-1.415555,0.12110524,-0.33415848,-0.5344139
232,-0.00497665,0.4356088,-0.81716174,-0.63573617,-0.59625286
233,-0.95188606,-0.74835235,1.2956642,1.1471809,1.1165026
234,-0.14024413,-1.4956579,-1.1542131,-1.1014322,-0.98406786
235,0.017564373,-0.88681424,-0.91163987,-1.067848,-1.0361183
236,-1.1228286,0.2265448,1.2951063,0.9375428,0.6137237
237,-0.64616823,-1.952211,-1.6655177,-1.8279421,-1.8187337
238,1.7871195,0.3347144,0.9473007,0.93608344,0.9167555
239,0.8200078,0.9684451,1.11524,1.3621179,1.5874469
240,1.5014794,-0.72976565,0.4869645,-0.15821593,-0.3912609
241,-1.1682941,0.0289731,-0.99004143,-1.0535065,-0.9358652
242,-0.7569345,-0.10437759,1.7462673,1.4582474,1.261606
243,0.6713885,0.88253504,0.13585298,1.0070354,1.7555516
244,-0.43784577,-1.1699361,-0.8252272,-0.6480188,-0.3654347
245,1.3522768,0.3457205,-0.024146035,0.005568689,-0.1414753
246,1.1959342,1.7650716,2.0478425,1.6849968,1.2039119
247,-0.004971894,0.09881437,-0.9132461,-0.7668849,-0.7110595
248,-0.54607004,0.082689874,-0.94245416,-0.79561424,-0.6376336
249,-0.65048075,0.8091167,0.30122495,0.155895,0.016166449
