idx,ambient,coolant,u_d,u_q,torque,i_d,i_q
1,0.047103602,-0.555098,0.4442563,1.7047329,-0.34220606,0.9947208,-0.3497908
2,0.6716263,0.35066977,0.31909162,-1.3278744,-0.25563973,1.0291426,-0.24572322
3,-0.5522051,1.9890434,-0.08432332,-0.77599895,1.311668,0.14759797,1.4429615
4,0.6837887,-0.10660908,0.1813502,1.7174115,-0.24990642,-0.36269844,-0.24259351
5,-0.007995944,0.3796678,2.1725037,-0.2978523,-2.1496685,-1.1808901,-2.0303578
6,0.63707143,1.9189537,-0.7479464,-0.024507811,1.2844838,0.15834926,1.4141186
7,0.6639949,0.18433,0.5994569,-1.0740628,-1.9825226,0.08838202,-2.0910292
8,1.026741,1.0093403,-1.4219131,0.08780151,0.4759891,-1.4944829,0.4078535
9,0.68644863,1.116453,-0.7226937,1.1554974,0.08737562,-0.9338304,0.054165144
10,0.42867202,1.7027981,0.30036947,-1.2979931,-0.25563973,1.0291377,-0.24571414
11,0.2837996,-0.42369524,-0.43886417,1.510687,0.073977545,-0.33055404,0.07815496
12,0.69180363,1.2246056,-1.0805305,0.823997,0.31022403,-0.9272879,0.25852406
13,0.6856738,-1.209475,1.1225262,0.7937869,-0.9398079,0.8135002,-1.0359861
14,-1.6527456,-1.0669463,-1.3044865,0.4581313,1.1337963,-0.4872721,1.1112734
15,0.7222783,0.60788935,1.4609483,1.1689605,-0.97327256,-0.08949227,-0.97424257
16,0.68773144,1.261506,0.324762,1.6838067,-0.3066893,-0.16993272,-0.2968738
17,-0.17859234,-0.0441421,0.29936838,-1.293298,-0.25563973,1.0291374,-0.24573731
18,-0.5735748,-1.0590934,-0.6022041,-0.14407136,1.1443145,0.27429867,1.2848253
19,0.3704117,-0.36052164,0.7037512,0.29500997,-0.6978595,0.9222077,-0.76435333
20,0.4976363,1.7475554,0.18609847,1.569873,-0.18940276,1.0056527,-0.16480829
21,0.110929705,-0.612318,-1.1183887,0.7108077,0.41243002,-1.1040355,0.34621742
22,0.9025859,1.0104909,-1.4874218,-0.0409287,0.9723981,-1.2282238,0.8971251
23,-0.41703987,1.9455177,-1.5053318,-0.16658328,1.8035713,-1.0736994,1.7196451
24,-0.9747484,0.090237215,-0.9315054,1.043806,0.3614113,-0.6306577,0.3307597
25,-1.006804,-1.0913103,0.5163704,-0.1540584,-0.57405525,0.99428177,-0.6174071
26,-0.09149042,-0.17092249,0.72568905,-0.7427696,-1.545181,0.42271328,-1.6684697
27,-0.004697639,0.33244142,-1.3314178,0.25005147,1.6208324,-0.16841741,1.7166469
28,0.264074,-0.13128152,-1.2977103,0.36335403,0.8530589,-0.89687765,0.7872518
29,0.72275305,-0.13815245,-0.5555665,1.0089934,0.4207437,0.7905958,0.54043597
