idx,ambient,coolant,u_d
1,0.047103602,-0.555098,0.4442563
2,0.6716263,0.35066977,0.31909162
3,-0.5522051,1.9890434,-0.08432332
4,0.6837887,-0.10660908,0.1813502
5,-0.007995944,0.3796678,2.1725037
6,0.63707143,1.9189537,-0.7479464
7,0.6639949,0.18433,0.5994569
8,1.026741,1.0093403,-1.4219131
9,0.68644863,1.116453,-0.7226937
10,0.42867202,1.7027981,0.30036947
11,0.2837996,-0.42369524,-0.43886417
12,0.69180363,1.2246056,-1.0805305
13,0.6856738,-1.209475,1.1225262
14,-1.6527456,-1.0669463,-1.3044865
15,0.7222783,0.60788935,1.4609483
16,0.68773144,1.261506,0.324762
17,-0.17859234,-0.0441421,0.29936838
18,-0.5735748,-1.0590934,-0.6022041
19,0.3704117,-0.36052164,0.7037512
20,0.4976363,1.7475554,0.18609847
21,0.110929705,-0.612318,-1.1183887
22,0.9025859,1.0104909,-1.4874218
23,-0.41703987,1.9455177,-1.5053318
24,-0.9747484,0.090237215,-0.9315054
25,-1.006804,-1.0913103,0.5163704
26,-0.09149042,-0.17092249,0.72568905
27,-0.004697639,0.33244142,-1.3314178
28,0.264074,-0.13128152,-1.2977103
29,0.72275305,-0.13815245,-0.5555665
30,0.6886087,0.39448053,0.34087768
31,0.6816076,-0.5283787,0.82401145
32,-0.5082421,0.9753174,-1.5381657
33,-0.23457117,0.3256637,-0.62539625
34,1.5385333,0.52060115,2.1810758
35,-0.15894806,-1.0722772,-1.2292731
36,0.6872968,-0.52830887,-0.5901851
37,-0.21263835,-1.0790131,0.29004553
38,-1.9049203,-1.070372,0.28324026
39,0.24277052,0.09640238,0.81331533
40,-0.59653246,-0.64072955,0.31503367
41,-0.13442056,0.32702154,-0.46184468
42,0.68861675,-0.606361,1.7205474
43,-0.82543534,-1.0608271,-1.1267083
44,-0.3498984,0.76377654,-1.3882554
45,0.68862474,-0.6078351,1.8235776
46,-0.25308323,0.98740387,2.077506
47,1.1069342,2.1889248,0.32190418
48,-0.09477466,-0.5829282,0.31774205
49,-0.53933406,1.4655864,2.0182977
50,-0.5370084,-0.6412194,0.31443152
51,-0.15406083,2.172637,0.31111237
52,-0.038589068,-0.54869753,-0.7153817
53,0.61825424,0.33256507,2.1311345
54,0.63670003,0.17474493,0.31356397
55,-0.6314738,-1.046919,-1.1285782
56,1.3831807,1.7475554,-1.603222
57,0.6930673,-0.736962,1.7500099
58,0.32481357,-1.0578512,-1.6031321
59,-2.8627725,-1.0385066,0.3021003
60,-0.09999012,-0.16555664,1.1736785
61,0.6886087,-0.7272628,-0.47077727
62,-0.12759008,1.9398507,0.29894885
63,0.2835336,0.7206575,-0.31251943
64,0.6886147,-0.58259785,1.8917813
65,1.4900203,0.55451286,-1.1307955
66,-2.218979,-1.0463912,-1.6456171
67,-2.7498572,-1.0688865,0.22485176
