idx,u_q,torque,i_d,i_q
1,1.7047329,-0.34220606,0.9947208,-0.3497908
2,-1.3278744,-0.25563973,1.0291426,-0.24572322
3,-0.77599895,1.311668,0.14759797,1.4429615
4,1.7174115,-0.24990642,-0.36269844,-0.24259351
5,-0.2978523,-2.1496685,-1.1808901,-2.0303578
6,-0.024507811,1.2844838,0.15834926,1.4141186
7,-1.0740628,-1.9825226,0.08838202,-2.0910292
8,0.08780151,0.4759891,-1.4944829,0.4078535
9,1.1554974,0.08737562,-0.9338304,0.054165144
10,-1.2979931,-0.25563973,1.0291377,-0.24571414
11,1.510687,0.073977545,-0.33055404,0.07815496
12,0.823997,0.31022403,-0.9272879,0.25852406
13,0.7937869,-0.9398079,0.8135002,-1.0359861
14,0.4581313,1.1337963,-0.4872721,1.1112734
15,1.1689605,-0.97327256,-0.08949227,-0.97424257
16,1.6838067,-0.3066893,-0.16993272,-0.2968738
17,-1.293298,-0.25563973,1.0291374,-0.24573731
18,-0.14407136,1.1443145,0.27429867,1.2848253
19,0.29500997,-0.6978595,0.9222077,-0.76435333
20,1.569873,-0.18940276,1.0056527,-0.16480829
21,0.7108077,0.41243002,-1.1040355,0.34621742
22,-0.0409287,0.9723981,-1.2282238,0.8971251
23,-0.16658328,1.8035713,-1.0736994,1.7196451
24,1.043806,0.3614113,-0.6306577,0.3307597
25,-0.1540584,-0.57405525,0.99428177,-0.6174071
26,-0.7427696,-1.545181,0.42271328,-1.6684697
27,0.25005147,1.6208324,-0.16841741,1.7166469
28,0.36335403,0.8530589,-0.89687765,0.7872518
29,1.0089934,0.4207437,0.7905958,0.54043597
30,-1.3149108,-0.25563973,1.0291345,-0.24572106
31,1.6131557,-0.520292,-0.62624204,-0.49757895
32,-0.3644495,0.70567775,-1.8024962,0.53593075
33,0.7158987,0.60425746,0.6657779,0.73548156
34,-0.35008615,-2.0900104,-1.1804942,-1.9724045
35,0.51204884,0.28606457,-1.369184,0.23412962
36,1.2887158,0.35708636,0.7765293,0.46254057
37,0.8956522,-0.26110467,1.0291772,-0.245707
38,-1.1692077,0.40288135,0.8201236,0.4869198
39,0.12778981,-0.8795829,0.84433043,-0.9696177
40,-1.2505407,-0.25563973,1.0291487,-0.24571614
41,1.5133644,0.15252443,0.28421465,0.1868977
42,0.724602,-0.96727514,-1.1041307,-0.8927988
43,0.7450801,0.3499834,-1.0799043,0.30455378
44,0.121442884,1.0477319,-0.9603878,0.9726926
45,0.63692087,-1.2796249,-0.5899001,-1.2359453
46,0.016510993,-1.7675643,-0.8411437,-1.6983513
47,-1.3277125,-0.255584,1.0291163,-0.24565864
48,1.6174637,-0.30031872,-0.50497806,-0.28796223
49,0.18134962,-2.1394541,-0.10749623,-2.2241645
50,-1.2494832,-0.25563973,1.0291301,-0.24571879
51,-0.7326132,-0.25563973,1.029138,-0.24571222
52,0.7406973,0.68474495,0.6154699,0.8209655
53,-0.11914612,-2.3309186,-0.54209596,-2.3366091
54,-1.3270911,-0.25554267,1.02911,-0.24560396
55,0.73878586,0.35378334,-1.080788,0.304538
56,-0.74069315,1.5462998,-1.9399202,1.3478204
57,0.78922385,-1.0744646,-0.85127366,-1.010766
58,-0.7127972,0.46915916,-1.8963984,0.3685979
59,-1.1848449,-0.11817244,1.0139837,-0.09144154
60,-0.55568945,-2.1476028,-0.03578513,-2.2489114
61,1.5034838,0.086524785,-0.24197105,0.094579235
62,-1.2927213,-0.25563973,1.0291357,-0.24569902
63,1.1659238,0.18698813,0.9110187,0.27958602
64,-0.4118878,-2.679315,-0.5688631,-2.7265184
65,0.5982105,0.6089589,-0.7779567,0.5549157
66,-1.0622907,1.8936982,-2.5046256,1.600986
67,-0.2513316,-0.12030715,1.0139836,-0.09143945
68,-1.2514154,-0.25563973,1.0291476,-0.24572416
69,-1.2963495,-0.25563973,1.0291541,-0.2457374
70,-0.63975376,0.983904,-1.9530226,0.82559586
71,0.73639166,0.34309784,-1.024896,0.3091197
72,-0.093730554,1.0013586,-1.3186734,0.88900375
73,0.83793306,0.32644403,0.8501571,0.41710395
74,1.6399752,-0.06452077,-0.19437718,-0.05537562
75,-1.2601042,-0.2205472,1.0291501,-0.24570398
76,1.1219126,0.2089332,-0.7138351,0.17896251
77,0.9170553,-0.26048765,1.0291846,-0.24572772
78,0.15871547,-1.7151873,-0.733561,-1.6587161
79,-0.50108504,-2.0923638,0.008493064,-2.1969113
80,1.682907,-0.26427892,-0.7691308,-0.2550195
81,0.87346727,-1.037279,-0.6546936,-0.98723185
82,-0.6741555,0.6866539,-1.927734,0.5601022
83,-0.19712384,-0.25563973,1.0291029,-0.2457093
84,1.6933627,-0.48477796,0.43457708,-0.49381974
85,1.2617041,-0.90465593,-0.13971734,-0.8973943
86,1.206074,0.42980418,0.20707013,0.4755119
87,-0.14403288,0.5541698,-1.6932592,0.4529598
88,-0.25885478,1.3711703,-1.5025687,1.2525209
89,-0.14804302,-0.5741372,0.99427813,-0.61741537
90,1.5522063,0.057821833,-0.0814613,0.07125172
91,-1.2668742,-0.25563973,1.0291556,-0.24571207
92,1.6729167,-0.26676425,-0.8463008,-0.2565096
93,-1.1692101,0.40295714,0.82012,0.48692045
94,-1.3004179,-0.25563973,1.0291332,-0.24572597
95,-0.6959729,-1.3360615,0.5512658,-1.4528649
96,1.3613968,-0.5934167,0.9769173,-0.64470345
97,-0.73256683,-0.25563973,1.0291584,-0.2457248
98,-1.2890316,-3.1337368,-1.0794548,-3.1392941
99,-0.22916171,-2.022178,-1.0966467,-1.9181542
100,-1.2498639,-0.25563973,1.0291394,-0.2457177
101,0.23874123,1.2073544,-0.65989894,1.1766071
102,-0.59751,2.4605293,-0.98101074,2.4084983
103,0.8378227,0.32643902,0.85013866,0.41710836
104,-0.17127836,1.481841,0.0056289313,1.604845
105,0.6575491,-0.8230261,0.8738034,-0.90774465
106,1.5543658,0.14681563,0.7662369,0.21201788
107,1.6920428,-0.16817802,0.20495401,-0.15949035
108,-1.2994065,-0.25563973,1.0291479,-0.24572869
109,1.5825416,0.004493139,-0.22343944,0.0136658875
110,1.6842782,-0.26438522,-0.7577997,-0.25450838
111,-1.2657121,-0.25563973,1.0291607,-0.24570873
112,-1.318148,-0.25563973,1.0291517,-0.24570905
113,-0.26616764,-2.6149852,-0.5165785,-2.6674833
114,-0.23091738,-2.2130268,-0.11638111,-2.3044705
115,1.5440081,0.039991982,-0.22300492,0.048953347
116,0.90567744,0.5273623,-0.46903875,0.50868475
117,1.6826781,-0.26476315,-0.7744677,-0.25501934
