id,i_d,motor_speed,pm,stator_tooth
1,0.9947208,0.2935362,-0.6331047,-0.29014707
2,1.0291426,-1.22243,-0.15065576,-1.226843
3,0.14759797,-0.95190084,1.1360375,0.45456198
4,-0.36269844,1.5039048,1.0466292,1.3025689
5,-1.1808901,0.18643914,-0.47017303,-0.123046994
6,0.15834926,-0.45132223,0.6182605,1.9916204
7,0.08838202,-1.0081816,-0.58353126,0.080426835
8,-1.4944829,1.6182984,0.8130191,1.269249
9,-0.9338304,1.9835948,1.266706,1.3008974
10,1.0291377,-1.2224287,-0.4079813,0.61742294
11,-0.33055404,1.060864,-1.9131672,-1.0679089
12,-0.9272879,1.5433477,1.7923565,1.6854994
13,0.8135002,-0.08860146,0.030298231,-0.88881254
14,-0.4872721,0.16817842,-0.86630934,-0.79496586
15,-0.08949227,0.69642895,0.4444936,0.8077671
16,-0.16993272,1.2383482,0.8680826,1.5350854
17,1.0291374,-1.2224292,-0.6498968,-1.0679032
18,0.27429867,-0.5460631,2.5141337,0.922454
19,0.9222077,-0.38260987,0.22996332,0.015141915
20,1.0056527,0.21241513,-0.88636595,0.7756293
21,-1.1040355,1.3448443,-1.3158876,-0.4536089
22,-1.2282238,0.56317204,1.6221181,1.6113755
23,-1.0736994,-0.04440782,0.2644652,1.0937625
24,-0.6306577,1.0352039,-0.729979,-0.5314773
25,0.99428177,-0.64615965,-1.2764896,-1.7312883
26,0.42271328,-0.85306334,-1.8098016,-0.8919251
27,-0.16841741,-0.1765795,0.6646708,1.4543841
28,-0.89687765,0.53800887,-0.7648461,0.022858335
29,0.7905958,-0.034472153,0.051876757,-0.22745828
30,1.0291345,-1.2224268,0.3888074,-0.19064672
31,-0.62624204,1.7255448,-0.17909513,-0.040695533
32,-1.8024962,1.394071,0.21051303,0.46123898
33,0.6657779,-0.15802874,-0.419821,-0.29383245
34,-1.1804942,0.22440423,1.3463522,1.0065752
35,-1.369184,2.024121,0.62260395,0.15493041
36,0.7765293,0.13238183,0.6517477,0.027276801
37,1.0291772,-0.14024802,0.8162987,-0.97466916
38,0.8201236,-1.1953619,-2.095237,-1.8690261
39,0.84433043,-0.44905367,-0.47349787,-0.34073776
40,1.0291487,-1.2224307,-1.1226348,-1.5509492
41,0.28421465,0.5719909,0.27099094,0.12647295
42,-1.1041307,1.6434501,0.06160719,-0.13439825
43,-1.0799043,1.4830301,0.25348654,-0.20327103
44,-0.9603878,0.3940267,0.5532566,0.32317474
45,-0.5899001,0.66917855,-0.30816126,-0.4330642
46,-0.8411437,0.35829946,1.1323154,1.2261782
47,1.0291163,-1.2224245,1.2015032,1.8839396
48,-0.50497806,1.4314723,-1.4981871,-0.5835818
49,-0.10749623,-0.052713457,0.11936734,1.0366365
50,1.0291301,-1.2224361,-1.8831811,-1.6380159
51,1.029138,-0.9518886,-0.1731109,1.0414432
52,0.6154699,-0.14024445,-0.66030663,-0.30060056
53,-0.54209596,-0.051089104,0.9674933,1.3439274
54,1.02911,-1.2223316,0.015276888,-0.43785724
55,-1.080788,1.4830325,0.34340176,-0.18483461
56,-1.9399202,0.2459941,1.1197674,1.6995169
57,-0.85127366,1.1502521,-0.30888245,-0.76913756
58,-1.8963984,1.9429532,2.740646,1.2631254
59,1.0139837,-1.189964,-2.2542539,-1.9857602
60,-0.03578513,-0.64260453,-1.7241789,-0.7619508
61,-0.24197105,1.0073352,-0.5985675,-0.7619508
62,1.0291357,-1.2224284,-0.6048525,0.770885
63,0.9110187,0.008785407,-0.9405046,-0.09429606
64,-0.5688631,-0.3262157,0.5009567,-0.0015693428
65,-0.7779567,0.7495535,0.39429098,0.461578
66,-2.5046256,0.10866099,0.027833913,1.1226001
67,1.0139836,-0.73544633,-1.7712511,-1.8276078
68,1.0291476,-1.2224283,0.3333422,-0.83605266
69,1.0291541,-1.2224307,0.25166988,-0.9972847
70,-1.9530226,0.8229046,0.33095235,0.7910582
71,-1.024896,1.4830292,1.1124394,0.8072069
72,-1.3186734,0.56316835,1.3714821,0.3112762
73,0.8501571,-0.16188869,-1.5726362,-1.5342582
74,-0.19437718,1.2094711,0.8598637,1.3079549
75,1.0291501,-1.2224276,1.042945,-0.45331955
76,-0.7138351,1.4887414,1.7428966,1.5652134
77,1.0291846,-0.14024848,0.022260247,-1.3375858
78,-0.733561,0.34859788,0.25919545,0.42530572
79,0.008493064,-0.61609286,-1.7360383,-0.7619526
80,-0.7691308,2.0241165,-0.49270722,-0.5718579
81,-0.6546936,1.0647758,0.4988004,1.8227763
82,-1.927734,1.3477559,1.7251121,0.8840425
83,1.0291029,-0.6813282,1.2455808,1.1085544
84,0.43457708,0.55927336,-1.9456769,-1.2727501
85,-0.13971734,0.73696965,-0.8076231,-0.9672698
86,0.20707013,0.44305733,1.5799282,1.9916233
87,-1.6932592,1.5479634,0.16861096,-0.29715684
88,-1.5025687,0.2748934,-1.4111534,-0.8083357
89,0.99427813,-0.64616275,-1.8855283,-1.8250198
90,-0.0814613,0.94193506,-0.02098329,0.6431839
91,1.0291556,-1.222428,-0.75999695,-0.79967815
92,-0.8463008,2.0241177,-2.0594492,-1.5042924
93,0.82012,-1.195382,-2.1654406,-1.875403
94,1.0291332,-1.2224295,1.1350847,-1.3697382
95,0.5512658,-0.82865816,0.8232559,0.97422093
96,0.9769173,0.12231498,-1.6296315,-0.83604765
97,1.0291584,-0.95190185,-0.2225407,1.031979
98,-1.0794548,-1.0554135,-1.5085921,0.39028773
99,-1.0966467,0.22861028,0.2658557,-0.2957332
100,1.0291394,-1.2224271,-1.895591,-1.6387173
101,-0.65989894,0.16404119,-0.009123185,0.34339082
102,-0.98101074,-0.68404794,-1.3941361,-0.38351595
103,0.85013866,-0.16189225,-1.5863669,-1.5348307
104,0.0056289313,-0.5343742,-0.14570935,0.15578638
105,0.8738034,-0.15149528,0.7321722,0.99810237
106,0.7662369,0.29985473,0.4037216,0.15590607
107,0.20495401,0.8251411,-0.0104781035,0.46185774
108,1.0291479,-1.2224324,-1.3592255,-1.6798079
109,-0.22343944,1.1094244,-0.008499297,0.010570902
110,-0.7577997,2.024118,-0.25430083,-0.499931
111,1.0291607,-1.2224302,-0.5758481,-1.0679032
112,1.0291517,-1.2224317,0.13708459,-0.453608
