id,coolant,u_q,i_q
1,-0.555098,1.7047329,-0.3497908
2,0.35066977,-1.3278744,-0.24572322
3,1.9890434,-0.77599895,1.4429615
4,-0.10660908,1.7174115,-0.24259351
5,0.3796678,-0.2978523,-2.0303578
6,1.9189537,-0.024507811,1.4141186
7,0.18433,-1.0740628,-2.0910292
8,1.0093403,0.08780151,0.4078535
9,1.116453,1.1554974,0.054165144
10,1.7027981,-1.2979931,-0.24571414
11,-0.42369524,1.510687,0.07815496
12,1.2246056,0.823997,0.25852406
13,-1.209475,0.7937869,-1.0359861
14,-1.0669463,0.4581313,1.1112734
15,0.60788935,1.1689605,-0.97424257
16,1.261506,1.6838067,-0.2968738
17,-0.0441421,-1.293298,-0.24573731
18,-1.0590934,-0.14407136,1.2848253
19,-0.36052164,0.29500997,-0.76435333
20,1.7475554,1.569873,-0.16480829
21,-0.612318,0.7108077,0.34621742
22,1.0104909,-0.0409287,0.8971251
23,1.9455177,-0.16658328,1.7196451
24,0.090237215,1.043806,0.3307597
25,-1.0913103,-0.1540584,-0.6174071
26,-0.17092249,-0.7427696,-1.6684697
27,0.33244142,0.25005147,1.7166469
28,-0.13128152,0.36335403,0.7872518
29,-0.13815245,1.0089934,0.54043597
30,0.39448053,-1.3149108,-0.24572106
31,-0.5283787,1.6131557,-0.49757895
32,0.9753174,-0.3644495,0.53593075
33,0.3256637,0.7158987,0.73548156
34,0.52060115,-0.35008615,-1.9724045
35,-1.0722772,0.51204884,0.23412962
36,-0.52830887,1.2887158,0.46254057
37,-1.0790131,0.8956522,-0.245707
38,-1.070372,-1.1692077,0.4869198
39,0.09640238,0.12778981,-0.9696177
40,-0.64072955,-1.2505407,-0.24571614
41,0.32702154,1.5133644,0.1868977
42,-0.606361,0.724602,-0.8927988
43,-1.0608271,0.7450801,0.30455378
44,0.76377654,0.121442884,0.9726926
45,-0.6078351,0.63692087,-1.2359453
46,0.98740387,0.016510993,-1.6983513
47,2.1889248,-1.3277125,-0.24565864
48,-0.5829282,1.6174637,-0.28796223
49,1.4655864,0.18134962,-2.2241645
50,-0.6412194,-1.2494832,-0.24571879
51,2.172637,-0.7326132,-0.24571222
52,-0.54869753,0.7406973,0.8209655
53,0.33256507,-0.11914612,-2.3366091
54,0.17474493,-1.3270911,-0.24560396
55,-1.046919,0.73878586,0.304538
56,1.7475554,-0.74069315,1.3478204
57,-0.736962,0.78922385,-1.010766
58,-1.0578512,-0.7127972,0.3685979
59,-1.0385066,-1.1848449,-0.09144154
60,-0.16555664,-0.55568945,-2.2489114
61,-0.7272628,1.5034838,0.094579235
62,1.9398507,-1.2927213,-0.24569902
63,0.7206575,1.1659238,0.27958602
64,-0.58259785,-0.4118878,-2.7265184
65,0.55451286,0.5982105,0.5549157
66,-1.0463912,-1.0622907,1.600986
67,-1.0688865,-0.2513316,-0.09143945
68,-0.001730396,-1.2514154,-0.24572416
69,0.13373417,-1.2963495,-0.2457374
70,-1.0218029,-0.63975376,0.82559586
71,0.32767957,0.73639166,0.3091197
72,-1.1389881,-0.093730554,0.88900375
73,-1.0698603,0.83793306,0.41710395
74,2.1686,1.6399752,-0.05537562
75,-1.0691476,-1.2601042,-0.24570398
76,1.2224717,1.1219126,0.17896251
77,-1.0742748,0.9170553,-0.24572772
78,0.3301182,0.15871547,-1.6587161
79,-0.1659893,-0.50108504,-2.1969113
80,-1.0798792,1.682907,-0.2550195
81,2.1905377,0.87346727,-0.98723185
82,-1.0492202,-0.6741555,0.5601022
83,1.9480299,-0.19712384,-0.2457093
84,-0.8059444,1.6933627,-0.49381974
85,-0.60253507,1.2617041,-0.8973943
86,1.7475554,1.206074,0.4755119
87,-1.0445089,-0.14403288,0.4529598
88,-1.065041,-0.25885478,1.2525209
89,-1.0670562,-0.14804302,-0.61741537
90,1.255958,1.5522063,0.07125172
91,0.17534006,-1.2668742,-0.24571207
92,-1.0723919,1.6729167,-0.2565096
93,-1.0735073,-1.1692101,0.48692045
94,-1.211159,-1.3004179,-0.24572597
95,1.1801866,-0.6959729,-1.4528649
96,-0.363854,1.3613968,-0.64470345
97,2.176567,-0.73256683,-0.2457248
98,-0.16307628,-1.2890316,-3.1392941
99,-0.5495097,-0.22916171,-1.9181542
100,-0.638004,-1.2498639,-0.2457177
101,0.070098996,0.23874123,1.1766071
102,-1.0691167,-0.59751,2.4084983
103,-1.0672102,0.8378227,0.41710836
104,0.31674403,-0.17127836,1.604845
105,1.7475164,0.6575491,-0.90774465
106,0.27889323,1.5543658,0.21201788
107,0.5225791,1.6920428,-0.15949035
108,-0.6960501,-1.2994065,-0.24572869
109,0.32803342,1.5825416,0.0136658875
110,-1.0466014,1.6842782,-0.25450838
111,-0.12821408,-1.2657121,-0.24570873
112,0.38532147,-1.318148,-0.24570905
113,0.8396379,-0.26616764,-2.6674833
114,0.6093375,-0.23091738,-2.3044705
115,0.33069658,1.5440081,0.048953347
116,-0.6993086,0.90567744,0.50868475
117,-1.09344,1.6826781,-0.25501934
118,1.9534489,1.1993371,0.38568804
119,-0.6386372,-1.2486562,-0.24571049
120,-0.010296909,-1.2498821,-0.24572918
121,1.9540864,1.058667,0.3545261
122,-0.123566315,0.34789452,-1.9497306
123,1.2520555,-1.3293505,-0.24572106
124,0.31707957,-1.2503766,-0.24571161
125,1.2301348,-0.21294071,0.42698705
126,0.3478168,1.7246755,-0.40583208
127,0.113567896,1.1399325,-0.80983734
128,0.2791383,0.1818114,1.2891504
129,-1.072782,0.79547834,0.4473949
130,-0.66512895,0.7438367,0.63978493
131,-1.0665628,1.7075183,-0.22134994
132,0.8389598,-0.42178175,1.0015416
133,2.1751478,-1.3242894,-0.24571846
134,0.913078,-1.3286655,-0.24572594
135,0.55722356,-0.5044177,-0.550594
136,-0.7828019,0.49424687,1.3575054
137,0.8389598,-0.5228443,-1.7447274
138,-1.059839,0.653642,0.2336579
139,1.6331441,-0.0015931008,1.5083582
140,-0.63424623,0.73390424,-0.8440966
141,-1.073225,-0.11766114,1.3230643
142,-1.0729896,1.050675,-0.8275351
143,0.6072014,0.6693768,0.8505344
144,1.7475554,1.5007904,0.102671415
145,-0.45623818,-0.31323573,-1.3751693
146,-0.720573,-1.3023747,-0.24573416
147,-1.040264,-0.6809989,0.3725147
148,-0.29940155,0.21695238,-1.2108825
149,-0.6401835,-0.7972395,1.7232718
150,-1.0584848,-0.11026029,1.3230727
151,1.2372694,1.1477562,0.20020624
152,-0.57532513,1.0952028,0.78488535
153,1.7475554,-1.3160474,-0.2456999
154,0.34090087,1.2334783,0.12778036
155,-0.30018616,0.2549681,-1.0698967
156,-0.6124041,0.91895974,-1.0159626
157,-1.0605913,0.55491215,0.4171021
158,-1.0871581,-0.71740866,-0.24572536
159,1.0100408,-0.030598663,0.4127934
160,0.20793207,-0.80047077,0.4345717
161,-1.2111281,1.3862494,-0.3573302
162,0.15588161,1.7332805,-0.12885348
163,0.8389598,1.5589507,-0.44535065
164,-1.049484,-0.63933384,0.67951304
165,0.3353435,1.752267,-0.21647477
166,-1.0216017,-0.61254406,0.7178015
167,0.328771,-0.24182229,0.61985224
168,-0.35718212,-0.40331167,2.595421
169,-1.0376493,-0.8042552,0.40047264
170,-1.0670997,0.5445903,0.4171028
171,-0.6665856,-1.2969754,-0.24572133
172,-0.8264101,-0.28630525,0.67676675
173,-0.8269505,-0.6919039,2.6698544
174,2.1801527,0.66107154,-0.8994871
175,-1.0848066,1.5137452,-0.5290816
176,1.012783,1.6098253,-0.0644115
177,2.1503427,-1.3208647,-0.24571063
178,-0.13129742,-0.95133805,-2.3259664
179,-0.92108786,-1.284972,-0.24572532
180,1.408074,0.13590494,0.5089662
181,2.1476467,-1.2992887,-0.24571446
182,2.1047392,1.6282417,-0.54121685
183,-0.36096302,-0.40329185,2.595431
184,-1.0937942,-1.0724323,2.914141
185,-0.1750851,0.12135174,0.01249581
186,1.0238308,0.055993214,1.1060721
187,2.1482208,-1.3004421,-0.24571559
188,0.596031,1.1961609,0.036146853
189,0.98615855,-1.1286156,-0.24571463
190,1.9492722,-0.7370181,-0.24572162
191,-1.0409256,1.0190822,0.11701641
192,0.17855047,-1.2520859,-0.2458729
193,1.0071698,0.88070273,0.94527435
194,1.0074195,0.88003576,0.9452666
195,-1.0896136,-0.7051016,0.48692942
196,-1.0527095,0.69941944,0.30762288
197,1.6611186,0.10876812,-0.49816662
198,-1.0782365,1.2917696,0.15774412
199,-0.5488106,-0.5881478,1.5829825
200,-0.69265807,-1.299231,-0.24569756
201,-0.64290977,-1.262105,-0.24571891
202,0.5686036,0.28232595,-0.39332002
203,0.5661699,-1.2397484,-0.24570946
204,-0.1468515,1.1295071,-0.8503317
205,-1.0368593,-0.67416805,0.5600562
206,-0.06442192,0.3780987,1.2813143
207,-0.37470454,0.35584328,-1.9005398
208,1.747553,1.7558377,-0.3378078
209,-1.0419672,1.5153676,0.22696884
210,-1.0663904,-1.1853144,-0.091441676
211,2.1813233,-0.21234947,0.9253449
212,-0.90643746,1.6085958,-0.097879045
213,2.1762319,1.7580452,-0.24553451
214,-1.0865109,0.28316766,-1.8273418
215,0.322082,-0.1739607,-0.47810748
216,1.9526181,-0.32059273,-2.252478
217,1.2429911,-1.3299133,-0.24573863
218,2.02337,-0.21286894,0.48691764
219,-0.051163174,1.5720495,-0.32819086
220,0.91225463,-1.3230653,-0.24572046
221,1.2471094,0.46267685,0.7579378
222,-1.053069,-0.7250605,0.36900806
223,2.1747978,0.38615206,1.07149
224,0.38925475,-1.2976104,-0.24570328
225,0.32790652,0.3091595,0.48692396
226,0.8389598,1.3182089,0.29337046
227,0.33296642,0.8716588,0.13100305
228,-1.0658616,0.53741103,0.41710138
229,1.0059413,0.7051824,0.31177974
230,-1.0559845,1.5800173,0.057374135
231,1.007438,-0.7021808,0.13102189
232,-1.0513431,0.862762,1.067363
233,1.2454387,-0.7908991,1.7232659
234,-1.0584884,0.6492461,1.1367681
235,-0.6968595,1.2375201,-0.23562697
236,1.5029584,-1.0803125,-0.23080905
237,-1.0728275,-0.14725363,-0.61742216
238,0.9797398,1.4187611,-0.58615386
239,0.6096737,-0.84537643,-1.5639073
240,1.7408893,-0.66569644,0.55131984
241,-1.1012465,-1.1852876,-0.24574223
242,1.7475554,-0.46401632,1.3841537
243,-1.0316232,-1.3135812,0.9732742
244,-1.0750319,0.009226382,1.5612493
245,-0.04494842,1.7306831,-0.40242276
246,2.177354,1.7474933,-0.36368594
247,-1.0565238,0.8728948,1.0683122
248,-1.0825676,-0.10607421,1.3230828
249,0.31846407,-0.42165953,-1.6153042
250,1.4502811,1.0214882,0.001920082
251,2.1758947,1.7304481,-0.2489482
252,-1.0751753,0.5567908,0.41710925
253,-1.0495514,-0.257818,-0.0914454
254,1.6609678,0.033244412,0.31479466
255,-1.1001045,0.6407454,1.1367803
256,-0.6601716,-1.2513183,-0.24571034
257,-1.0850657,1.7455063,-0.24597746
258,-0.06790766,0.28663376,1.6361433
259,1.25394,0.23833333,1.3867406
260,-0.6409024,-1.2509141,-0.24572456
261,-0.63401526,0.48832896,0.4198454
262,-1.0787975,-1.2995933,-0.24571148
263,0.3270667,1.3270776,0.48434594
264,0.0707567,-1.2680608,-0.245719
265,0.31211987,-0.2901486,-2.1457953
266,1.0092654,0.01481458,0.41040346
267,1.0651593,1.1606815,-0.15839536
268,-1.0780574,-1.168732,0.48692292
269,1.1770759,-0.40974236,0.90445316
270,2.2574172,1.5864321,-0.50820655
271,1.0131812,1.6092645,-0.06397882
272,-0.30582887,1.1744263,-0.86830467
273,0.78608716,1.5438693,0.12819886
274,1.014235,-0.035115153,0.41238305
275,-0.6439375,-1.2597679,-0.2457223
276,2.1762114,1.7581297,-0.24556983
277,-0.35153237,0.459026,1.3405138
278,0.3246838,-1.0463896,2.2188141
279,2.1799736,0.2861332,-1.2781105
280,2.172228,-0.639205,-1.532703
281,-0.070980236,-0.6829053,-3.0730162
282,1.0158446,0.71020204,0.31188685
283,-1.0598872,0.5525949,0.41710058
284,1.9329811,-1.2938362,-0.24570674
285,0.33072874,-1.3307791,-0.24572392
286,-1.0530468,-0.69861823,0.36806843
287,1.4760253,1.4734157,0.13880327
288,-1.0653828,0.6448089,1.1367663
289,-0.18437979,1.5462074,0.0704529
290,-1.0641679,-0.7134349,-0.24572216
291,-0.6384016,0.5880139,-1.0417925
292,-0.69632035,-1.3003743,-0.24570741
293,0.33426356,-0.69811374,0.1310087
294,0.327105,-0.8296996,0.4940389
295,2.1763196,-0.73390895,-0.24570313
296,-1.0613202,-0.08803941,0.34407383
297,-0.66545826,-0.35912865,-1.3993646
298,0.8389598,0.92670125,-1.3502748
299,-1.0475857,0.31174585,0.2909753
300,-1.0782478,-0.70976657,-0.24571946
301,1.9373238,1.4073244,-0.6585738
302,-0.12549739,1.6764028,-0.5022642
303,-1.0936033,0.29701954,-1.8280009
304,-0.123802476,-1.332274,-0.24571107
305,0.7151578,-0.38037926,-2.5171833
306,1.9922026,1.3076748,0.16752619
307,0.31591275,-0.25817236,1.1627378
308,-1.0757084,0.85954195,1.0676837
309,-0.36559883,0.14195536,0.98833287
310,0.32761306,0.8709193,0.13100915
311,-1.0851294,1.725359,-0.24588957
312,-0.04563914,-1.2946074,-0.2457119
313,0.5555121,-0.3851248,-2.2626448
314,-1.0616586,-1.2363939,0.24835323
315,-1.0644624,0.007784025,1.5612473
316,1.9769846,0.61369926,-1.1788489
317,-0.8153307,-1.2721127,-0.24572788
318,2.1152363,0.81450063,-0.9668138
319,1.7104622,-1.3161583,-0.24571082
320,-0.38513866,-0.61162287,0.7337597
321,-0.52840173,0.05071878,-1.5885512
322,0.3335378,1.2557899,-0.73386186
323,-1.0708051,-0.69945854,2.291024
324,-1.0658104,0.4099931,-0.09143999
