"idx","ambient","coolant","u_d","u_q","torque","i_d","i_q"
1,0.68371344,-1.0855106,0.29653102,1.4478074,-0.26614848,1.0291674,-0.24571888
2,0.68860066,0.18119825,0.34952807,-1.2650636,-0.25563973,1.0291674,-0.2457017
3,-0.58549726,-0.5496294,-0.7156311,0.740421,0.68474495,0.61552405,0.8209774
4,0.7455722,-0.300764,1.8678755,0.5616885,-1.0403947,-1.1420017,-0.9596088
5,0.5463179,0.32572833,0.27040625,-0.46433097,-0.20454167,1.016986,-0.1830054
6,0.7223335,-1.1375787,-1.5000651,-0.09949514,1.0008961,-1.3196875,0.8896528
7,0.18523991,0.32333076,-1.1245016,0.7502014,0.34451136,-1.0439703,0.30667126
8,0.38230705,1.723048,0.34404236,-1.3167887,-0.25563973,1.0291346,-0.24571784
9,0.4390979,0.58888924,-1.488992,-0.2632262,0.56685865,-1.7336915,0.4634282
10,-0.63133425,-1.0669789,0.17837751,1.685463,-0.26350835,-0.76135385,-0.2545749
11,-0.09373378,-0.5639188,-1.5408807,-0.342504,0.7758585,-1.8082365,0.6400098
12,-0.14582612,2.202327,-0.15039422,1.6297634,-0.10802256,-0.39998087,-0.10352543
13,-2.751653,-1.0236589,-0.4285739,-0.85895354,2.9797559,-1.5120841,2.9141586
14,1.4956332,0.51800245,2.1441572,-0.19821773,-1.7903031,-1.1661913,-1.6796783
15,0.6880637,2.2033997,0.3435772,-1.3143369,-0.25563973,1.0291551,-0.24569857
16,-2.6485674,-1.0723329,-0.3464175,0.83789486,0.32643384,0.85014373,0.41710362
17,0.68516684,-0.020237334,-0.81255144,-0.38813376,1.9596434,-0.48770615,2.0357976
18,-1.323956,-1.0623416,-0.9097118,1.0200415,0.15481713,-1.0968277,0.117485926
19,-0.4134364,0.3313608,1.8918278,0.51762116,-1.2161006,-0.92384624,-1.1429174
20,0.6873169,-0.5283756,-0.2917604,-0.30456564,0.8901146,0.45604256,1.0270182
21,1.5786871,-0.045744997,0.4850672,1.7462978,-0.374913,-0.18578053,-0.36507866
22,0.3771438,-0.077292636,-1.576306,-0.49302268,1.0473783,-1.8412459,0.8817198
23,-0.11179416,-1.0405084,-1.5636433,-0.49975032,0.43099478,-1.8234464,0.34555084
24,-1.0862573,-1.0689399,-0.7574254,-0.59992427,2.4439342,-0.98105705,2.4084532
25,-0.08985632,0.32565618,1.0506362,-0.7822876,-2.2789757,-0.18821417,-2.3615685
26,-1.2117364,-1.0685406,0.03082718,-0.4004951,0.32157317,0.85014725,0.41709664
27,0.6885254,0.61485195,-0.7384561,0.18962263,1.053457,0.33935922,1.1890868
28,0.109284565,0.35325086,0.5513036,-0.9453948,-1.428067,0.49293584,-1.5476663
29,0.6620195,0.6095884,0.30230507,-1.3085799,-0.25563973,1.0291437,-0.2457088
30,-2.7498572,-1.0697857,0.19645956,0.078003004,-0.1191362,1.0139532,-0.091437094
31,-0.37090474,0.3340243,-0.39480966,1.552425,0.057821833,-0.11857533,0.07041256
32,-0.74370545,-0.6417543,0.4491324,1.4843758,-0.34833196,1.0149354,-0.3545485
33,-0.644945,-0.12557553,0.31712642,-1.3406993,-0.25563973,1.0291777,-0.24570884
34,1.0157732,0.7868245,0.936368,-1.005708,-2.6365027,-0.508577,-2.6919875
35,-2.7408247,-1.0757767,0.13485365,-1.0461755,2.020434,-0.47662258,2.0137846
36,0.6881018,0.38759437,0.3422128,-1.3175105,-0.25563973,1.029144,-0.2457222
37,0.6937027,-0.58449084,-1.1118342,0.7846468,0.750903,-0.25099987,0.75715715
38,1.5432328,0.78218055,1.5665342,-0.14630353,-2.0043314,0.074081264,-2.1126103
39,-0.14603187,0.43070227,0.42518786,1.7503754,-0.34434557,0.17192408,-0.33739355
40,0.5414788,0.14090966,0.33872104,-1.2520776,-0.25563973,1.029133,-0.24572451
41,1.5566518,0.6095884,2.1939623,-0.44319388,-1.5487611,-1.6697855,-1.401687
42,-0.15842612,-0.04511174,0.30198002,-1.2942506,-0.25563973,1.0291408,-0.24570201
43,-0.7587506,-0.12836099,0.3021562,-1.2671117,-0.25563973,1.029156,-0.24570176
44,0.65331703,1.5314429,-1.1884522,0.5536546,0.43754077,-1.0570835,0.37398186
