"idx","motor_speed","pm","stator_yoke","stator_tooth","stator_winding"
1,0.13029869,-0.22329792,-0.8136749,-0.7619956,-0.7923559
2,-1.2224317,0.18776721,-0.39753565,-0.7619508,-0.88914496
3,-0.14024551,-0.65740484,-0.47865373,-0.45360819,-0.538441
4,1.6205149,0.76105165,0.09027936,0.4357085,0.65409404
5,-0.82801586,-0.34421074,-0.17868842,-0.47621658,-0.7260902
6,0.56316805,1.4943756,-0.12273327,0.43302733,0.7367493
7,1.4830295,0.65907335,0.4698804,0.62011766,0.6947247
8,-1.2224265,0.6669631,1.6254104,1.3760067,0.99202514
9,1.5250534,0.52151597,0.3483715,0.46185845,0.5702948
10,2.0241213,-0.3347347,-0.85248435,-0.5277042,-0.35972765
11,1.1373764,-0.8858591,-0.4776895,-0.29060078,-0.15864947
12,1.4624728,0.4735518,1.4973243,1.0727726,0.8122606
13,-0.8977777,-1.8019875,-0.17887977,0.46249008,1.6893796
14,0.45842233,1.3130327,1.1568468,1.3950421,1.4402181
15,-1.2224272,0.6289985,1.6250365,1.2330146,0.8299271
16,-0.16189013,-1.5632172,-1.4390432,-1.5333405,-1.5489302
17,-0.5896179,-0.09631535,-0.21737441,-0.012465108,0.34559757
18,2.0078876,0.4066702,-0.6053519,-0.14783496,0.09933663
19,1.0228902,0.3751011,0.29435503,0.23371188,0.116872095
20,-0.6934737,0.5109836,-0.17228666,-0.04301998,0.018987086
21,1.2323325,0.46012706,0.02443386,0.108744785,0.004258896
22,0.73116857,-0.28768852,-0.01840435,0.0032971154,0.039915625
23,2.024123,2.175469,0.1245273,1.0383469,1.5218818
24,-0.68403786,-0.71297234,0.116323255,0.7731146,1.5648917
25,-0.7449548,0.5824253,0.7601394,0.94886476,1.1528758
26,-0.79225653,0.22939588,-1.4226203,-1.5076382,-1.5080141
27,-0.3628441,1.232206,0.9508592,1.03557,1.120304
28,-0.97574466,-0.13945559,0.41813436,0.34701154,0.2686896
29,-1.2224294,0.14770773,0.53207964,0.31610405,0.085719034
30,-0.5731153,-1.6148754,-1.5743659,-1.730947,-1.7454491
31,0.9419408,-0.55273545,0.024778567,-0.15321228,-0.3391636
32,0.1691618,-0.69234204,-0.5465852,-0.56582093,-0.6604058
33,-1.2224306,-0.3287846,0.07477174,0.08404453,-0.012901918
34,-0.84854794,1.0316329,1.6127888,1.7981603,1.9938147
35,-1.1412578,-1.986716,-0.51767576,-0.2333588,0.279759
36,-1.2224331,0.38081962,0.11630298,-0.21108784,-0.41600433
37,0.350011,0.2518832,-0.24055396,-0.070853144,-0.042118404
38,-0.34713542,1.2160032,1.5626318,1.6856681,1.6985426
39,0.895013,0.97164166,0.61403453,0.7702012,0.6137423
40,-1.2224252,0.21575348,0.012587477,-0.06899133,-0.22563119
41,0.99588525,0.29503164,0.5729754,0.61358285,0.68001765
42,-1.222429,-0.87931246,-0.73472506,-1.0679032,-1.1574053
43,-1.2224298,-0.8004821,-0.7736109,-1.0959007,-1.2257094
44,1.3315188,1.304035,1.7806753,1.6858177,1.5211868
45,1.5290241,2.0030832,0.2764632,1.1743206,1.6807188
46,-0.4107924,0.1164091,-0.8187766,-0.7619109,-0.6928812
47,-1.1899693,-2.1792524,-1.1536595,-1.2971348,-1.2272264
48,-1.2224308,-1.0236437,-1.2445168,-1.5131687,-1.5376626
49,0.71829385,2.0901475,1.7692565,1.8819929,1.7619579
50,1.4830258,1.6607434,1.2916486,1.3762606,1.261606
51,1.3618348,0.3942506,0.6876441,0.7701998,0.7757184
52,-1.2224306,-0.45064396,-0.4680139,-0.82553804,-0.9881793
53,0.16648354,1.2862827,1.5596257,1.1532274,0.66797394
54,-1.2224315,0.21704882,0.42099535,0.39287564,0.19083919
55,-0.8977898,0.044922467,0.5815948,0.15590642,-0.10479569
56,-1.2224318,-0.30420533,-0.4665912,-0.8152662,-0.98439896
57,0.47641674,0.91143185,1.3625025,1.1515713,0.9623971
58,0.49516612,-1.5463153,-0.54616606,-0.8101972,-0.82016873
59,-0.43784472,-1.6223788,-0.9726256,-0.8199303,-0.5254163
60,-1.2224188,-0.04900921,-0.22547942,-0.12471321,-0.082227975
61,-0.5460613,-0.3495586,-1.0028895,-0.90042675,-0.71787775
