id,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9
0,20,6,1,2,4,0,0,0,0,0
1,2,9,0,0,0,0,0,0,0,0
2,11,15,8,0,0,0,0,0,0,0
3,19,8,0,0,0,0,0,0,0,0
4,15,19,8,0,0,0,0,0,0,0
5,11,2,10,8,0,0,0,0,0,0
6,20,2,15,9,0,0,0,0,0,0
7,11,18,12,0,0,0,0,0,0,0
8,11,18,9,12,0,0,0,0,0,0
9,2,12,0,0,0,0,0,0,0,0
10,11,9,16,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0
13,20,2,0,0,0,0,0,0,0,0
14,2,18,0,0,0,0,0,0,0,0
15,11,20,5,0,0,0,0,0,0,0
16,2,15,18,8,0,0,0,0,0,0
17,11,20,5,0,0,0,0,0,0,0
18,2,0,0,0,0,0,0,0,0,0
19,11,15,18,8,0,0,0,0,0,0
20,2,18,9,12,0,0,0,0,0,0
21,20,1,9,0,0,0,0,0,0,0
22,11,2,15,4,0,0,0,0,0,0
23,11,8,0,0,0,0,0,0,0,0
24,2,0,0,0,0,0,0,0,0,0
25,8,0,0,0,0,0,0,0,0,0
26,11,20,5,8,0,0,0,0,0,0
27,2,18,0,0,0,0,0,0,0,0
28,18,12,0,0,0,0,0,0,0,0
29,2,9,8,0,0,0,0,0,0,0
30,11,20,2,9,0,0,0,0,0,0
31,11,18,16,0,0,0,0,0,0,0
32,20,18,16,0,0,0,0,0,0,0
33,11,15,8,0,0,0,0,0,0,0
34,15,10,8,0,0,0,0,0,0,0
35,6,1,4,7,0,0,0,0,0,0
36,2,15,18,8,0,0,0,0,0,0
37,11,20,19,8,0,0,0,0,0,0
38,20,6,1,4,7,0,0,0,0,0
39,20,6,1,2,4,5,0,0,0,0
40,11,20,8,0,0,0,0,0,0,0
41,11,20,9,8,0,0,0,0,0,0
42,11,20,5,8,0,0,0,0,0,0
43,2,9,0,0,0,0,0,0,0,0
44,20,1,4,7,0,0,0,0,0,0
45,18,19,0,0,0,0,0,0,0,0
46,11,20,9,0,0,0,0,0,0,0
47,18,4,9,0,0,0,0,0,0,0
48,18,0,0,0,0,0,0,0,0,0
49,20,1,4,0,0,0,0,0,0,0
50,6,1,7,0,0,0,0,0,0,0
51,6,1,7,0,0,0,0,0,0,0
52,6,1,4,7,0,0,0,0,0,0
53,6,1,18,7,0,0,0,0,0,0
54,20,6,1,7,0,0,0,0,0,0
55,20,1,7,0,0,0,0,0,0,0
56,20,6,1,4,7,0,0,0,0,0
57,2,18,0,0,0,0,0,0,0,0
58,11,20,0,0,0,0,0,0,0,0
59,2,18,0,0,0,0,0,0,0,0
60,1,2,4,7,0,0,0,0,0,0
61,2,0,0,0,0,0,0,0,0,0
62,15,19,8,0,0,0,0,0,0,0
63,18,12,0,0,0,0,0,0,0,0
64,15,19,8,0,0,0,0,0,0,0
65,1,18,5,0,0,0,0,0,0,0
66,11,20,5,8,0,0,0,0,0,0
67,20,2,4,0,0,0,0,0,0,0
68,11,20,5,0,0,0,0,0,0,0
69,11,20,2,4,9,0,0,0,0,0
70,11,20,0,0,0,0,0,0,0,0
71,15,18,5,8,0,0,0,0,0,0
72,11,18,12,0,0,0,0,0,0,0
73,11,20,5,0,0,0,0,0,0,0
74,15,18,0,0,0,0,0,0,0,0
75,10,5,0,0,0,0,0,0,0,0
76,15,10,0,0,0,0,0,0,0,0
77,11,2,7,0,0,0,0,0,0,0
78,18,12,0,0,0,0,0,0,0,0
79,11,18,9,12,0,0,0,0,0,0
80,18,9,0,0,0,0,0,0,0,0
81,11,5,8,0,0,0,0,0,0,0
82,2,7,12,0,0,0,0,0,0,0
83,10,0,0,0,0,0,0,0,0,0
84,2,4,9,0,0,0,0,0,0,0
85,20,2,5,0,0,0,0,0,0,0
86,11,20,4,0,0,0,0,0,0,0
87,2,4,0,0,0,0,0,0,0,0
88,6,1,4,7,0,0,0,0,0,0
89,11,20,0,0,0,0,0,0,0,0
90,18,7,0,0,0,0,0,0,0,0
91,10,0,0,0,0,0,0,0,0,0
92,11,15,0,0,0,0,0,0,0,0
93,11,2,15,18,5,0,0,0,0,0
94,11,9,12,16,0,0,0,0,0,0
95,2,12,0,0,0,0,0,0,0,0
96,11,2,15,18,0,0,0,0,0,0
97,2,15,9,0,0,0,0,0,0,0
98,11,20,2,0,0,0,0,0,0,0
99,11,20,8,0,0,0,0,0,0,0
100,11,15,18,8,0,0,0,0,0,0
101,11,2,5,0,0,0,0,0,0,0
102,11,20,4,0,0,0,0,0,0,0
103,15,3,19,8,0,0,0,0,0,0
104,15,18,19,8,0,0,0,0,0,0
105,18,19,8,0,0,0,0,0,0,0
106,10,19,8,0,0,0,0,0,0,0
107,11,5,0,0,0,0,0,0,0,0
108,2,15,0,0,0,0,0,0,0,0
109,2,9,0,0,0,0,0,0,0,0
110,2,0,0,0,0,0,0,0,0,0
111,15,18,0,0,0,0,0,0,0,0
112,15,18,19,8,0,0,0,0,0,0
113,6,1,4,12,0,0,0,0,0,0
114,11,18,12,0,0,0,0,0,0,0
115,18,0,0,0,0,0,0,0,0,0
116,20,4,7,0,0,0,0,0,0,0
117,11,2,15,18,0,0,0,0,0,0
118,11,20,1,2,4,0,0,0,0,0
119,20,2,5,16,0,0,0,0,0,0
120,6,1,18,0,0,0,0,0,0,0
121,11,18,12,0,0,0,0,0,0,0
122,20,6,1,4,0,0,0,0,0,0
123,20,1,5,0,0,0,0,0,0,0
124,11,6,1,15,0,0,0,0,0,0
125,20,1,2,4,5,0,0,0,0,0
126,11,15,18,19,8,0,0,0,0,0
127,6,1,2,7,0,0,0,0,0,0
128,20,6,1,15,18,0,0,0,0,0
129,20,1,4,0,0,0,0,0,0,0
130,11,20,5,0,0,0,0,0,0,0
131,6,1,7,0,0,0,0,0,0,0
132,20,6,1,7,0,0,0,0,0,0
133,11,20,5,0,0,0,0,0,0,0
134,11,20,4,0,0,0,0,0,0,0
135,20,6,1,4,0,0,0,0,0,0
136,6,1,0,0,0,0,0,0,0,0
137,20,6,1,18,0,0,0,0,0,0
138,20,6,1,2,0,0,0,0,0,0
139,20,4,9,0,0,0,0,0,0,0
140,20,1,4,0,0,0,0,0,0,0
141,2,4,0,0,0,0,0,0,0,0
142,11,20,4,0,0,0,0,0,0,0
143,2,4,0,0,0,0,0,0,0,0
144,15,18,8,0,0,0,0,0,0,0
145,11,2,15,8,0,0,0,0,0,0
146,18,4,9,0,0,0,0,0,0,0
147,15,18,0,0,0,0,0,0,0,0
148,10,19,8,0,0,0,0,0,0,0
149,11,8,0,0,0,0,0,0,0,0
150,11,20,4,10,0,0,0,0,0,0
151,2,15,0,0,0,0,0,0,0,0
152,15,10,8,0,0,0,0,0,0,0
153,2,18,0,0,0,0,0,0,0,0
154,11,20,2,9,0,0,0,0,0,0
155,11,20,1,4,19,8,0,0,0,0
156,11,18,12,0,0,0,0,0,0,0
157,20,2,5,0,0,0,0,0,0,0
158,10,0,0,0,0,0,0,0,0,0
159,20,2,0,0,0,0,0,0,0,0
160,2,16,0,0,0,0,0,0,0,0
161,2,9,0,0,0,0,0,0,0,0
162,2,15,0,0,0,0,0,0,0,0
163,11,20,5,0,0,0,0,0,0,0
164,11,18,5,0,0,0,0,0,0,0
165,2,15,8,0,0,0,0,0,0,0
166,11,5,8,0,0,0,0,0,0,0
167,2,15,0,0,0,0,0,0,0,0
168,2,18,0,0,0,0,0,0,0,0
169,11,15,0,0,0,0,0,0,0,0
170,11,20,2,4,10,8,0,0,0,0
171,11,20,5,0,0,0,0,0,0,0
172,11,20,5,0,0,0,0,0,0,0
173,11,5,0,0,0,0,0,0,0,0
174,10,0,0,0,0,0,0,0,0,0
175,18,10,5,0,0,0,0,0,0,0
176,18,4,10,0,0,0,0,0,0,0
177,2,10,7,5,0,0,0,0,0,0
178,11,15,0,0,0,0,0,0,0,0
179,6,2,7,0,0,0,0,0,0,0
180,11,2,5,0,0,0,0,0,0,0
181,20,6,1,18,5,0,0,0,0,0
182,2,18,4,9,0,0,0,0,0,0
183,11,20,4,0,0,0,0,0,0,0
184,18,9,0,0,0,0,0,0,0,0
185,20,4,0,0,0,0,0,0,0,0
186,20,6,1,0,0,0,0,0,0,0
187,11,20,5,8,0,0,0,0,0,0
188,11,18,12,0,0,0,0,0,0,0
189,11,20,8,0,0,0,0,0,0,0
190,11,20,8,0,0,0,0,0,0,0
191,11,20,8,0,0,0,0,0,0,0
192,11,15,18,8,0,0,0,0,0,0
193,11,15,18,5,8,0,0,0,0,0
194,20,6,1,2,15,4,19,0,0,0
195,11,20,8,0,0,0,0,0,0,0
196,11,20,8,0,0,0,0,0,0,0
197,2,18,4,0,0,0,0,0,0,0
198,2,5,0,0,0,0,0,0,0,0
199,20,6,1,2,7,0,0,0,0,0
200,20,2,4,0,0,0,0,0,0,0
201,18,12,0,0,0,0,0,0,0,0
202,11,18,12,0,0,0,0,0,0,0
203,15,18,0,0,0,0,0,0,0,0
204,20,18,0,0,0,0,0,0,0,0
205,18,19,8,0,0,0,0,0,0,0
206,2,0,0,0,0,0,0,0,0,0
207,2,15,0,0,0,0,0,0,0,0
208,2,0,0,0,0,0,0,0,0,0
209,2,10,19,8,0,0,0,0,0,0
210,18,19,8,0,0,0,0,0,0,0
211,11,1,4,0,0,0,0,0,0,0
212,11,20,1,2,4,0,0,0,0,0
213,11,18,12,0,0,0,0,0,0,0
214,2,18,12,0,0,0,0,0,0,0
215,2,0,0,0,0,0,0,0,0,0
216,20,4,9,0,0,0,0,0,0,0
217,20,2,4,0,0,0,0,0,0,0
218,11,5,8,0,0,0,0,0,0,0
219,11,20,18,0,0,0,0,0,0,0
220,2,0,0,0,0,0,0,0,0,0
221,11,20,8,0,0,0,0,0,0,0
222,2,16,0,0,0,0,0,0,0,0
223,11,20,5,0,0,0,0,0,0,0
224,11,20,5,8,0,0,0,0,0,0
225,11,15,18,8,0,0,0,0,0,0
226,11,20,2,4,0,0,0,0,0,0
227,11,15,8,0,0,0,0,0,0,0
228,11,20,5,0,0,0,0,0,0,0
229,2,0,0,0,0,0,0,0,0,0
230,20,6,1,5,0,0,0,0,0,0
231,2,18,12,0,0,0,0,0,0,0
232,15,18,0,0,0,0,0,0,0,0
233,2,0,0,0,0,0,0,0,0,0
234,18,9,0,0,0,0,0,0,0,0
235,11,20,18,0,0,0,0,0,0,0
236,11,15,8,0,0,0,0,0,0,0
237,11,15,18,8,0,0,0,0,0,0
238,11,2,0,0,0,0,0,0,0,0
239,15,18,8,0,0,0,0,0,0,0
240,11,15,18,17,0,0,0,0,0,0
241,2,0,0,0,0,0,0,0,0,0
242,11,18,12,0,0,0,0,0,0,0
243,11,2,10,0,0,0,0,0,0,0
244,18,19,8,0,0,0,0,0,0,0
245,2,14,0,0,0,0,0,0,0,0
246,11,15,18,19,5,8,17,0,0,0
247,15,18,8,0,0,0,0,0,0,0
248,14,0,0,0,0,0,0,0,0,0
249,2,0,0,0,0,0,0,0,0,0
250,18,0,0,0,0,0,0,0,0,0
251,11,20,15,17,0,0,0,0,0,0
252,18,8,0,0,0,0,0,0,0,0
253,11,18,16,0,0,0,0,0,0,0
254,2,15,18,0,0,0,0,0,0,0
255,5,17,0,0,0,0,0,0,0,0
256,18,0,0,0,0,0,0,0,0,0
257,15,18,8,0,0,0,0,0,0,0
258,18,5,8,0,0,0,0,0,0,0
259,11,20,5,8,0,0,0,0,0,0
260,14,0,0,0,0,0,0,0,0,0
261,18,0,0,0,0,0,0,0,0,0
262,18,12,0,0,0,0,0,0,0,0
263,11,15,18,12,0,0,0,0,0,0
264,11,20,2,12,0,0,0,0,0,0
265,20,6,2,0,0,0,0,0,0,0
266,11,20,5,8,0,0,0,0,0,0
267,2,18,7,9,0,0,0,0,0,0
268,18,0,0,0,0,0,0,0,0,0
269,18,0,0,0,0,0,0,0,0,0
270,18,12,0,0,0,0,0,0,0,0
271,18,12,0,0,0,0,0,0,0,0
272,11,20,4,0,0,0,0,0,0,0
273,1,18,4,0,0,0,0,0,0,0
274,20,5,0,0,0,0,0,0,0,0
275,11,20,4,0,0,0,0,0,0,0
276,6,1,18,0,0,0,0,0,0,0
277,6,1,2,9,0,0,0,0,0,0
278,20,6,1,15,18,0,0,0,0,0
279,11,20,5,0,0,0,0,0,0,0
280,11,10,5,8,0,0,0,0,0,0
281,2,9,0,0,0,0,0,0,0,0
282,20,5,8,0,0,0,0,0,0,0
283,10,5,0,0,0,0,0,0,0,0
284,2,18,9,0,0,0,0,0,0,0
285,11,20,5,8,0,0,0,0,0,0
286,18,0,0,0,0,0,0,0,0,0
287,2,10,0,0,0,0,0,0,0,0
288,20,1,2,0,0,0,0,0,0,0
289,11,5,8,0,0,0,0,0,0,0
290,11,10,19,5,0,0,0,0,0,0
291,18,10,5,8,0,0,0,0,0,0
292,5,0,0,0,0,0,0,0,0,0
293,2,18,9,0,0,0,0,0,0,0
294,11,10,5,0,0,0,0,0,0,0
295,11,0,0,0,0,0,0,0,0,0
296,11,5,0,0,0,0,0,0,0,0
297,10,5,0,0,0,0,0,0,0,0
298,4,10,0,0,0,0,0,0,0,0
299,11,18,5,8,0,0,0,0,0,0
300,2,15,8,0,0,0,0,0,0,0
301,19,5,8,0,0,0,0,0,0,0
302,2,18,8,0,0,0,0,0,0,0
303,19,8,0,0,0,0,0,0,0,0
304,2,18,9,0,0,0,0,0,0,0
305,2,18,9,0,0,0,0,0,0,0
306,2,18,0,0,0,0,0,0,0,0
307,2,0,0,0,0,0,0,0,0,0
308,20,1,4,0,0,0,0,0,0,0
309,14,0,0,0,0,0,0,0,0,0
310,2,18,0,0,0,0,0,0,0,0
311,2,0,0,0,0,0,0,0,0,0
312,8,0,0,0,0,0,0,0,0,0
313,18,9,0,0,0,0,0,0,0,0
314,18,9,0,0,0,0,0,0,0,0
315,2,18,9,0,0,0,0,0,0,0
316,2,18,0,0,0,0,0,0,0,0
317,15,18,0,0,0,0,0,0,0,0
318,11,20,5,0,0,0,0,0,0,0
319,18,4,9,0,0,0,0,0,0,0
320,2,15,18,8,0,0,0,0,0,0
321,2,18,8,0,0,0,0,0,0,0
322,2,0,0,0,0,0,0,0,0,0
323,2,18,0,0,0,0,0,0,0,0
324,2,0,0,0,0,0,0,0,0,0
325,2,18,9,0,0,0,0,0,0,0
326,2,9,0,0,0,0,0,0,0,0
327,20,2,16,0,0,0,0,0,0,0
328,2,9,0,0,0,0,0,0,0,0
329,2,0,0,0,0,0,0,0,0,0
330,2,18,0,0,0,0,0,0,0,0
331,8,0,0,0,0,0,0,0,0,0
332,18,0,0,0,0,0,0,0,0,0
333,2,19,0,0,0,0,0,0,0,0
334,18,9,0,0,0,0,0,0,0,0
335,18,0,0,0,0,0,0,0,0,0
336,2,18,9,0,0,0,0,0,0,0
337,11,18,16,0,0,0,0,0,0,0
338,20,6,1,2,7,0,0,0,0,0
339,15,10,8,0,0,0,0,0,0,0
340,6,1,4,7,9,17,0,0,0,0
341,20,16,0,0,0,0,0,0,0,0
342,2,15,18,8,0,0,0,0,0,0
343,11,20,19,8,0,0,0,0,0,0
344,2,9,0,0,0,0,0,0,0,0
345,14,0,0,0,0,0,0,0,0,0
346,18,19,16,0,0,0,0,0,0,0
347,2,18,9,0,0,0,0,0,0,0
348,2,18,9,0,0,0,0,0,0,0
349,2,7,9,0,0,0,0,0,0,0
350,18,9,0,0,0,0,0,0,0,0
351,19,8,0,0,0,0,0,0,0,0
