id,x7,x8,x9,x10,x11,x12
0,3,4,1,1,3,6
1,3,3,1,1,3,4
2,3,2,2,3,3,10
3,2,2,1,1,5,2
4,3,2,1,2,5,4
5,4,2,1,2,5,10
6,4,4,1,1,3,0
7,1,4,1,1,1,6
8,2,2,1,1,1,0
9,5,1,1,1,5,0
10,3,3,1,2,2,0
11,2,2,1,1,4,4
12,3,3,1,3,5,2
13,4,3,1,2,3,2
14,5,2,1,1,3,0
15,4,4,1,2,2,4
16,2,3,1,2,2,6
17,3,2,1,1,4,4
18,5,5,2,4,5,16
19,1,3,1,3,5,4
20,4,1,1,1,1,0
21,4,2,1,1,5,0
22,5,1,1,3,5,2
23,4,4,2,4,5,0
24,3,2,1,1,5,2
25,2,2,1,3,5,14
26,2,2,1,2,5,2
27,2,4,2,4,1,4
28,3,3,1,1,5,4
29,4,5,5,5,5,16
30,4,2,3,4,5,0
31,3,1,1,1,5,0
32,5,2,1,1,5,0
33,3,2,1,1,2,0
34,4,3,1,1,5,0
35,5,1,1,1,5,0
36,4,3,1,1,4,2
37,4,3,1,1,5,7
38,3,2,1,1,5,2
39,3,1,1,1,2,8
40,3,3,1,2,3,25
41,4,3,2,4,5,8
42,3,3,1,1,5,2
43,4,1,1,1,1,0
44,3,3,2,2,5,14
45,2,2,1,1,5,8
46,3,5,1,4,3,12
47,2,2,1,1,2,4
48,3,3,2,2,5,2
49,4,4,1,1,3,2
50,3,3,2,3,4,2
51,3,3,1,1,5,2
52,5,5,3,4,5,6
53,3,4,2,3,5,0
54,3,4,4,4,1,6
55,3,4,1,1,2,8
56,3,2,1,1,1,0
57,2,2,1,1,5,4
58,3,2,1,1,5,2
59,2,3,1,1,5,2
60,4,4,2,3,4,6
61,5,5,5,5,5,6
62,4,3,1,1,1,4
63,4,4,2,4,4,2
64,4,4,2,4,2,0
65,4,3,1,2,1,2
66,3,3,5,5,3,4
67,3,3,1,2,5,4
68,1,3,1,3,4,2
69,4,2,2,3,3,12
70,3,2,1,1,5,0
71,3,3,1,1,3,0
72,3,4,2,4,5,2
73,3,2,2,2,5,2
74,3,3,2,4,5,54
75,3,3,2,3,5,6
76,4,3,1,1,1,8
77,2,3,1,3,3,0
78,5,1,1,1,3,2
