id,y,x0,x1,x2,x3,x4,x5
0,6,18,4,4,2,2,0
1,6,17,1,1,1,2,0
2,10,15,1,1,1,2,3
3,15,15,4,2,1,3,0
4,10,16,3,3,1,2,0
5,15,16,4,3,1,2,0
6,11,16,2,2,1,2,0
7,6,17,4,4,2,2,0
8,19,15,3,2,1,2,0
9,15,15,3,4,1,2,0
10,9,15,4,4,1,2,0
11,12,15,2,1,3,3,0
12,14,15,4,4,1,1,0
13,11,15,4,3,2,2,0
14,16,15,2,2,1,3,0
15,14,16,4,4,1,1,0
16,14,16,4,4,1,3,0
17,10,16,3,3,3,2,0
18,5,17,3,2,1,1,3
19,10,16,4,3,1,1,0
20,15,15,4,3,1,2,0
21,15,15,4,4,1,1,0
22,16,16,4,2,1,2,0
23,12,16,2,2,2,2,0
24,8,15,2,4,1,3,0
25,8,16,2,2,1,1,2
26,11,15,2,2,1,1,0
27,15,15,4,2,1,1,0
28,11,16,3,4,1,2,0
29,11,16,4,4,1,2,0
30,12,15,4,4,1,2,0
31,17,15,4,4,2,2,0
32,16,15,4,3,1,2,0
33,12,15,3,3,1,2,0
34,15,16,3,2,1,1,0
35,6,15,2,3,2,1,0
36,18,15,4,3,1,3,0
37,15,16,4,4,2,3,0
38,11,15,3,4,1,3,0
39,13,15,2,2,1,1,0
40,11,16,2,2,2,2,1
41,12,15,4,4,1,1,0
42,18,15,4,4,1,2,0
43,11,15,2,2,1,1,0
44,9,16,2,2,2,2,1
45,6,15,4,3,1,2,0
46,11,16,3,3,1,2,0
47,20,16,4,3,1,4,0
48,14,15,4,2,1,2,0
49,7,15,4,4,1,2,1
50,13,16,2,2,3,2,0
51,13,15,4,2,1,2,0
52,10,15,4,2,2,1,1
53,11,15,4,4,1,1,0
54,13,15,3,3,1,1,0
55,10,16,2,1,1,2,0
56,15,15,4,3,1,2,0
57,15,15,4,4,1,2,0
58,9,15,1,2,1,2,0
59,16,16,4,2,1,2,0
60,11,16,4,4,1,2,0
61,11,16,1,1,4,1,0
62,9,16,1,2,1,2,0
63,9,16,4,3,1,3,0
64,10,15,4,3,1,2,0
65,15,16,4,3,3,2,0
66,12,15,4,4,1,4,0
67,6,16,3,1,1,4,0
68,8,15,2,2,2,2,0
69,16,15,3,1,2,4,0
70,15,16,3,1,2,4,0
71,10,15,4,2,1,4,0
72,5,15,1,1,1,2,2
73,14,16,3,1,1,1,0
74,11,16,3,3,1,2,0
75,10,15,4,3,1,2,0
76,10,15,4,0,2,4,0
77,11,16,2,2,1,4,0
78,10,17,2,1,2,1,3
79,5,16,3,4,1,2,0
80,12,15,2,3,1,1,0
81,11,15,2,3,1,3,0
82,6,15,3,2,1,2,0
83,15,15,2,2,2,2,0
84,10,15,1,1,1,2,0
85,8,15,4,4,2,2,2
86,6,16,2,2,1,2,0
87,14,15,4,2,1,3,0
88,10,16,2,2,2,2,1
89,7,16,4,4,1,2,0
90,8,16,3,3,1,3,0
91,18,15,4,3,1,1,0
92,6,16,3,1,1,2,0
93,10,16,4,2,2,2,0
94,14,15,2,2,1,4,0
95,10,15,1,1,2,4,1
96,15,16,4,3,2,1,0
97,10,16,2,1,1,2,0
98,14,16,4,4,1,1,0
99,8,16,4,3,1,3,0
100,5,16,4,4,1,1,0
101,17,16,4,4,1,3,0
102,14,15,4,4,1,1,0
103,6,15,3,2,2,2,0
104,18,15,3,4,1,2,0
105,11,15,3,3,1,4,0
106,8,15,2,2,1,4,0
107,18,16,3,3,1,3,0
108,13,15,4,4,4,4,0
109,16,16,4,4,1,3,0
110,19,15,4,4,1,1,0
111,10,16,3,3,1,3,1
112,13,16,2,2,1,2,1
113,19,15,4,2,1,1,0
114,9,15,2,1,1,2,0
115,16,16,4,4,1,2,0
116,14,15,4,4,2,2,0
117,13,16,3,3,2,1,0
118,8,17,1,3,3,2,1
119,13,15,3,4,1,1,0
120,15,15,1,2,1,2,0
121,15,15,2,2,1,4,0
122,13,16,2,4,2,2,0
123,13,16,4,4,1,1,0
124,8,16,2,2,1,2,0
125,12,15,3,4,1,1,0
126,11,15,3,4,1,2,0
127,9,19,0,1,1,2,3
128,0,18,2,2,1,1,2
129,18,16,4,4,1,1,0
130,0,15,3,4,2,3,2
