id,x0,x1,x2,x3,x4,x5,x6
0,4,3,4,1,1,3,6
1,5,3,3,1,1,3,4
2,4,3,2,2,3,3,10
3,3,2,2,1,1,5,2
4,4,3,2,1,2,5,4
5,5,4,2,1,2,5,10
6,4,4,4,1,1,3,0
7,4,1,4,1,1,1,6
8,4,2,2,1,1,1,0
9,5,5,1,1,1,5,0
10,3,3,3,1,2,2,0
11,5,2,2,1,1,4,4
12,4,3,3,1,3,5,2
13,5,4,3,1,2,3,2
14,4,5,2,1,1,3,0
15,4,4,4,1,2,2,4
16,3,2,3,1,2,2,6
17,5,3,2,1,1,4,4
18,5,5,5,2,4,5,16
19,3,1,3,1,3,5,4
20,4,4,1,1,1,1,0
21,5,4,2,1,1,5,0
22,4,5,1,1,3,5,2
23,5,4,4,2,4,5,0
24,4,3,2,1,1,5,2
25,1,2,2,1,3,5,14
26,4,2,2,1,2,5,2
27,2,2,4,2,4,1,4
28,5,3,3,1,1,5,4
29,4,4,5,5,5,5,16
30,5,4,2,3,4,5,0
31,4,3,1,1,1,5,0
32,4,5,2,1,1,5,0
33,5,3,2,1,1,2,0
34,5,4,3,1,1,5,0
35,3,5,1,1,1,5,0
36,5,4,3,1,1,4,2
37,2,4,3,1,1,5,7
38,4,3,2,1,1,5,2
39,4,3,1,1,1,2,8
40,3,3,3,1,2,3,25
41,5,4,3,2,4,5,8
42,4,3,3,1,1,5,2
43,5,4,1,1,1,1,0
44,4,3,3,2,2,5,14
45,5,2,2,1,1,5,8
46,2,3,5,1,4,3,12
47,4,2,2,1,1,2,4
48,4,3,3,2,2,5,2
49,4,4,4,1,1,3,2
50,4,3,3,2,3,4,2
51,4,3,3,1,1,5,2
52,5,5,5,3,4,5,6
53,3,3,4,2,3,5,0
54,5,3,4,4,4,1,6
55,5,3,4,1,1,2,8
56,4,3,2,1,1,1,0
57,3,2,2,1,1,5,4
58,4,3,2,1,1,5,2
59,4,2,3,1,1,5,2
60,2,4,4,2,3,4,6
61,5,5,5,5,5,5,6
62,4,4,3,1,1,1,4
63,3,4,4,2,4,4,2
64,4,4,4,2,4,2,0
65,5,4,3,1,2,1,2
66,1,3,3,5,5,3,4
67,4,3,3,1,2,5,4
68,4,1,3,1,3,4,2
69,4,4,2,2,3,3,12
70,4,3,2,1,1,5,0
71,3,3,3,1,1,3,0
72,3,3,4,2,4,5,2
73,5,3,2,2,2,5,2
74,4,3,3,2,4,5,54
75,4,3,3,2,3,5,6
76,3,4,3,1,1,1,8
77,5,2,3,1,3,3,0
78,4,5,1,1,1,3,2
79,2,4,3,1,2,3,12
80,3,2,2,1,3,3,2
81,5,3,2,1,2,5,4
82,4,4,4,1,1,5,10
83,5,3,3,1,3,4,4
84,4,3,2,2,3,4,2
85,4,4,4,2,3,5,6
86,4,3,4,1,2,2,4
87,5,3,3,1,3,1,4
88,4,4,2,1,1,3,12
89,4,1,3,3,5,5,18
90,4,3,3,1,3,4,0
91,4,5,5,1,3,1,4
92,3,3,3,2,3,2,4
93,5,3,3,1,1,1,0
94,4,3,4,1,1,4,6
95,3,1,2,1,1,1,2
96,3,3,3,1,1,4,2
97,4,3,5,1,1,5,2
98,5,3,4,1,2,1,6
99,5,3,5,1,1,3,0
100,4,5,5,5,5,4,14
101,4,4,3,1,1,4,0
102,5,3,3,1,1,5,4
103,4,3,5,1,1,2,26
104,5,4,4,1,1,1,0
105,4,3,3,1,1,4,10
