id,x6,x7,x8,x9,x10,x11,x12,y,x0,x1,x2,x3,x4,x5
0,4,3,4,1,1,3,6,6,18,4,4,2,2,0
1,5,3,3,1,1,3,4,6,17,1,1,1,2,0
2,4,3,2,2,3,3,10,10,15,1,1,1,2,3
3,3,2,2,1,1,5,2,15,15,4,2,1,3,0
4,4,3,2,1,2,5,4,10,16,3,3,1,2,0
5,5,4,2,1,2,5,10,15,16,4,3,1,2,0
6,4,4,4,1,1,3,0,11,16,2,2,1,2,0
7,4,1,4,1,1,1,6,6,17,4,4,2,2,0
8,4,2,2,1,1,1,0,19,15,3,2,1,2,0
9,5,5,1,1,1,5,0,15,15,3,4,1,2,0
10,3,3,3,1,2,2,0,9,15,4,4,1,2,0
11,5,2,2,1,1,4,4,12,15,2,1,3,3,0
12,4,3,3,1,3,5,2,14,15,4,4,1,1,0
13,5,4,3,1,2,3,2,11,15,4,3,2,2,0
14,4,5,2,1,1,3,0,16,15,2,2,1,3,0
15,4,4,4,1,2,2,4,14,16,4,4,1,1,0
16,3,2,3,1,2,2,6,14,16,4,4,1,3,0
17,5,3,2,1,1,4,4,10,16,3,3,3,2,0
18,5,5,5,2,4,5,16,5,17,3,2,1,1,3
19,3,1,3,1,3,5,4,10,16,4,3,1,1,0
20,4,4,1,1,1,1,0,15,15,4,3,1,2,0
21,5,4,2,1,1,5,0,15,15,4,4,1,1,0
22,4,5,1,1,3,5,2,16,16,4,2,1,2,0
23,5,4,4,2,4,5,0,12,16,2,2,2,2,0
24,4,3,2,1,1,5,2,8,15,2,4,1,3,0
25,1,2,2,1,3,5,14,8,16,2,2,1,1,2
26,4,2,2,1,2,5,2,11,15,2,2,1,1,0
27,2,2,4,2,4,1,4,15,15,4,2,1,1,0
28,5,3,3,1,1,5,4,11,16,3,4,1,2,0
29,4,4,5,5,5,5,16,11,16,4,4,1,2,0
30,5,4,2,3,4,5,0,12,15,4,4,1,2,0
31,4,3,1,1,1,5,0,17,15,4,4,2,2,0
32,4,5,2,1,1,5,0,16,15,4,3,1,2,0
33,5,3,2,1,1,2,0,12,15,3,3,1,2,0
34,5,4,3,1,1,5,0,15,16,3,2,1,1,0
35,3,5,1,1,1,5,0,6,15,2,3,2,1,0
36,5,4,3,1,1,4,2,18,15,4,3,1,3,0
37,2,4,3,1,1,5,7,15,16,4,4,2,3,0
38,4,3,2,1,1,5,2,11,15,3,4,1,3,0
39,4,3,1,1,1,2,8,13,15,2,2,1,1,0
40,3,3,3,1,2,3,25,11,16,2,2,2,2,1
41,5,4,3,2,4,5,8,12,15,4,4,1,1,0
42,4,3,3,1,1,5,2,18,15,4,4,1,2,0
43,5,4,1,1,1,1,0,11,15,2,2,1,1,0
44,4,3,3,2,2,5,14,9,16,2,2,2,2,1
45,5,2,2,1,1,5,8,6,15,4,3,1,2,0
46,2,3,5,1,4,3,12,11,16,3,3,1,2,0
47,4,2,2,1,1,2,4,20,16,4,3,1,4,0
48,4,3,3,2,2,5,2,14,15,4,2,1,2,0
49,4,4,4,1,1,3,2,7,15,4,4,1,2,1
50,4,3,3,2,3,4,2,13,16,2,2,3,2,0
51,4,3,3,1,1,5,2,13,15,4,2,1,2,0
52,5,5,5,3,4,5,6,10,15,4,2,2,1,1
53,3,3,4,2,3,5,0,11,15,4,4,1,1,0
54,5,3,4,4,4,1,6,13,15,3,3,1,1,0
55,5,3,4,1,1,2,8,10,16,2,1,1,2,0
56,4,3,2,1,1,1,0,15,15,4,3,1,2,0
57,3,2,2,1,1,5,4,15,15,4,4,1,2,0
58,4,3,2,1,1,5,2,9,15,1,2,1,2,0
59,4,2,3,1,1,5,2,16,16,4,2,1,2,0
60,2,4,4,2,3,4,6,11,16,4,4,1,2,0
61,5,5,5,5,5,5,6,11,16,1,1,4,1,0
62,4,4,3,1,1,1,4,9,16,1,2,1,2,0
63,3,4,4,2,4,4,2,9,16,4,3,1,3,0
64,4,4,4,2,4,2,0,10,15,4,3,1,2,0
65,5,4,3,1,2,1,2,15,16,4,3,3,2,0
66,1,3,3,5,5,3,4,12,15,4,4,1,4,0
67,4,3,3,1,2,5,4,6,16,3,1,1,4,0
68,4,1,3,1,3,4,2,8,15,2,2,2,2,0
69,4,4,2,2,3,3,12,16,15,3,1,2,4,0
70,4,3,2,1,1,5,0,15,16,3,1,2,4,0
71,3,3,3,1,1,3,0,10,15,4,2,1,4,0
72,3,3,4,2,4,5,2,5,15,1,1,1,2,2
73,5,3,2,2,2,5,2,14,16,3,1,1,1,0
74,4,3,3,2,4,5,54,11,16,3,3,1,2,0
75,4,3,3,2,3,5,6,10,15,4,3,1,2,0
76,3,4,3,1,1,1,8,10,15,4,0,2,4,0
77,5,2,3,1,3,3,0,11,16,2,2,1,4,0
78,4,5,1,1,1,3,2,10,17,2,1,2,1,3
79,2,4,3,1,2,3,12,5,16,3,4,1,2,0
80,3,2,2,1,3,3,2,12,15,2,3,1,1,0
81,5,3,2,1,2,5,4,11,15,2,3,1,3,0
82,4,4,4,1,1,5,10,6,15,3,2,1,2,0
83,5,3,3,1,3,4,4,15,15,2,2,2,2,0
84,4,3,2,2,3,4,2,10,15,1,1,1,2,0
85,4,4,4,2,3,5,6,8,15,4,4,2,2,2
86,4,3,4,1,2,2,4,6,16,2,2,1,2,0
87,5,3,3,1,3,1,4,14,15,4,2,1,3,0
88,4,4,2,1,1,3,12,10,16,2,2,2,2,1
89,4,1,3,3,5,5,18,7,16,4,4,1,2,0
90,4,3,3,1,3,4,0,8,16,3,3,1,3,0
91,4,5,5,1,3,1,4,18,15,4,3,1,1,0
92,3,3,3,2,3,2,4,6,16,3,1,1,2,0
93,5,3,3,1,1,1,0,10,16,4,2,2,2,0
94,4,3,4,1,1,4,6,14,15,2,2,1,4,0
95,3,1,2,1,1,1,2,10,15,1,1,2,4,1
96,3,3,3,1,1,4,2,15,16,4,3,2,1,0
97,4,3,5,1,1,5,2,10,16,2,1,1,2,0
98,5,3,4,1,2,1,6,14,16,4,4,1,1,0
99,5,3,5,1,1,3,0,8,16,4,3,1,3,0
100,4,5,5,5,5,4,14,5,16,4,4,1,1,0
101,4,4,3,1,1,4,0,17,16,4,4,1,3,0
102,5,3,3,1,1,5,4,14,15,4,4,1,1,0
103,4,3,5,1,1,2,26,6,15,3,2,2,2,0
104,5,4,4,1,1,1,0,18,15,3,4,1,2,0
105,4,3,3,1,1,4,10,11,15,3,3,1,4,0
106,5,1,2,1,1,3,8,8,15,2,2,1,4,0
107,5,3,3,1,1,5,2,18,16,3,3,1,3,0
108,1,3,5,3,5,1,6,13,15,4,4,4,4,0
109,5,4,5,1,1,4,4,16,16,4,4,1,3,0
