id,x6,x7,x8,x9,x10,x11,x12,y,x0,x1,x2,x3,x4,x5
158,4,2,2,1,2,3,2,15,16,2,2,3,1,0
159,4,5,5,4,4,5,4,12,16,3,3,1,2,1
160,3,3,2,2,2,5,0,0,17,2,1,2,1,2
161,4,4,4,1,4,3,6,7,15,3,2,2,2,2
162,4,4,4,2,4,5,0,0,16,1,2,2,1,1
163,5,3,3,1,4,2,2,10,17,1,3,1,1,0
164,5,3,5,1,5,5,0,7,17,1,1,4,2,3
165,4,5,2,1,1,2,16,12,16,3,2,2,1,1
166,4,3,5,2,4,4,4,10,16,2,2,1,2,0
167,4,2,3,1,1,3,0,16,16,4,2,1,2,0
168,5,1,5,1,1,4,0,0,16,2,2,1,2,0
169,4,4,2,1,1,3,0,14,16,4,4,1,2,0
170,3,4,5,2,4,2,0,0,16,3,4,3,1,2
171,4,3,2,1,1,3,2,16,16,1,0,2,2,0
172,4,4,4,1,3,5,0,10,17,4,4,1,2,0
173,4,3,5,1,1,3,0,0,16,1,3,1,2,3
174,4,4,5,1,1,4,4,9,16,3,3,2,2,0
175,4,4,4,4,4,4,4,9,17,4,3,2,2,0
176,3,4,4,1,4,5,2,11,16,2,2,2,2,0
177,4,3,4,1,4,4,4,6,17,3,3,1,2,0
178,4,3,3,3,4,3,10,9,16,4,2,1,1,0
179,5,2,3,1,1,2,4,11,17,4,3,1,2,0
180,3,4,3,2,3,3,10,8,16,4,3,1,2,0
181,4,2,3,1,2,3,2,12,16,3,3,1,2,0
182,5,4,2,2,3,5,0,17,17,2,4,1,2,0
183,5,3,3,2,3,1,56,8,17,3,3,1,2,0
184,1,2,2,1,2,1,14,12,16,3,2,1,2,0
185,4,3,4,2,3,4,12,11,17,3,3,1,2,0
186,3,3,3,1,2,3,2,11,16,1,2,1,1,0
187,4,2,3,1,2,5,0,15,16,2,1,1,2,0
188,3,3,3,1,3,3,6,9,17,3,3,1,2,0
189,3,1,3,1,5,3,4,10,17,1,2,1,2,0
190,4,3,3,1,1,2,10,13,16,2,3,1,2,0
191,5,3,3,1,1,3,0,9,17,1,1,1,2,0
192,4,4,4,4,5,5,12,8,17,1,2,2,2,0
193,4,3,2,3,4,5,8,10,16,3,3,1,1,0
194,5,3,3,1,1,3,0,14,16,2,3,2,1,0
195,4,3,2,1,1,5,0,15,17,2,4,1,2,0
196,5,2,3,1,2,5,4,16,17,4,4,1,1,0
197,3,3,4,3,5,3,8,10,16,3,3,3,1,0
198,4,2,4,2,3,2,24,18,17,4,4,2,1,1
199,4,5,2,1,2,3,0,10,16,4,4,1,2,0
200,4,3,5,1,5,2,2,16,16,4,3,1,2,0
201,4,4,3,1,3,4,6,10,16,2,3,1,2,0
202,4,4,4,1,3,1,4,10,17,1,1,1,2,0
203,5,3,2,1,2,3,18,6,17,2,2,1,1,0
204,5,3,5,1,1,5,6,11,16,2,2,2,4,0
205,4,4,3,3,4,5,28,9,17,3,4,1,3,1
206,2,3,3,2,2,4,5,7,16,3,1,1,2,3
