id,x0,x1,x2,x3,x4,x5,x6,x7,x8
1,0.171429,-0.515789,-0.532374,-0.0566038,-0.710526,-0.454545,-0.219512,-0.266667,0.0666667
2,-0.285714,-0.578947,-0.64988,-0.383648,-0.657895,-0.181818,-0.317073,-0.133333,0.2
3,0.142857,-0.0210526,0.0815348,0.396226,-0.631579,0.272727,-0.560976,-0.2,0
4,-0.285714,-0.684211,-0.70024,-0.773585,-0.894737,-0.454545,-0.512195,0.533333,0.733333
5,-0.257143,0.168421,-0.661871,-0.00628931,0.789474,-0.181818,-0.463415,-0.733333,-0.866667
6,0.457143,0.578947,0.853717,0.949686,-0.315789,-0.545455,-0.560976,-0.666667,-0.866667
7,-0.285714,-0.515789,-0.57554,-0.207547,-0.815789,0.181818,-0.95122,0.6,0.533333
8,-0.2,-0.663158,-0.767386,-0.308176,-0.789474,-0.727273,-0.853659,0.133333,0.4
9,-0.742857,-0.884211,-0.906475,-0.962264,-0.868421,-0.818182,-0.317073,0.6,0.8
10,-0.2,-0.242105,-0.230216,-0.459119,-0.868421,-0.636364,-0.317073,0.266667,0.533333
11,-0.657143,-0.757895,-0.803357,-0.773585,-0.815789,-0.818182,-0.512195,0.2,0.4
12,-1,-0.810526,-0.904077,-0.886792,-0.842105,-0.545455,0.268293,0.333333,0.4
13,-0.142857,-0.473684,-0.604317,0.0440252,-0.684211,-0.545455,-0.463415,-0.133333,-0.0666667
14,-0.257143,-0.547368,-0.613909,-0.345912,-0.657895,-0.272727,-0.365854,-0.266667,0.0666667
15,0.0285714,-0.305263,-0.326139,0.220126,-0.684211,-0.454545,-0.902439,0.4,0.2
16,0.371429,0.0210526,0.0551559,0.72327,-0.605263,-0.454545,-0.902439,-0.333333,-0.133333
17,-0.685714,-0.926316,-0.947242,-0.798742,-0.447368,-0.818182,-0.317073,-0.666667,-0.733333
18,-0.4,-0.242105,-0.278177,-0.471698,-0.657895,-0.636364,-0.512195,0.466667,0.2
19,0.571429,0,0.203837,0.396226,-0.605263,-0.545455,-0.463415,-0.4,-0.0666667
20,0.457143,0.0210526,0.119904,0.433962,-0.605263,-0.454545,-0.756098,-0.333333,-0.2
21,-0.228571,-0.526316,-0.592326,-0.0566038,-0.578947,-1,-0.853659,-0.4,-0.266667
22,-0.8,-0.884211,-0.911271,-0.698113,-0.394737,-0.363636,-0.95122,-0.8,-0.866667
23,-0.314286,-0.589474,-0.616307,-0.144654,-0.763158,-0.181818,-0.95122,0.533333,0.666667
24,-0.485714,-0.642105,-0.705036,-0.597484,-0.736842,-0.909091,-0.902439,0.0666667,0.2
25,0.342857,-0.0421053,0.0527578,0.446541,-0.763158,-1,-0.707317,0,0.333333
26,-0.142857,-0.589474,-0.664269,-0.18239,-0.684211,-0.909091,-0.804878,-0.2,0.2
27,-0.8,-0.863158,-0.870504,-0.622642,-0.394737,-0.454545,-0.853659,-0.8,-0.866667
28,0.4,0.0421053,0.227818,0.345912,-0.657895,-0.909091,0.365854,-0.266667,0.2
29,-0.2,-0.0842105,-0.0743405,-0.320755,-0.552632,-0.454545,-0.658537,0.266667,-0.2
30,-0.657143,-0.6,-0.688249,-0.383648,-0.368421,-0.181818,-0.0243902,-0.733333,-0.733333
31,-0.0571429,-0.547368,-0.58753,-0.18239,-0.657895,-0.545455,-0.560976,-0.4,0
32,-0.314286,-0.631579,-0.738609,-0.383648,-0.868421,-0.0909091,-0.463415,0.466667,0.6
33,-0.714286,-0.663158,-0.71223,-0.861635,-0.868421,-0.545455,-0.365854,0.4,0.4
34,0.0285714,0.0736842,0.0959233,0.194969,-0.710526,-0.545455,0.853659,-0.0666667,0.4
35,-0.685714,-0.410526,-0.477218,-0.735849,-0.894737,-0.909091,0.219512,0.466667,0.6
36,-0.0857143,-0.578947,-0.570743,-0.0566038,-0.789474,0.545455,-0.658537,0.0666667,0.266667
37,-0.171429,-0.536842,-0.625899,-0.144654,-0.394737,-0.818182,-0.902439,-0.733333,-0.733333
38,0.0857143,0.494737,-0.611511,0.144654,0.552632,-1,-0.268293,-0.4,-0.133333
39,0.514286,0.105263,0.215827,0.371069,-0.605263,-0.909091,-0.560976,-0.266667,0.0666667
40,-0.2,-0.547368,-0.635492,-0.0314465,-0.578947,-0.363636,-1,-0.533333,-0.466667
41,-0.0571429,0.0210526,0.0647482,0.169811,-0.605263,-0.545455,-0.560976,-0.333333,-0.2
42,-0.714286,-0.947368,-0.944844,-0.798742,-0.289474,-0.272727,-0.219512,-0.8,-0.866667
43,0.257143,-0.494737,-0.563549,-0.0314465,-0.578947,-0.545455,-0.756098,-0.533333,-0.133333
44,-0.542857,-0.357895,-0.470024,-0.622642,-0.789474,-0.636364,-0.658537,0.0666667,0.0666667
45,0.4,-0.0210526,0.177458,0.54717,-0.815789,0.818182,-0.95122,0.0666667,0.4
46,0.2,-0.473684,-0.551559,0.00628931,-0.526316,-0.818182,-0.804878,-0.533333,-0.133333
47,-0.2,-0.694737,-0.834532,-0.408805,-0.710526,-0.909091,-0.609756,-0.0666667,-0.133333
48,-0.342857,-0.557895,-0.681055,-0.18239,-0.236842,-0.454545,-0.317073,-0.733333,-0.933333
49,0.285714,-0.578947,-0.597122,-0.00628931,-0.552632,-0.454545,-0.365854,-0.466667,-0.2
50,-0.142857,-0.431579,-0.472422,-0.119497,-0.921053,-1,-0.512195,0.533333,0.8
51,-0.657143,-0.663158,-0.724221,-0.534591,-0.526316,-0.818182,-0.804878,-0.666667,-0.733333
52,-0.571429,-0.463158,-0.589928,-0.735849,-0.710526,-0.636364,0.170732,-0.133333,-0.0666667
53,0.428571,0.115789,0.143885,0.710692,-0.657895,-0.909091,-0.707317,-0.2,0.0666667
54,-0.4,-0.589474,-0.623501,-0.295597,-0.842105,-0.363636,-0.463415,0.733333,0.866667
55,0.428571,0.526316,0.851319,0.522013,-0.368421,-0.545455,0.268293,-0.733333,-0.8
56,-0.514286,-0.747368,-0.805755,-0.874214,-0.921053,-0.181818,-0.853659,0.666667,0.8
