id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8
1,3,-0.0434783,0.153846,0.194444,-0.353712,-0.450549,-0.698113,-0.346405,-0.0857143,-0.5
2,3,-0.217391,-0.384615,0.222222,-0.676856,-0.78022,-0.735849,-0.51634,0.0857143,-0.666667
3,1,0.347826,0.307692,0.833333,-0.0829694,-0.582418,-0.698113,0.24183,-0.657143,0
4,3,-0.130435,-0.384615,0.166667,-0.519651,-0.648352,-0.735849,-0.581699,0.142857,-0.666667
5,2,-0.478261,-0.153846,-0.166667,-0.117904,0.230769,0.886792,-0.51634,0.0857143,-0.666667
6,2,0.478261,0.846154,0.833333,-0.406114,-0.934066,-0.849057,0.869281,-1,0.833333
7,2,0.0434783,-0.230769,-0.0833333,-0.39738,-0.604396,-0.849057,-0.464052,-0.0857143,-0.666667
8,3,-0.26087,-0.230769,-0.277778,-0.537118,-0.604396,-0.735849,-0.673203,0.257143,-0.833333
9,3,-0.434783,-0.923077,-0.388889,-0.68559,-0.692308,-0.811321,-0.869281,0.6,-1
10,1,-0.130435,-0.153846,0.611111,-0.187773,-0.67033,-0.660377,-0.0718954,-0.428571,-0.166667
11,3,-0.434783,-0.769231,-0.166667,-0.659389,-0.692308,-0.735849,-0.72549,0.371429,-0.833333
12,1,-0.26087,-0.923077,-0.277778,-0.720524,-0.824176,-0.849057,-0.856209,0.6,-1
13,2,-0.347826,0,-0.0555556,-0.414847,-0.538462,-0.849057,-0.477124,-0.0285714,-0.666667
14,3,-0.304348,-0.307692,0.25,-0.650655,-0.758242,-0.698113,-0.477124,0.0285714,-0.666667
15,2,-0.0869565,0.230769,0.0833333,-0.135371,-0.472527,-0.886792,-0.189542,-0.371429,-0.333333
16,0,0,0.692308,0.75,-0.152838,-0.604396,-0.735849,0.202614,-0.657143,0
17,3,-0.304348,-0.769231,-0.694444,-0.956332,-0.89011,-0.849057,-0.921569,0.771429,-1
18,2,0.130435,-0.384615,0.0277778,-0.187773,-0.516484,-0.849057,-0.150327,-0.428571,-0.333333
19,1,0.347826,0.615385,0.666667,-0.283843,-0.692308,-0.698113,0.359477,-0.714286,0.166667
20,0,0.217391,0.769231,0.666667,-0.0305677,-0.516484,-0.698113,0.254902,-0.657143,0.166667
21,2,-0.521739,0.0769231,-0.0277778,-0.572052,-0.626374,-0.849057,-0.45098,-0.0285714,-0.666667
22,3,-0.521739,-0.692308,-0.638889,-0.851528,-0.736264,-0.886792,-0.856209,0.657143,-1
23,2,-0.0869565,-0.230769,-0.333333,-0.39738,-0.516484,-0.811321,-0.503268,-0.0285714,-0.666667
24,2,-0.391304,-0.538462,-0.166667,-0.615721,-0.692308,-0.811321,-0.594771,0.142857,-0.833333
25,1,0.130435,0.538462,0.805556,0.00436681,-0.582418,-0.660377,0.202614,-0.657143,0
26,3,-0.478261,-0.0769231,0.111111,-0.563319,-0.626374,-0.735849,-0.542484,0.0857143,-0.666667
27,1,-0.565217,-0.769231,-0.611111,-0.868996,-0.78022,-0.849057,-0.79085,0.542857,-0.833333
28,1,0.478261,0.615385,0.611111,-0.135371,-0.604396,-0.660377,0.385621,-0.714286,0.333333
29,2,0.26087,-0.0769231,0.25,-0.222707,-0.626374,-0.849057,0.0457516,-0.6,-0.166667
30,1,-0.695652,-0.615385,-0.361111,-0.781659,-0.824176,-0.811321,-0.555556,0.142857,-0.666667
31,3,-0.304348,-0.230769,0.25,-0.510917,-0.626374,-0.660377,-0.437908,-0.0285714,-0.666667
32,1,-0.347826,-0.307692,0.0277778,-0.58952,-0.758242,-0.773585,-0.633987,0.2,-0.833333
33,0,-0.130435,-0.846154,-0.277778,-0.563319,-0.736264,-0.849057,-0.607843,0.142857,-0.833333
34,0,0.217391,0.153846,0.861111,0.0305677,-0.538462,-0.698113,0.254902,-0.657143,0.166667
35,0,-0.391304,-0.615385,0.25,-0.362445,-0.692308,-0.773585,-0.320261,-0.2,-0.5
36,3,0.173913,0,0.388889,-0.406114,-0.56044,-0.735849,-0.411765,-0.0285714,-0.5
37,2,-0.608696,-0.153846,-0.111111,-0.877729,-0.89011,-0.811321,-0.477124,0.0285714,-0.666667
38,3,-0.26087,0.153846,0.277778,0.764192,0.736264,0.773585,-0.464052,0.0285714,-0.666667
