id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
1,3,-0.0434783,0.153846,0.194444,-0.353712,-0.450549,-0.698113,-0.346405,-0.0857143,-0.5,0.171429,-0.515789,-0.532374,-0.0566038,-0.710526,-0.454545,-0.219512,-0.266667,0.0666667
3,1,0.347826,0.307692,0.833333,-0.0829694,-0.582418,-0.698113,0.24183,-0.657143,0,0.142857,-0.0210526,0.0815348,0.396226,-0.631579,0.272727,-0.560976,-0.2,0
7,2,0.0434783,-0.230769,-0.0833333,-0.39738,-0.604396,-0.849057,-0.464052,-0.0857143,-0.666667,-0.285714,-0.515789,-0.57554,-0.207547,-0.815789,0.181818,-0.95122,0.6,0.533333
8,3,-0.26087,-0.230769,-0.277778,-0.537118,-0.604396,-0.735849,-0.673203,0.257143,-0.833333,-0.2,-0.663158,-0.767386,-0.308176,-0.789474,-0.727273,-0.853659,0.133333,0.4
9,3,-0.434783,-0.923077,-0.388889,-0.68559,-0.692308,-0.811321,-0.869281,0.6,-1,-0.742857,-0.884211,-0.906475,-0.962264,-0.868421,-0.818182,-0.317073,0.6,0.8
11,3,-0.434783,-0.769231,-0.166667,-0.659389,-0.692308,-0.735849,-0.72549,0.371429,-0.833333,-0.657143,-0.757895,-0.803357,-0.773585,-0.815789,-0.818182,-0.512195,0.2,0.4
12,1,-0.26087,-0.923077,-0.277778,-0.720524,-0.824176,-0.849057,-0.856209,0.6,-1,-1,-0.810526,-0.904077,-0.886792,-0.842105,-0.545455,0.268293,0.333333,0.4
13,2,-0.347826,0,-0.0555556,-0.414847,-0.538462,-0.849057,-0.477124,-0.0285714,-0.666667,-0.142857,-0.473684,-0.604317,0.0440252,-0.684211,-0.545455,-0.463415,-0.133333,-0.0666667
15,2,-0.0869565,0.230769,0.0833333,-0.135371,-0.472527,-0.886792,-0.189542,-0.371429,-0.333333,0.0285714,-0.305263,-0.326139,0.220126,-0.684211,-0.454545,-0.902439,0.4,0.2
16,0,0,0.692308,0.75,-0.152838,-0.604396,-0.735849,0.202614,-0.657143,0,0.371429,0.0210526,0.0551559,0.72327,-0.605263,-0.454545,-0.902439,-0.333333,-0.133333
20,0,0.217391,0.769231,0.666667,-0.0305677,-0.516484,-0.698113,0.254902,-0.657143,0.166667,0.457143,0.0210526,0.119904,0.433962,-0.605263,-0.454545,-0.756098,-0.333333,-0.2
22,3,-0.521739,-0.692308,-0.638889,-0.851528,-0.736264,-0.886792,-0.856209,0.657143,-1,-0.8,-0.884211,-0.911271,-0.698113,-0.394737,-0.363636,-0.95122,-0.8,-0.866667
23,2,-0.0869565,-0.230769,-0.333333,-0.39738,-0.516484,-0.811321,-0.503268,-0.0285714,-0.666667,-0.314286,-0.589474,-0.616307,-0.144654,-0.763158,-0.181818,-0.95122,0.533333,0.666667
