id,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
2,3,-0.217391,-0.384615,0.222222,-0.676856,-0.78022,-0.735849,-0.51634,0.0857143,-0.666667,-0.285714,-0.578947,-0.64988,-0.383648,-0.657895,-0.181818,-0.317073,-0.133333,0.2
4,3,-0.130435,-0.384615,0.166667,-0.519651,-0.648352,-0.735849,-0.581699,0.142857,-0.666667,-0.285714,-0.684211,-0.70024,-0.773585,-0.894737,-0.454545,-0.512195,0.533333,0.733333
5,2,-0.478261,-0.153846,-0.166667,-0.117904,0.230769,0.886792,-0.51634,0.0857143,-0.666667,-0.257143,0.168421,-0.661871,-0.00628931,0.789474,-0.181818,-0.463415,-0.733333,-0.866667
6,2,0.478261,0.846154,0.833333,-0.406114,-0.934066,-0.849057,0.869281,-1,0.833333,0.457143,0.578947,0.853717,0.949686,-0.315789,-0.545455,-0.560976,-0.666667,-0.866667
10,1,-0.130435,-0.153846,0.611111,-0.187773,-0.67033,-0.660377,-0.0718954,-0.428571,-0.166667,-0.2,-0.242105,-0.230216,-0.459119,-0.868421,-0.636364,-0.317073,0.266667,0.533333
14,3,-0.304348,-0.307692,0.25,-0.650655,-0.758242,-0.698113,-0.477124,0.0285714,-0.666667,-0.257143,-0.547368,-0.613909,-0.345912,-0.657895,-0.272727,-0.365854,-0.266667,0.0666667
17,3,-0.304348,-0.769231,-0.694444,-0.956332,-0.89011,-0.849057,-0.921569,0.771429,-1,-0.685714,-0.926316,-0.947242,-0.798742,-0.447368,-0.818182,-0.317073,-0.666667,-0.733333
18,2,0.130435,-0.384615,0.0277778,-0.187773,-0.516484,-0.849057,-0.150327,-0.428571,-0.333333,-0.4,-0.242105,-0.278177,-0.471698,-0.657895,-0.636364,-0.512195,0.466667,0.2
19,1,0.347826,0.615385,0.666667,-0.283843,-0.692308,-0.698113,0.359477,-0.714286,0.166667,0.571429,0,0.203837,0.396226,-0.605263,-0.545455,-0.463415,-0.4,-0.0666667
21,2,-0.521739,0.0769231,-0.0277778,-0.572052,-0.626374,-0.849057,-0.45098,-0.0285714,-0.666667,-0.228571,-0.526316,-0.592326,-0.0566038,-0.578947,-1,-0.853659,-0.4,-0.266667
24,2,-0.391304,-0.538462,-0.166667,-0.615721,-0.692308,-0.811321,-0.594771,0.142857,-0.833333,-0.485714,-0.642105,-0.705036,-0.597484,-0.736842,-0.909091,-0.902439,0.0666667,0.2
25,1,0.130435,0.538462,0.805556,0.00436681,-0.582418,-0.660377,0.202614,-0.657143,0,0.342857,-0.0421053,0.0527578,0.446541,-0.763158,-1,-0.707317,0,0.333333
26,3,-0.478261,-0.0769231,0.111111,-0.563319,-0.626374,-0.735849,-0.542484,0.0857143,-0.666667,-0.142857,-0.589474,-0.664269,-0.18239,-0.684211,-0.909091,-0.804878,-0.2,0.2
27,1,-0.565217,-0.769231,-0.611111,-0.868996,-0.78022,-0.849057,-0.79085,0.542857,-0.833333,-0.8,-0.863158,-0.870504,-0.622642,-0.394737,-0.454545,-0.853659,-0.8,-0.866667
34,0,0.217391,0.153846,0.861111,0.0305677,-0.538462,-0.698113,0.254902,-0.657143,0.166667,0.0285714,0.0736842,0.0959233,0.194969,-0.710526,-0.545455,0.853659,-0.0666667,0.4
39,1,0.434783,0.538462,0.611111,-0.371179,-0.846154,-0.698113,0.359477,-0.714286,0.166667,0.514286,0.105263,0.215827,0.371069,-0.605263,-0.909091,-0.560976,-0.266667,0.0666667
40,2,-0.652174,-0.0769231,-0.222222,-0.432314,-0.428571,-0.849057,-0.490196,0.0285714,-0.666667,-0.2,-0.547368,-0.635492,-0.0314465,-0.578947,-0.363636,-1,-0.533333,-0.466667
43,3,-0.0869565,0.230769,0.305556,-0.71179,-0.846154,-0.660377,-0.398693,-0.0285714,-0.5,0.257143,-0.494737,-0.563549,-0.0314465,-0.578947,-0.545455,-0.756098,-0.533333,-0.133333
47,3,-0.217391,-0.230769,-0.166667,-0.746725,-0.824176,-0.773585,-0.764706,0.428571,-0.833333,-0.2,-0.694737,-0.834532,-0.408805,-0.710526,-0.909091,-0.609756,-0.0666667,-0.133333
48,2,-0.478261,-0.307692,-0.277778,-0.842795,-0.846154,-0.849057,-0.529412,0.142857,-0.666667,-0.342857,-0.557895,-0.681055,-0.18239,-0.236842,-0.454545,-0.317073,-0.733333,-0.933333
49,3,-0.304348,0.0769231,0.138889,-0.624454,-0.626374,-0.660377,-0.424837,0.0285714,-0.5,0.285714,-0.578947,-0.597122,-0.00628931,-0.552632,-0.454545,-0.365854,-0.466667,-0.2
50,1,-0.217391,-0.0769231,0.0833333,-0.371179,-0.736264,-0.735849,-0.333333,-0.2,-0.5,-0.142857,-0.431579,-0.472422,-0.119497,-0.921053,-1,-0.512195,0.533333,0.8
53,0,0.0869565,0.692308,0.694444,0.0829694,-0.494505,-0.735849,0.281046,-0.714286,0.166667,0.428571,0.115789,0.143885,0.710692,-0.657895,-0.909091,-0.707317,-0.2,0.0666667
54,2,0.217391,-0.307692,-0.388889,-0.379913,-0.56044,-0.849057,-0.51634,-0.0285714,-0.666667,-0.4,-0.589474,-0.623501,-0.295597,-0.842105,-0.363636,-0.463415,0.733333,0.866667
